Pathway	Class	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	c__Actinobacteria	66.2182134273	458.7376722379	185.0585886784	149.2154449419	746.7505765495	58.4385060524	15.0915612548	692.1415461899	0	1336.0954817598	1105.6813559057	859.6888093112	689.4908601168	79.7441121169	38.6023689267	20.4325816299	1976.9618550487	1293.3947198562	101.9508310268	1588.5379249872	52.2896803916	0	0	0	0	17.6319625107	13.5292086457	0	0	0	0	0	0	0	0	0	0	0	10.6891806259	17.8722085213	3.1108129262	6.6111582782	3.7461724946	1.6051539803	505.0457813916	5.6726243132	0	222.9421704068	2013.0595356196	3585.7308575068	0	2829.1182814131	76.1079944232	51.9722297401	5359.2156338226	125.9089847863	55.0874962294	1044.6051276604	169.2891246066	51.8761743506	26.5188703291	1811.3642958005	398.0343416812	657.6980156098	31.0948983501	197.6957976715	492.93121417	1497.2573601614	4387.9560182795	2469.1695564077	59.7447891143	1749.9939690529	0	6.1183333631	559.4699927586	359.7829072725	69.3250128495	35.7874407081	39.6611161194	0	179.8849420122	48.3494646844	79.7020924024	149.2847904992	112.2798020936	117.6817173907	284.8984240393	56.079577839	21.9547766856	12.9147069379	531.8000071734	14.4165481907	0	15.3308046576	4.7922552258	75.2693847444	54.4679582805	20.6838388993	113.3994692064	21.829182262	69.7569187884	562.2451981985	184.8336332462	6.8863756443	2.1941313888	2391.3990813769	1617.9622885455	337.3111573568	437.5974163902	1.3319980748	563.1411671675	0	0	5.3252141504	0	4.8615537185	195.653743197	3.0527502137	2.4114118841	15.9449529435	28.9322152917	126.2927460839	1488.8729182456	162.0611302443	997.3941518913	2853.525397254	3286.5475344658	2.3418768041	0	73.3674880521	0	696.40407001	41.9293707007	0	37.8953224326	10.7800024151	31.2506422859	114.9859183005	0	0	3763.4682433586	0	3092.7971455663	183.4767037049	1.7930707366	3614.0902574891	2.4051097737	0	1106.0047007939	132.4700242645	690.3909917305	224.9449591614	14.043396391	209.0200418524	40.3863141321	151.7805478749	39.5710012107	0	0	0	939.3327785206	0	0.7034872943	0	0	58.5222399583	18.0777280837	28.2502924812	270.3557960984	1996.577446463	51.0964062145	3336.7334973274	2987.0511525414	0	55.2438035463	4581.0280631328	2342.3643757493	1962.6047583951	6053.9587150427	1146.0204153584	586.2793614552	1894.6715275711
M00001	c__Bacilli	416.319815924	2608.6951177599	197.9036147652	1743.3216614432	2149.8261609865	769.6398672663	1671.8322429279	1892.9712076389	431.4649093067	1080.7469372126	486.1046524684	2098.853142244	129.3126134272	32.1960898347	653.6406280433	43.4885912238	142.0654811554	865.0738508799	570.1604257921	1059.599908233	17.0567322934	6593.0452694437	7.7561250753	2958.1337345382	1228.3496623405	467.5018966842	623.1513483973	35.0947448996	154.0102963606	14.2513403793	1574.5378572934	169.6909243086	318.3587538334	53.7373104135	26.8688732905	7.5578580166	3336.1575871989	1650.8927765182	887.5961548013	291.279663672	1798.471478474	147.3190838629	67.530019167	2425.5763870047	1199.6882877012	523.8194926453	52.4628769472	308.3739011002	242.7426070483	411.1657829203	83.353897884	856.6362955624	616.5006341543	323.1735141089	1316.7284389144	578.6414959531	2248.4567943901	647.2107877376	2709.7927470925	1932.035455535	5247.2072464327	1101.6573164086	1949.2453068765	209.7055466786	2147.6970046068	43.1629382467	152.0489020884	319.9020869418	501.9157686454	548.0218812287	3707.1889357574	708.4725026732	2209.3533692375	2166.3329903328	657.1466834703	1351.8364214504	2338.6564133309	2281.0729445946	220.8039652103	4167.4940232838	776.7146567274	583.1174755075	1403.5823037116	1053.8874281269	849.0867915779	1030.840914841	0	89.5970086425	820.9561492082	1640.1564171849	4433.5674951033	3521.3001816059	1123.350106545	1916.0910090487	1286.342547125	1544.3401221969	158.0099233658	5728.2513641313	69.6735395627	50.2073926421	30.8081997041	46.7395923756	27.2076132926	443.3004809633	263.9318543331	219.4426337083	541.1097453014	29.7028125495	0	1083.4933736899	5.4679138816	82.6416369998	14.3449961219	127.2415344532	2442.7426149899	178.5903461493	2665.7233998469	110.6439547069	186.0151908358	241.9164549117	124.8772723906	767.4710345343	1860.5199818585	119.2074296355	1027.0811066911	1025.927481818	909.0129780873	89.4140031281	2325.6289715733	153.5782866903	788.7144337544	491.8876073764	708.9959081381	230.5879297041	421.944538125	2412.1946454429	351.1920414492	441.1482971425	87.0388206567	2557.9828202809	414.5878287872	1594.5140951033	438.3345969249	1043.7733651351	435.2765024972	1290.7941427029	1888.0897913757	634.0593132686	928.9387705391	389.2871136377	121.7022453054	1214.8798729645	1810.4092058695	510.5955396015	141.4683438472	941.8097490976	362.8628886057	232.1719261786	116.035510753	33.5044011158	258.6518552677	64.0768760512	0	1.8192648176	4.6510479028	994.8883108196	178.4727197652	195.7707806148	146.8353310455	364.9901580332	341.7356517615	97.7530519933	29.3177943806	17.2053592184	3.9294709842	768.1926534226	1519.8774487302	3252.5843532818	239.2007431973	1623.6848657709	287.8107184672	922.8716814337
M00001	c__Bacteroidia	6.5699924236	0.2987483846	533.3355918085	0.6117212588	18.0769671751	24.557120859	5.1106669493	62.5233200179	0	0	0	0	0	0	0	193.7389218365	183.3449464881	17.9095451507	15.0813745108	0	15.5128692612	64.6938481244	280.6946686597	0	0	77.9972464007	57.1303890731	144.3195895247	128.1713052105	436.828740868	276.8592849385	437.5418330674	250.7702505113	1431.295058277	951.9395587519	0	0	0	60.8818007335	3.4925982927	432.7836988443	82.3903247616	380.951755919	352.0151584113	130.6664893383	10.6867723585	0	30.4961342629	0	0	1325.1932809644	6.0650440469	173.9123549143	765.8899196432	0	400.304540363	43.5164360197	0	326.3583538035	14.3366520333	0	55.5892376985	112.058986079	0	92.5711780748	308.4250256784	167.3462327249	291.8552579664	92.2580630614	250.8535858375	191.3903847808	439.7238931405	457.8789500873	323.248112832	58.4073537741	31.3124359648	1.4964069418	171.3195806443	145.754372624	0	439.1237298148	683.2874210944	359.4909597624	112.9196606358	388.4957486297	733.9446685414	408.3161625643	201.0457965536	0	0	0	0	0	0	0	0	310.2418474644	0	177.1181194994	497.8143819154	496.4250933433	88.7612667981	939.9652876901	0	36.4239429709	0	1.3242861556	16.5368146677	947.2039077801	0	0.7452599813	78.402684942	137.2376219907	41.97856734	253.3505917111	83.1833055339	352.9944987915	16.1932570554	16.3712657846	338.1362953975	140.9130351724	853.7693405833	0	23.2350067869	0	0	0	319.8437798837	0	575.8010172992	39.7115029346	50.7080110312	148.5023760776	0	136.4875041224	0	8.3497760055	855.9366015256	0	0	0	0	0	925.9257418355	124.9448401317	0	0	0	624.662103987	310.8904137228	573.2344064698	591.236817424	167.595186564	322.533233971	1044.7262361476	156.159570385	110.0248071361	0	10.1403638357	0	8.9577992635	2.4523271214	0	0	0.4129660273	577.4937569411	226.9797696414	129.6204597064	289.0583077772	151.4230093473	258.0404450723	21.6041298225	7.7634897997	10.9441973704	7.3463021615	65.9450696636	203.5343147231	6.31014488	24.6953536796	183.2828310716	660.4242836938	652.8640957685
M00001	c__Betaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9068689539	0	3.7339704766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.1446517415	13.7443514771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	c__Clostridia	38.4120248308	225.0469932592	191.8807364063	122.1030683005	305.5492813022	35.5319936609	88.3026522873	75.3403886441	0	1.1263386793	713.8289222855	0	1011.6989317271	472.3541754645	235.4866206632	794.5924969605	80.8084074036	79.8104571949	341.0825659463	0	455.3312578334	0	70.8700534285	1.1975308997	0	0	0	192.4861800272	162.7840370113	135.9715003815	251.2416028024	342.9029417088	406.8028105553	35.3111665263	40.1761915457	0	0	24.4703940845	156.1135656361	17.0732478752	75.1806325607	318.4644271239	34.7160197506	85.753085826	36.2742669054	177.7433930551	279.5675323345	429.3217221367	0	0	82.11315316	0	1.664047267	48.48229437	20.9968289717	159.4821713395	74.5810013727	330.3244148275	198.8662646588	112.8303285093	192.455592592	119.5517418547	80.1397307384	267.0646363492	166.8838734155	178.7243643147	362.9383719401	38.6962509614	128.6079888278	176.740507059	80.7037326631	129.1122449082	296.8286837754	170.8430255298	21.433132955	157.7622453474	105.1817901638	396.1531675704	261.1022757069	0	194.4732587274	326.5756296505	319.177662892	159.826371445	169.9556769246	161.537250606	128.6685363432	256.011876127	0	0	0	0	0	0	0	0	777.9921067859	0	284.7689266614	392.5803570065	431.3955644435	781.8161939367	583.3129545735	560.0500527151	173.7293814776	0	5.7347679656	681.2291014777	225.7762268239	68.6051920066	113.8933753035	242.0697535466	252.2660130391	123.099654914	0	199.5821178618	167.5590938777	88.4465408233	352.8672452227	120.7913939946	126.596562938	132.6444287156	0.4352108873	56.0266102809	0	0	6.8891870222	292.185187821	55.9132405312	550.4629803853	0	184.4986795668	1015.7088466641	0	1551.6244824094	0	758.3305702535	436.1902936544	0	0	0	0	0	70.7146469276	930.0438056878	0	0	44.886419588	62.5318464218	327.1831960646	26.7108545344	230.7590162916	173.9120765539	179.66687365	72.7007466869	147.2802807054	317.9946626628	0	60.8124368838	650.1423479257	123.632738324	80.5310118232	106.1433500351	58.2574709145	458.2260137149	200.0021426916	103.5844958306	221.3468320528	221.2180559205	289.5823233835	260.4992423463	40.9856799294	18.7136898937	52.5002314465	90.9529846162	109.4119933691	97.3223280155	0	0.9385169389	112.1226115547	129.960793189	54.4697129881
M00001	c__Coriobacteriia	223.848297291	197.6881946419	243.4191723391	286.2992028088	253.8080878186	56.2139984252	85.7760586887	178.9841071244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.144633354	17.4216777986	60.831490067	0.5276316206	0.82019073	0	0	0	134.9847333308	92.5757109631	31.7204606288	226.3217708538	78.0677408545	199.7775113229	8.4678881116	247.021915708	0	500.4560288417	0	0	0	0	0	0	1.122369125	0	31.1444650818	4.9894488601	94.0341931828	104.3260504646	0	5.5257342525	155.0010577924	52.8194305452	146.8949375852	30.1232382004	3.1993697808	0	0	0	0	0.8627206406	0	0	1.7851394004	1.4575678692	0	0	67.0830059409	0	3.3524282531	82.030971525	101.2478174817	117.9594597595	79.8681201631	1.1312188293	1.1196374778	79.0126334116	0	0	25.2363867743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.6440116972	0	1.0356038077	210.5148027495	412.5645544795	142.3289434602	0	0	0	0	0	93.1283158541	0	95.6795674225	0	0	124.1811205405	0	192.2390834559	0	192.2662321992	0	0	0	0	0	0	32.0704885451	183.4231407216	0	0	0	8.0041463172	0	0	68.7876397104	315.2362198701	0	0	72.0838626434	108.0740024332	0	0	0	0	0	0	0	0	101.0655535376	17.0237496505	53.5332867595	57.5271720876	118.8150080035	142.0857136157	2.5357323288	2.7787689658	0	0	339.0502305703	34.6844726174	10.1929910705	12.3057023542	293.074915118	120.1767462566	0
M00001	c__Deltaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.454494212	1.9495056785	4.3265328557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	c__Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5474840368	17.5638889393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8379222971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	c__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3868432226	0	2.2204580207	0	0	0	0	0	11.562853444	5.0321293491	8.622467507	4.2301066155	10.1081667899	17.8040967422	0	2.2844117422	0	0.7009309955	0	0	1.4467592593	0	5.0584622005	5.4797749642	0	2.477264839	0	0	0	0	0	5.3031974723	0	24.152174598	0.7191153772	5.9860237326	1.5518710887	0	0	2.4847689723	0.1421509365	0	0.4340277778	0.1446759259	0	0.1446759259	0	0	2.0798554913	0	0.9773893633	2.3203443178	3.1033988534	2.157134477	1.8707399185	3.3064147181	0	0.6497515553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6457520707	0	0.8938000006	0	0	0	0	0	0	0	6.1367159973	0	0	0	0	0	0	1.5281782574	2.8972759826	0	0	7.1104045969	9.3895957857	0	0	0	0	0	0	0	0	0.7064068993	1.221385139	1.9932546716	0.4313194863	1.8530903731	5.7694251418	0.2821049195	0.4281434512	0	0	0	0	0	0	0	0.2113748562	0
M00001	c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1958714586	0	0	0	50.8300116148	0	0	0	0	0	0	0	0.9392414665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6188118812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3964540751	0	0	0	0	10.3634373918	0	19.9164980454	0	28.6287135504	0	0.4938642692	0	0	0	0	0	0	0	0	0	3.0667754835	0	1.6295443269	0	0	0	0	0	0	128.3410407684	13.6161738766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
