Pathway	Family	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	f__Acidaminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.2709605122	102.8809750981	338.2311647483	0	175.7513844559	0	0	0	0	37.7772679872	0	4.4382716221	60.9034774296	0	42.0666577127	218.9273278226	0	418.7370773221	221.4090108892	31.5769761555	170.5898973203	477.9706256149	0	263.7600507389	0	0	0	0	0	0	0	0	0	0	0	129.7870065338	169.6435949766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.8425674467	16.214239196	0	0	33.3959037272	144.7156578641	44.7362801294	32.1841304336	139.6158557739	25.7865013588	73.6489183284
M00001	f__Actinomycetaceae	0	1.5347527433	2.9089142597	2.440389928	0.2944185997	0.5210481612	0	0.0981204216	0	3.7584548049	0.193534233	0	0	0	0	0.9591989058	3.3627017611	7.5943428126	3.9490387669	18.2415537726	0	0	0	0	0	1.62219041	0	0	0	0	0	0	0	0	0	0	0	0	10.6891806259	4.444021412	2.2360646848	6.6111582782	0	1.6051539803	0	5.6726243132	0	0.5948859154	2.911612162	1.9377398789	0	1.4010429117	2.6327684478	0	8.2454518977	1.5177132929	3.0684122791	0.7591570507	6.6353544964	2.5467421657	18.7501742296	9.8684050423	19.1748442291	1.1920353494	1.2087763994	0	0	0	0	0	0	0	0	1.0008836503	0	0	1.4003563616	2.8391078297	3.9577380036	0	0	0	0	0	0	0	0	0	21.9547766856	12.9147069379	145.8395235008	14.4165481907	0	15.3308046576	4.7922552258	0	0	0	0	0	0	0	0	6.8863756443	2.1941313888	0	0	0	0	1.3319980748	0	0	0	5.3252141504	0	3.4532249493	4.0019336967	3.0527502137	2.4114118841	0.931193084	0	0	12.5923892208	0	3.8546967991	1.6279343443	6.9128027817	0	0	0	0	0.6880972721	4.1014120889	0	5.6476239288	10.499521869	6.130620946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2491011307	0	0	0	6.4830659061	0	0	0	0	0	0.7034872943	0	0	0	0	5.4199896597	3.1460282186	6.9803433513	0	0	2.3049639101	0	0	0	0.5474395852	0	0	1.463154291	0	0
M00001	f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	998.6400876036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.122369125	0	0	0	0	0	0	5.5257342525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.2363867743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4737596316	0	1.0356038077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0041463172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Bacillales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7139677577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Bacteroidaceae	4.7005173302	0.2987483846	532.2456463905	0.6117212588	18.0769671751	23.5657572611	4.3367912436	62.5233200179	0	0	0	0	0	0	0	192.4189951171	183.3449464881	17.9095451507	15.0813745108	0	15.5128692612	64.6938481244	230.7735224044	0	0	77.9972464007	55.8067127534	127.6329601047	120.1587386228	387.5593683132	253.9503836564	407.6790774557	231.3461306059	1376.1766470818	930.426303371	0	0	0	51.6484497291	3.4925982927	400.6413536519	61.3466805356	336.263797797	307.0208739242	130.6664893383	9.3453562577	0	16.0238081095	0	0	1207.2117318879	6.0650440469	162.9686380549	721.4003250927	0	371.6923432957	43.5164360197	0	326.3583538035	14.3366520333	0	46.8206922731	112.058986079	0	92.5711780748	308.4250256784	159.1669201092	280.64419148	91.3654183935	242.2334911748	117.7749188529	424.9998086637	311.0864294237	233.847327405	54.001759947	31.1625558689	1.4964069418	163.4512181206	139.599891653	0	370.1442332624	597.2625196194	320.9976878768	106.2403482947	341.8838871179	645.9655767933	362.8517178386	191.5997996668	0	0	0	0	0	0	0	0	310.2418474644	0	177.1181194994	497.8143819154	496.4250933433	88.7612667981	939.9652876901	0	32.3252620662	0	1.3242861556	16.5368146677	947.2039077801	0	0.7452599813	65.78142798	103.3262902269	35.2845922375	179.8415801216	65.182220191	298.004421268	14.6193716764	15.6355460253	287.8816285092	119.8092591292	630.0752704821	0	23.2350067869	0	0	0	319.8437798837	0	575.8010172992	39.7115029346	50.7080110312	148.5023760776	0	136.4875041224	0	8.3497760055	832.3614618427	0	0	0	0	0	866.2936844646	124.9448401317	0	0	0	619.5755182539	310.8904137228	558.4748231391	485.5745684402	167.595186564	322.533233971	1014.5603721138	116.0406287278	110.0248071361	0	0	0	8.1390875361	0	0	0	0	575.0959815262	210.4929462789	119.27069216	274.4250243007	144.0962654916	241.1525457658	18.5091759798	5.5558736813	10.5085481562	7.3463021615	60.8489556965	184.9815930529	6.31014488	24.6953536796	174.2992072813	601.9378390607	487.5993281888
M00001	f__Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7677450137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7750825377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5688990895	1.2108195456	2.2697600998	4.5124819937	0.4546700127	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Bifidobacteriaceae	66.2182134273	457.2029194946	182.1496744187	146.7750550139	746.4561579498	57.9174578912	15.0915612548	692.0434257683	0	1332.3370269549	1105.4878216727	859.6888093112	689.4908601168	79.7441121169	38.6023689267	19.4733827241	1973.5991532876	1285.8003770436	98.0017922599	1570.2963712146	52.2896803916	0	0	0	0	16.0097721007	13.5292086457	0	0	0	0	0	0	0	0	0	0	0	0	13.4281871093	0	0	3.7461724946	0	505.0457813916	0	0	222.3472844914	2010.1479234576	3583.7931176279	0	2827.7172385014	73.4752259754	51.9722297401	5350.9701819249	124.3912714934	52.0190839503	1043.8459706097	162.6537701102	49.3294321849	7.7686960995	1801.4958907582	378.8594974521	656.5059802604	29.8861219507	197.6957976715	492.93121417	1497.2573601614	4387.9560182795	2469.1695564077	59.7447891143	1749.9939690529	0	5.1174497128	559.4699927586	359.7829072725	67.9246564879	32.9483328784	35.7033781158	0	179.8849420122	48.3494646844	79.7020924024	149.2847904992	112.2798020936	117.6817173907	284.8984240393	56.079577839	0	0	385.9604836726	0	0	0	0	75.2693847444	54.4679582805	20.6838388993	113.3994692064	21.829182262	69.7569187884	562.2451981985	184.8336332462	0	0	2391.3990813769	1617.9622885455	337.3111573568	437.5974163902	0	563.1411671675	0	0	0	0	1.4083287692	191.6518095003	0	0	15.0137598595	28.9322152917	126.2927460839	1476.2805290248	162.0611302443	993.5394550922	2851.8974629097	3279.6347316841	2.3418768041	0	73.3674880521	0	695.7159727379	37.8279586118	0	31.4033162904	0	25.1200213399	114.9859183005	0	0	3763.4682433586	0	3092.7971455663	183.4767037049	1.7930707366	3614.0902574891	2.4051097737	0	1106.0047007939	132.4700242645	690.3909917305	224.9449591614	1.7942952603	209.0200418524	40.3863141321	151.7805478749	33.0879353046	0	0	0	939.3327785206	0	0	0	0	58.5222399583	18.0777280837	22.8303028215	267.2097678798	1989.5971031117	51.0964062145	3336.7334973274	2984.7461886313	0	54.8235999277	4581.0280631328	2341.8169361641	1962.6047583951	6053.9587150427	1144.5572610674	586.2793614552	1894.6715275711
M00001	f__Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5474840368	17.5638889393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8379222971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Clostridiaceae	0	1.5575843106	2.7357189756	0	1.6261099034	0	13.1599607805	0	0	0	0	0	9.1434719733	0	0	20.4771133056	0	0	27.9807986	0	10.9224121081	0	0	0	0	0	0	0	0	0	3.2165421307	4.3422129865	7.7128176868	0	1.717037133	0	0	7.0875494902	37.8695171149	7.7008665005	6.2715021128	7.3614389079	3.5936794013	11.5473272367	0	147.3068477387	0	0.894280172	0	0	60.8863921785	0	0	15.1915066758	11.3588860767	17.0764244358	0	0	5.3443821886	0	0	0	0	0	2.7971973672	0	4.5363669682	0	12.2884387636	21.9229552371	0.4541790334	2.6991920824	1.0407913456	0.2582761695	0.6470094116	2.5928793758	2.3193719813	21.7787061326	20.5685282529	0	0.453784241	1.6641561383	0	0	1.0039861715	0.7237279061	3.1369202367	0	0	0	0	0	0	0	0	0	29.8209213764	0	80.5700054947	0	56.1137062851	75.701885496	44.1707803984	11.8199537701	0	0	0	7.2151554079	22.4075049412	4.5704935038	9.9097055141	0	0	0.0843898004	0	6.6241022358	2.8462629833	0	0.1397017722	1.4728741045	0.1422070535	0.9406814144	0	0	0	0	0	2.2867409153	15.5673835009	8.7024313097	0	0	0	0	2.1612383318	0	1.662291913	0	0	0	0	0	0	0	1.3971670088	0	0	43.8546464231	0	0	0	27.0418954329	4.1474864377	0	0	8.4636800923	7.7233710691	0	17.863600211	12.9421690979	0	0	0	0	0	28.2442809867	11.2123797103	19.7529668612	22.5685597592	49.2664664766	28.1164509246	0.4493885673	0	0	0	0	0	0	0	0	0	0
