Pathway	Phylum	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	p__Actinobacteria	290.0665107183	656.4258668798	428.4777610175	435.5146477507	1000.5586643681	114.6525044776	100.8676199435	871.1256533143	0	1336.0954817598	1105.6813559057	859.6888093112	689.4908601168	79.7441121169	38.6023689267	20.4325816299	1976.9618550487	1293.3947198562	101.9508310268	1588.5379249872	52.2896803916	0	0	0	0	17.6319625107	13.5292086457	0	0	0	14.144633354	17.4216777986	60.831490067	0.5276316206	0.82019073	0	0	0	145.6739139567	110.4479194844	34.831273555	232.932929132	81.8139133491	201.3826653032	513.5136695032	252.6945400212	0	723.3981992485	2013.0595356196	3585.7308575068	0	2829.1182814131	76.1079944232	51.9722297401	5360.3380029476	125.9089847863	86.2319613112	1049.5945765205	263.3233177894	156.2022248152	26.5188703291	1816.890030053	553.0353994736	710.517446155	177.9898359353	227.8190358719	496.1305839508	1497.2573601614	4387.9560182795	2469.1695564077	59.7447891143	1750.8566896935	0	6.1183333631	561.255132159	361.2404751417	69.3250128495	35.7874407081	106.7441220603	0	183.2373702653	130.3804362094	180.9499098841	267.2442502587	192.1479222567	118.81293622	286.0180615171	135.0922112506	21.9547766856	12.9147069379	557.0363939477	14.4165481907	0	15.3308046576	4.7922552258	75.2693847444	54.4679582805	20.6838388993	113.3994692064	21.829182262	69.7569187884	562.2451981985	184.8336332462	6.8863756443	2.1941313888	2391.3990813769	1617.9622885455	337.3111573568	437.5974163902	1.3319980748	563.1411671675	0	0	5.3252141504	0	4.8615537185	309.2977548942	3.0527502137	3.4470156918	226.459755693	441.4967697712	268.6216895441	1488.8729182456	162.0611302443	997.3941518913	2853.525397254	3286.5475344658	95.4701926582	0	169.0470554746	0	696.40407001	166.1104912412	0	230.1344058885	10.7800024151	223.5168744851	114.9859183005	0	0	3763.4682433586	0	3092.7971455663	215.54719225	185.2162114582	3614.0902574891	2.4051097737	0	1114.0088471111	132.4700242645	690.3909917305	293.7325988718	329.2796162611	209.0200418524	40.3863141321	223.8644105183	147.6450036439	0	0	0	939.3327785206	0	0.7034872943	0	0	159.5877934959	35.1014777342	81.7835792407	327.882968186	2115.3924544665	193.1821198302	3339.2692296562	2989.8299215072	0	55.2438035463	4920.0782937031	2377.0488483667	1972.7977494656	6066.2644173969	1439.0953304764	706.4561077118	1894.6715275711
M00001	p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2830722994	0	0	0	0	0	0	0	0	0	0	8.6266989148	0	0	0	0	0	0	0	3.5862425581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2308.6123262274	0	67.0863650858	0	3.1664662221	0	0	48.8363789264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.9561817947	0	0	0	0	0	0	0	0	0	0	0	2.6785241785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.524738448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	p__Bacteroidetes	6.5699924236	0.2987483846	533.3355918085	0.6117212588	18.0769671751	24.557120859	5.1106669493	62.5233200179	0	0	0	0	0	0	0	193.7389218365	183.3449464881	17.9095451507	15.0813745108	0	15.5128692612	64.6938481244	280.6946686597	0	0	77.9972464007	57.1303890731	144.3195895247	128.1713052105	436.828740868	276.8592849385	437.5418330674	250.7702505113	1431.295058277	951.9395587519	0	0	0	60.8818007335	3.4925982927	432.7836988443	82.3903247616	380.951755919	352.0151584113	130.6664893383	10.6867723585	0	30.4961342629	0	0	1325.1932809644	6.0650440469	173.9123549143	765.8899196432	0	400.304540363	43.5164360197	0	326.3583538035	14.3366520333	0	55.5892376985	112.058986079	0	92.5711780748	308.4250256784	167.3462327249	291.8552579664	92.2580630614	250.8535858375	191.3903847808	439.7238931405	457.8789500873	323.248112832	58.4073537741	31.3124359648	1.4964069418	171.3195806443	145.754372624	0	439.1237298148	683.2874210944	359.4909597624	112.9196606358	388.4957486297	733.9446685414	408.3161625643	201.0457965536	0	0	0	0	0	0	0	0	310.2418474644	0	177.1181194994	497.8143819154	496.4250933433	88.7612667981	939.9652876901	0	36.4239429709	0	1.3242861556	16.5368146677	947.2039077801	0	0.7452599813	78.402684942	137.2376219907	41.97856734	253.3505917111	83.1833055339	352.9944987915	16.1932570554	16.3712657846	338.1362953975	140.9130351724	853.7693405833	0	23.2350067869	0	0	0	319.8437798837	0	575.8010172992	39.7115029346	50.7080110312	148.5023760776	0	136.4875041224	0	8.3497760055	855.9366015256	0	0	0	0	0	925.9257418355	124.9448401317	0	0	0	624.662103987	310.8904137228	573.2344064698	591.236817424	167.595186564	322.533233971	1044.7262361476	156.159570385	110.0248071361	0	10.1403638357	0	8.9577992635	2.4523271214	0	0	0.4129660273	577.4937569411	226.9797696414	129.6204597064	289.0583077772	151.4230093473	258.0404450723	21.6041298225	7.7634897997	10.9441973704	7.3463021615	65.9450696636	203.5343147231	6.31014488	24.6953536796	183.2828310716	660.4242836938	652.8640957685
M00001	p__Firmicutes	462.7138004467	2869.4536621458	402.1405601227	1874.1610893193	2500.7115155381	805.1718609272	1760.1348952152	1968.311596283	431.4649093067	1116.1580796562	1220.8722047497	2098.853142244	1163.9950282084	504.5502652992	890.2137198085	840.4133421581	233.4976436449	951.5476979653	911.2429917384	1060.3580515675	472.7589953706	6593.0452694437	109.1832990139	2966.7871158847	1228.3496623405	472.430345521	627.7243460014	264.2956806149	333.7076473233	161.6318109398	1840.4284113291	514.1158979954	727.3820224094	89.0484769398	67.0450648362	7.5578580166	3336.1575871989	1676.5066208858	1061.8114819782	313.3850408963	1887.4344974949	534.2845781145	216.4959309103	2879.1104298071	1250.3715049627	886.6205160305	332.0304092817	738.3965542324	242.7426070483	411.1657829203	205.9019541884	856.6362955624	652.8150993504	453.1537704717	1344.6729217682	797.9741259819	2724.8195776224	977.5352025651	3923.3015239688	2499.1942104358	5538.8415041006	1446.0627654107	2730.1660085585	500.9223576258	2962.3527774591	227.873326294	516.5391451172	358.5983379032	630.5237574732	727.24715726	3819.7071461554	837.5847475814	2516.1266759421	2421.7846959325	678.5798164253	1509.7433427237	2801.7445169473	2975.8237913275	483.9860964085	4167.4940232838	976.00822256	912.0134494758	1725.863365457	1215.8709340489	1020.913208421	1197.2520334816	128.6685363432	346.2586363248	821.9091329679	1640.1564171849	4438.3355781429	3523.5343373543	1123.350106545	1917.546281089	1296.4669174251	1799.4513218921	938.3460772224	5760.0304209463	354.4424662241	444.0151015124	462.2037641476	828.5557863123	610.5205678661	1003.3505336784	439.4341399611	219.4426337083	552.5494883212	710.9319140272	225.7762268239	1158.5802942602	119.3612891851	324.7113905464	266.611009161	250.3411893672	2442.7426149899	378.1724640111	2866.1203163973	199.0904955302	538.8824360585	364.7673624758	251.4738353286	941.630510394	1864.0623565006	176.6953026777	1029.4046455148	1025.927481818	922.64596409	403.6905869824	2439.6713453716	735.8311383675	788.7144337544	676.3862869432	1757.9484847137	230.5879297041	1981.8440925284	2412.1946454429	1117.7502237863	889.092153134	143.1522182704	2557.9828202809	414.5878287872	1594.5140951033	438.3345969249	1114.4880120627	1371.4570241823	1293.5499832798	1888.0897913757	852.8202826742	1028.8035356603	716.4703097023	209.6690265203	1453.4498599661	2228.3243822823	690.2624132515	217.0833136017	1097.7189767035	797.1639616647	252.5757080928	176.8479476368	683.6467490415	382.2845935917	144.6078878744	106.1433500351	60.0767357321	462.8770616177	1195.5968604105	283.2786007348	419.1108673392	368.4847064523	656.4255717898	608.0043192496	152.7229554234	64.6738669215	69.7055906649	94.8824556004	911.0005505189	1768.2726394279	3348.983212528	277.2672738795	1925.0912264811	458.409205627	1362.516726356
M00001	p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1958714586	0	0	0	50.8300116148	0	0	0	0	0	0	0	0.9392414665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6188118812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3964540751	0	0	0	0	10.3634373918	0	19.9164980454	0	28.6287135504	0	0.4938642692	0	0	0	0	0	0	0	0	0	3.0667754835	0	1.6295443269	0	0	0	0	0	0	128.3410407684	13.6161738766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	p__Proteobacteria	39.9077332067	6.1023809349	2.7868472575	0	0	0	366.9633166068	0	2577.1923869038	729.4941608566	271.5399167128	525.8081331307	62.9534611634	6.0988710153	66.1687715085	5.1197215143	38.3798838447	279.7902775929	0	124.7327981785	37.2292953689	767.9340550973	0	0	0	0	0	0	0	0	7.7872735384	4.4850599506	33.1804743308	0	0	1937.6969049613	263.0162633413	34.4362939942	228.8142668042	541.4785368727	78.1537219826	311.3176340384	36.5472995968	8.0035494575	463.5280337551	1225.1019153631	20.0665778258	92.7132477949	170.8983616223	253.3575038127	148.3600813169	647.8522308923	49.5272035145	0	67.9114395275	0	40.8400794146	18.0671802278	43.3814053473	18.9118841734	0	0	69.9744980115	28.3098515403	16.3216753337	8.3080554792	112.6965210976	433.698888831	8.1948747283	36.089342832	65.6045171765	103.9090567122	114.0633944375	177.4002795793	52.2556704172	1.8333673325	87.5765149826	110.3875796859	65.4869320172	841.272470865	0	0	0	0	0.7140323676	4.7851165661	690.451333629	0	1915.9755702305	2953.9256262573	0	952.5010580135	0	993.5018635484	1217.4606088785	1201.2658337649	21.4352347036	323.300140552	84.9093795993	705.612196816	5.3506039158	24.4905209923	0.066034121	52.0113528624	6.0529654229	1320.8738228561	1547.5454620667	9.10315952	0	47.7355991115	0	0	0	0	0	32.4429949246	0	1.7078479696	0	0	0	70.5655697265	830.7815107485	0	1220.1644936093	1036.6696251766	36.0436214992	18.4716675032	357.8500455743	0	733.6527705522	487.9049487831	409.8932126095	792.4385165201	240.4340852814	438.1748983322	110.4515659541	0	1869.9356256864	749.271521252	61.5488448826	1098.4892374744	928.5061686159	21.8955739395	11.9306583729	519.2010407952	1386.8437471789	1459.4614659178	85.6371069324	462.9127020492	0	25.9801559852	5.6112414831	533.5232031626	25.1448235308	28.1094600133	12.4402483204	2403.3425484336	406.5132999878	119.7427035233	25.5943994177	230.0698783822	23.6440887173	55.0633890855	60.7410512672	0	0	54.134344195	43.6675160079	98.4468884197	0	57.2016733599	27.6083708671	57.5877283909	0	77.7479894182	79.6127431271	174.1869223326	240.7399869832	18.9130644238	0	7.9460447262
M00002	p__Actinobacteria	126.0436234099	537.7131889005	214.8877458591	181.1618233143	921.2167117542	69.1429793473	59.4521017188	811.1431163594	0	1724.8854914074	2227.556525954	1386.3421681406	849.2051733414	87.3111244173	59.7692178552	41.4678050563	2438.5311594326	2621.7968489953	135.7465957448	4970.8224076715	57.4796630253	1675.2115727128	0	33.5833527653	3.0606022345	4848.8300968365	3817.6435879575	29.5111972018	27.6859925456	0	0	0	0	0	1.2224309256	0	0	0	68.6497589748	16.9360466434	6.608313395	20.8233140514	3.7855114232	22.625692483	592.2396405878	28.188281421	0	1409.2860510983	3947.0172728038	5994.4524285398	0	3935.5977364861	73.9394665445	71.658947055	5594.5030874285	198.1580327173	66.2160594491	1690.1889581522	168.3051770013	63.9543346244	16.9728521461	1983.6719747559	423.2153342035	1403.8687857568	37.2054718741	717.0578908836	583.6221576725	1782.6615417589	4984.4940420558	2774.1301113091	68.3744183343	1997.2550647318	1.936801868	5.5897037262	698.7475276684	451.6198967148	74.4688843148	38.7295175796	41.3496476961	12.3749548731	489.8726928436	105.2300592659	131.0279916484	194.4651103924	265.6652826314	279.4724495797	338.981574115	571.6259329389	17.0921059259	10.9726582209	545.4520209817	0	0	19.6900119618	0	81.7263519991	0	24.4531981745	0	25.1701324373	0.425170068	0	66.8240265675	0	8.8574287081	2773.1722815578	2365.4366714832	159.7578626177	204.1187818998	0.5876572302	188.5031564366	0	0	0	0	0	181.3148355433	0	5.2522379794	14.7043363739	31.3739728629	151.5266283319	1775.4511384845	180.4549730057	1138.9981400529	3066.2983179311	3446.9774205342	32.5490018442	0	1293.2204094802	0	739.7371765314	281.9912174082	2.6739525713	633.3714877704	9.4807947093	512.1957072804	206.7198263296	1.3180536964	0	6432.3530524694	0	4994.0011789703	190.9568786171	25.2112882263	6231.8027700131	10.0669827824	0	1896.6925041759	140.2618877378	2010.9480796075	231.1354966475	18.5086536726	213.8465380656	58.1401771198	160.5987560429	34.6579490111	0	0	0	2153.8180399556	0	1.6933990266	0	0	104.9984093191	36.6407342075	23.9397405282	292.9677154062	2302.4980296627	57.1665702573	6638.7421678182	5448.5597199692	4.2178426737	124.5140209775	5172.3356599139	2613.3217786806	2343.7484721684	7141.1474502852	1380.4765071989	754.9813193828	1935.4644162011
M00002	p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0778640519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9905071002	0	2760.1740389421	0	68.1088627714	0	0	0	0	60.169895578	0	0	0	0	0	0	0	0	1.4493508766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0099830862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00002	p__Bacteroidetes	0	0	556.2017796976	0	20.6713024482	16.0974145937	3.7247031141	49.7994515514	0	0	0	0	0	0	0	220.5226686333	236.8477631564	22.5734277918	0	0	0	0	282.5340125095	0	0	86.6341694921	62.9756393604	139.1757527692	117.8883553732	378.6024322737	273.7233572976	407.4950815584	214.2432686424	1104.3825934085	1004.6041533892	0	0	0	53.5107778077	0	427.1030332277	64.0736415663	342.163428312	334.7774500716	86.3842369461	0	0	39.8696838805	0	0	1353.0122509604	0	135.6852325578	637.2970333754	0	294.3552958043	63.696501846	0	472.0505346829	12.2642287803	0	80.8634118654	152.9137120169	0	127.7319806374	318.0832349246	89.1756078912	266.5996700054	91.4579564865	269.2192291643	186.5291783871	401.5180683973	479.3510857526	335.3370151536	51.0199932986	25.6593635115	0	155.3968949871	90.7573793129	0	542.1644585773	741.5641706704	328.3736154025	101.0215337295	483.2473156417	764.1922389598	368.9788686555	225.9198111164	0	0	0	0	0	0	0	0	283.4929551414	0	100.6911176584	440.0501995818	315.5915187372	50.162807615	470.216399254	0	49.3095808255	0	0	0	502.0026664256	0	0	91.4189397256	181.1227448857	52.5204961519	291.1545256328	120.2589531219	287.4675560108	13.0569986404	18.2456978474	280.4852422573	140.9848423238	809.0218101118	0	31.2044558664	0	0	0	145.3701356428	0	452.8127075505	51.7299259207	65.1591740139	143.781202873	0	142.5869316636	0	0	1093.1721996206	0	0	0	0	0	902.0169992346	137.7270070533	0	0	0	715.084843168	356.4344254799	824.4230992346	678.9426406196	159.3785972541	407.4628348967	1244.0350187123	202.5158582382	68.1566395609	46.6338331003	33.225123154	6.3051978818	21.8003320395	10.0225217789	216.137629657	301.1930148283	1.551856789	568.1555025345	264.2196434136	84.7027375858	176.4905170949	135.0949754399	159.6066296314	0	0	0	0	47.4876265465	181.1353196632	8.2253733946	30.7992288192	156.2731277101	1266.3729657919	628.4903232663
M00002	p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2706311152	0	23.293804389	37.2773656833	0	0	0	0	0	0	0
