Feature	Species	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNMAPPED	NA	870332.19740199	1062637.64925115	1035335.62699828	1202246.54276805	1056418.41242422	796685.777255302	957872.831074355	1009530.14225549	1235019.80418057	936461.562305	1046778.23985984	963278.683506702	1606214.17470303	1259236.81641874	1210304.13983755	982347.371922547	906018.94936133	1082344.02834097	989595.487934444	1179770.41447014	871795.347872677	1206682.68113834	1147779.4365113	895206.615456712	695392.817243435	1386426.24836255	1056058.15685181	1028831.10377803	1194089.26029174	1366131.36782283	967851.946121059	1055993.70009338	1251289.37779895	1136030.19973758	978726.246584872	1087299.34205719	975964.249984322	788258.111806466	1303832.69124396	1339000.18016991	975547.485436957	1536923.54524673	678690.774489585	1095918.71270755	1472494.59376718	1505037.76667464	1010317.23183457	1169680.89508397	1073934.81168703	1246373.55233722	1453116.15013981	1087741.47668482	775002.805601332	933940.039517239	1346742.97418286	1106560.35695231	801025.477229999	1093597.11537037	1457972.05497797	1026755.38737195	1273136.02650961	1137561.92236777	1107931.09130428	906520.624207413	1154752.50537618	751871.583884987	1136817.05694211	934929.872352484	1402204.96240671	1315058.77714908	1163674.12726176	1310337.99160045	1102881.8675991	1075194.10628967	905825.651822911	846965.248820915	823595.367629735	1484208.70445708	1121400.30628327	2013877.17720078	1424717.32820937	1401121.90336224	1624129.33039559	1092474.18128791	1221316.91088794	1306492.57676832	1532436.92150514	1211434.92323964	1152016.4619674	1511648.66761871	2673974.03791191	957746.564072829	721507.90893247	879268.195950448	1144123.44434623	1164686.19929125	1138571.79836875	1112254.0791138	600005.86014583	1379367.15047908	694017.746066915	1142367.57669398	1272519.83395798	1463982.10319562	1111101.81623045	1265728.30865916	1573063.48101583	1224886.57266609	988301.493636244	1146168.23358699	1053186.54868373	1738460.29061211	1584711.39506589	1436542.40860127	734767.667662908	1412170.38896315	1253796.4438196	1095511.42427954	1261687.08726791	972907.64205592	1018212.05773581	1085211.1871601	1041754.10706711	879767.814314228	952034.588667323	1127534.57885714	879708.039036266	905540.068057479	1221521.17779226	845022.7905165	927510.341892984	969527.990284238	1222051.39999504	611570.31532103	1536164.69545405	1021136.64490933	1058844.0864784	1164399.24617025	986683.24948535	929422.704615142	1005278.64951338	845804.443530464	1202198.92107738	911393.243484257	1136974.24824542	1244948.61963801	945527.100653133	1192956.22132264	874273.076051309	996682.045845744	1099176.24953548	1229894.23433634	1468091.76713316	1072027.80042305	958091.420084489	837444.40470376	1209166.41666351	1335717.49006323	1035806.11631955	1533034.5062199	1108111.96612391	912434.043754719	1175960.85888643	1324117.85075573	1140165.41890324	1588732.15111192	1292238.18984708	967216.087693195	1041795.05043307	1757870.60071279	1142822.406138	1428821.85841188	1137143.67411911	1184182.55888168	1462835.64824261	1233464.1301515	984578.262949873	887623.137364768	1254198.38195463	905685.965401296	1322840.98829436	924181.416554265
UNINTEGRATED	unclassified	534171.904560933	603747.709759055	593558.158880257	625960.194319937	509448.887235272	233588.098474397	469439.586936987	453678.713761917	404102.028048324	276066.896575717	343971.787134637	391525.758496193	887571.098134059	1084459.06136849	1147139.42447963	386917.141619394	240582.804450989	279444.033014177	807584.781612468	295957.718459377	341287.927076439	644998.305563287	625519.787238281	356947.208550404	375225.557985782	389369.258930549	290634.350395668	517269.184914506	696391.054395466	743944.654914542	709882.25092256	630986.184804452	668434.927764764	400741.650229578	371435.234902582	235168.378147859	303350.724298658	526259.877140319	1095631.77692197	685405.902266664	426505.748537873	1253216.90691899	395189.306506346	599788.872449668	432648.213343235	880467.437412978	1340001.52767266	848495.470759869	144479.079744369	263461.758508193	703208.270044925	203735.246195254	283626.640286663	320000.648151197	240933.348214303	591590.4415448	349441.667606188	768785.878264858	711287.578384426	553593.104198881	541874.977312749	414394.992161347	477939.483249235	451776.426485386	634456.159290507	472396.999210851	898377.784714314	430846.281602197	423630.206487388	731367.152750345	667383.228149673	927592.004621737	756648.164855113	522324.171127288	733384.395458047	768018.22444487	318153.231671966	654835.585509787	679134.263986274	463081.108282118	819059.465932229	674067.753353197	921185.272236845	610044.477882612	728218.655219481	811898.91212919	1009065.00045903	720034.0808299	236905.647877513	331413.054779386	3150577.81711643	334642.826999492	380065.770083681	268123.454667536	382421.760783894	313407.256759422	635283.139529345	306197.531890686	277444.926481947	602241.95540671	342421.630737852	812990.780128112	841996.99146405	1738485.61024327	849836.765550976	416158.64854681	478354.720413252	994610.590775108	585432.420403223	1127831.17770073	1072245.30420805	1290168.51793985	1032632.60379412	1288083.07310648	139984.717480609	989234.205825599	700594.116813977	1172013.81563324	892295.793841871	598478.353362158	700085.118186458	571502.352699113	450574.464996545	491246.03039114	234528.265644141	255757.37589232	153473.950897949	520353.576354523	459444.122044028	425622.545380281	466352.096363572	725223.363499253	686593.198999428	301799.971010637	892641.724554473	436019.378819096	671976.393390346	671061.336240252	161110.814997443	371459.987173372	235392.35973823	348403.672649005	523738.266419334	503349.953389621	595410.91134449	339027.434881304	425006.009711102	566666.058656025	340279.259104761	483390.845816103	544023.072425499	841158.186205242	712685.4122528	567223.02693572	747531.644772226	609785.412387955	646406.393644641	260441.821146536	823627.677146384	2083770.16873764	1207376.30694557	817832.887131465	1068066.52742625	1054862.51024616	749239.016594658	972794.695388052	646814.770097004	579859.86945328	616738.849765454	1237863.44686614	889159.66081904	494303.975279082	370662.443370726	737452.323098603	841171.892027671	381069.231789475	387207.499613034	321578.660695238	196345.499451427	466758.719114133	676666.60398179	206763.572453647
M00001	unclassified	45.4934414857	19.6619265248	66.8244627603	16.1080079221	20.7253158385	10.3607415963	39.6295496209	0	0	6.5128176062	56.5713794793	85.0476171861	41.361333138	49.0101419991	50.9138808121	11.3542928904	12.6428759552	4.8271909991	11.9574932984	11.583139485	7.7506616761	61.2545228257	20.4192356921	2.09584491	0	0	0	22.0941548501	34.2424032866	49.5487509343	32.6584501984	43.4555053853	48.8253816739	12.0298872208	0	0	0	15.5213347485	41.0231423892	53.0740605919	18.9774095772	37.5819547814	17.8828440966	17.9416587647	8.8177519797	49.8101569051	47.229472882	15.7109389121	3.5081864494	0	0	18.6425423895	16.0592386936	12.4207727651	17.6601327803	37.4011526065	6.7061268701	70.5580453371	16.3726049891	10.7412053574	7.8021521417	23.8865384342	16.9081449642	67.9368811771	14.680469807	39.5953913733	7.4493157462	11.8864534621	9.6319793693	15.3049475618	117.3480894875	16.1915994877	117.3391837053	51.0970404907	5.7590905372	6.2968688786	12.589048873	0	87.160789201	4.2351129896	141.3068265403	81.0210561238	37.1380984877	27.1368956003	100.5941855658	149.6889980423	21.3165598978	31.7516829375	4.6446847401	3.8143926011	4161.3213106015	0	574.4820083857	4.9329995467	0	88.7614400423	34.4106668163	97.8869012596	0	28.0291862587	25.1810826243	42.6733443015	31.3294880621	130.5139808511	16.0320730793	11.8882571247	18.3977750106	15.5325710799	28.2739192021	65.8808995896	31.8790582295	42.2843665081	33.9129362788	0	0	23.2530541283	18.7421363227	66.4394016488	52.3140788271	25.0747900302	35.7079725239	19.6332196244	8.7967151062	0	2.5894673984	2.3816333495	9.3173499516	82.4712564866	10.3640500943	122.6743854295	0	22.0264382716	78.9568139544	11.4226481875	106.6368157897	12.3012581145	156.9469622	30.0715570768	0	29.2987612346	0	40.3954887199	14.8952396089	3.8475509802	79.5658603033	8.7394278129	53.6397977063	78.0887425142	31.2723026935	20.0106673385	35.7998794465	16.7648815464	82.7834512335	32.226814917	33.4259314849	13.680312702	12.5960842404	16.6230735911	19.5868901145	270.947708108	27.304889608	40.9115934117	16.5057094607	28.6806982914	24.5149490417	61.6617278516	30.2874891444	64.7721269224	58.5689271825	86.1337166284	41.0803214994	35.3343325927	26.6433357125	58.9713537038	85.2641366451	11.1156424999	5.6907576336	7.0660980458	4.8786569253	19.4061524224	30.4122214461	2.4648058334
M00002	unclassified	86.8202402903	34.0834276542	115.9408826284	0	0	0	65.1865015682	0	1.2095912932	0	100.3815601947	0	35.5727897061	36.4929933116	50.7523258823	14.2984471964	17.2436775364	0	14.9428667277	12.3842749575	7.831020986	0	0	0	0	0	0	0	0	19.9591819438	27.6007819037	38.2524185035	38.0619125131	0	19.6303277939	0	0	0	29.0068943094	67.6293811573	0	31.2300228935	10.9190394007	12.1427485891	14.1799911836	69.3680669594	58.4616329273	11.3029105754	0	4.2663453589	0	0	9.4276304833	0	17.6035204639	20.2137283743	0	25.6525297284	0	7.2386074465	0	10.8524347123	11.9151983776	84.1035709474	0	17.4911569002	9.8423981067	0	9.4870041753	12.0268582414	99.4485762212	16.2841021635	104.4288661583	44.4192099597	0	0	0	29.6251025249	146.1869752026	0	123.4658220342	74.3025611984	54.5095045999	39.1636713218	156.7534303693	125.5737837142	31.2015947651	35.9056799274	0	0	3072.5654315611	0	560.5920225211	0	7.7097451705	85.0952981408	15.7867112618	74.0254182633	23.8218128809	34.1415234454	19.8105977254	39.7167371096	20.5097521371	187.2287619821	0	0	17.8258112076	18.680380328	31.4449851276	38.518275087	32.9717414113	36.6618591821	20.9197273072	39.8001588939	0	17.5181474343	0	45.7518336844	85.9909897489	39.2435546355	0	0	11.4007956055	0	0	0	8.3112251983	141.6618743889	0	0	12.3026174757	0	140.243764901	0	211.8971809463	0	306.5487514027	30.5663161858	0	0	6.0495644887	10.5307404952	6.0713493143	0	141.0835672892	15.1970505477	19.9740060457	24.8178324648	42.4290604603	11.0859946183	45.1410459998	22.2696029856	140.1985743709	7.6502665233	35.7859525496	19.3764282821	21.0622617147	0	18.4038527182	90.6067250581	31.0443451582	0	10.7734723249	30.4434355863	0	51.8539166152	33.2739030819	106.4481061602	65.7802758745	119.2277398065	43.6095144243	64.2278200795	45.3140132804	79.8436098419	104.3817132943	8.1462824395	0	6.9954598257	4.8102590999	9.5876106959	43.2676423808	0
M00003	unclassified	0	20.4905716416	68.2298004143	0	0	0	39.6842329397	0	0	0	61.4740468603	0	42.0974869042	50.9808538974	46.2592001579	11.9754424434	12.3363289816	0	11.4169224228	9.5664039669	6.4573095711	0	0	0	0	0	0	0	0	18.6040073223	33.1702048259	31.5413563152	49.6224328377	10.2985034075	0	0	0.4163659364	0	43.3887192394	57.0706683966	18.4710176319	36.7121114843	16.4568040825	13.7800430809	8.9139874519	52.0875369716	44.7846224895	0	0	0	10.6813878688	0	14.9244991005	13.8942612999	18.9658122561	38.51007415	0	79.3193989858	0	0	0	19.9765962946	0	64.7670380045	11.6057548993	23.5627598226	39.8263240806	0	8.0978849108	25.4578372171	11.0731852474	0	37.0241104801	13.9112382586	26.158421786	21.8160362027	0	19.4262601776	0	0	46.0958035002	56.8139036208	49.0501830225	36.6748687053	103.2423165237	61.3283198156	28.6206547532	36.9817135112	0	0	3136.1267449106	0	434.0374694639	0	0	64.7408193483	0	71.9198930572	0	0	0	25.1995518403	0	133.6807576667	15.0191679943	0	14.2716615093	9.4250052341	0	60.6685562632	24.2885151826	49.5642674024	40.4255692746	51.3719858867	0	28.5860236823	0	62.3559763609	60.5440434303	0	0	17.6674032832	8.8508771987	22.7556630679	0	0	10.0087247268	96.8035074833	0	144.1491774699	7.7705078718	0	92.6267391658	0	140.834141794	0	195.2157450039	19.1794158184	2.5867841469	0	0	0	10.0690939427	0	98.1473726937	0	27.9176688881	33.3094315963	24.1331605656	0	0	18.4169089809	83.0814484725	37.7128472799	0	13.6139451381	16.92863763	0	0	0	0	0	16.3851381464	21.1888903374	0	63.9835451645	31.4619235386	0	65.2162973587	112.1576757589	60.5830025508	38.8808323043	29.9991385332	65.459370614	0	0	0	6.5714584029	0	12.3759403196	21.5419420915	3.5352702865
M00004	unclassified	13.7614112705	7.232425621	0	5.1419377767	0	0	7.5014718446	0	0	0	0	11.9841639529	109.5990552263	35.122732414	51.0047254789	11.2789218172	6.8947323243	8.3560406666	25.7852719603	13.4118795852	0	187.8008639272	37.1248227583	0	0	0	0	0	31.187613635	96.4112921222	36.8657393041	53.7270687522	44.5037314105	38.2213184998	19.2709908396	0	0	0	60.9102083074	16.6938023013	26.1339872768	54.1262866592	21.7953461222	33.0992226916	10.4665247451	29.3396436055	13.9023578412	30.5718081511	0	10.0088120586	0	4.9455095985	23.6618674555	13.9217644304	17.3133223567	0	9.8753255873	8.2745785729	0	11.7974475748	0	0	13.1104838609	16.528220492	24.3230429949	83.7872642571	5.8875706216	8.5803809399	9.443503064	15.0274678549	83.7009884695	21.8469327198	131.3802179761	57.5808901807	20.440009722	27.2663478547	3.9540516097	5.4175756473	0	3.8316699876	139.7434802964	171.5273037714	90.5849738821	55.9514618135	92.98241523	220.3470351616	0	70.4936841115	3.5143524503	0	4778.15162323	12.2846519385	483.919950692	0	0	127.6469479367	67.3860890796	171.4161303918	0	151.9782825069	77.3951127884	126.2693096154	137.3960129432	63.6088300211	34.8677055374	14.0854852643	16.7741571864	85.0122372976	67.5304528996	42.4474656482	44.9368086637	29.5986189011	0	0	0	25.7264766624	95.8676310482	51.8196046123	66.0771430301	0	111.1517402324	28.4114961523	20.7953242489	10.2035356847	0	0	14.5232291706	38.9294506542	0	0	5.0532432373	25.3611554657	20.5515517793	0	17.5489037087	18.7211146717	0	105.909895685	0	0	1.0769831826	0	11.4580020514	0	27.4549046126	6.0070086356	58.2826525869	97.8973991392	34.574188541	10.7837865999	76.2003872536	43.8236411534	23.2583978244	10.6031385711	76.2365688315	13.7859519645	15.9358699062	29.9585465649	78.8246319762	774.3269259752	24.436662069	77.5863848822	27.1642307333	19.4823540527	35.0903526681	69.9960189137	0	15.0089207589	22.7101775956	38.6124971385	42.7601433369	30.2326316876	19.9180756563	3.5723614218	26.4060568442	18.1188695592	0	78.5627837258	0	26.1633842674	11.3073289099	7.089958664
M00005	unclassified	1.1007157985	0	49.5438606166	3.8821399959	3.5013575375	0	0	0	0	0	10.6930236354	1.9472071146	44.4228584754	101.2401263033	123.3687141481	19.8496574278	4.5677818251	9.8336159041	12.0638356157	0	7.057083871	337.9852790941	62.4685811378	0	0	0	0	81.9169555831	87.7858739661	179.9873713734	43.5072728924	89.5689943924	49.7770924195	31.1838334042	52.3235221536	0	0	3.1383555625	32.6099418021	13.7789861056	41.2397245666	19.6138468861	14.0343127079	13.6429278299	0	35.7189825645	0	7.4147077996	0	0	65.5769743843	7.946473399	9.6561858803	9.1290454818	6.6357418711	49.4786231708	0	0	23.106434187	0	2.6041435646	5.4657390112	14.9140509428	8.3543493043	2.8647301758	13.901372366	15.887230408	5.2959633407	37.43245892	35.7388763404	39.5056121232	17.9824216231	71.29735204	19.6802121022	1.9267196906	1.8025978777	0	6.4940079996	52.0947826357	2.1741782016	42.0928986007	68.8387025822	25.18668166	10.7783586726	54.3931884614	72.8914590934	4.2797184559	35.4197552428	4.1912525785	5.8465879173	9880.5341713717	7.3988671722	970.3559770331	30.8767873162	5.0448711797	157.1919917839	66.4413892633	202.0678268035	0	16.8161370527	3.9147121599	30.4726669404	42.7122121839	34.4806578158	21.5768784971	29.3840070417	18.0572983003	40.1165467362	88.8363796471	53.4786312116	63.3086191222	115.947427291	67.0868378858	70.2345719356	0	121.1363625293	36.7508245744	136.6797936074	57.3274723023	33.5814935869	14.4502231027	111.0693204974	2.538345182	6.1798252004	0	6.4366830794	8.7082547699	9.357852802	4.93501895	14.5113830562	0	42.9403834388	5.455682481	0	34.8228721501	0	9.7620017351	17.4746019966	0	0	0	0	14.1976714092	18.1353038072	13.9113853144	14.2332364518	0	5.6700341833	14.2049893661	19.9775832501	82.3313458896	0	6.4304395913	25.0042333592	50.1355464766	11.6941870777	16.9143822654	6.460819559	116.4670298883	368.9857753982	27.7678269295	14.856173948	0	2.7262659338	10.5817611432	185.9715050329	86.7114585808	46.1033630488	31.4794032919	59.5171774876	57.7195102376	0	9.8179267771	2.9148359934	8.6636469914	0	1.821025099	11.3352267925	0	19.2384829731	108.3873709725	12.7901588045
M00006	unclassified	2.2517648493	11.5164024871	0	0	0	0	0	0	0	0	5.5700938876	0	0	14.8697607097	29.4601962132	0	4.9565082922	0	0	10.0381584728	0	357.3044783884	0	1.0420294872	0	0	0	0	16.6754285891	0	18.6174569735	42.6025850836	0	0	9.644542037	0	0	0	21.2936789112	0	20.5467524646	0	15.375805068	15.2558618834	0	6.5948118063	0	0	0	6.7028029484	0	0	0	0	13.5013866846	0	0	0	0	0	0	0	5.1404155713	0	0	0	0	0	0	7.505689746	77.9820422754	0	80.0128663946	0	6.1806778675	0	0	0	0	6.5447717425	88.6852941009	41.1027276336	0	8.2431767183	19.1409045392	98.9724487824	0	0	0	0	5056.3869485619	0	496.0486946726	27.2320933503	0	82.9662252452	41.9170814442	108.4219972756	0	0	0	78.6247150158	59.0424217573	0	8.4573217058	0	0	34.5557269503	0	26.3802449168	0	0	0	0	0	27.7077199057	0	22.9916619061	32.1723532961	32.0024057937	0	13.6124703024	12.5781468852	0	0	0	7.3367224503	0	0	0	0	0	14.4994528441	0	5.1082767418	13.8047269192	0	27.1426799319	1.4472631428	0	0	0	11.7081051975	0	0	4.4211645937	7.6335568384	0	13.5747682186	0	27.84837246	0	0	5.0975728955	31.7442185952	0	0	0	47.4485125025	92.5990986128	12.4771404466	4.432670749	6.5748210862	0	0	21.2695455776	0	0	0	12.3043520541	19.393405856	0	8.6769368924	0	30.4705391366	0	0	0	0	4.6744766884	4.4060659304	0
M00007	unclassified	24.069937978	2.7726593389	16.3416090335	3.3273400724	9.8261571292	2.4414149387	4.2543278028	0	0	10.0089940179	0	18.4607923223	166.0452181822	55.3757041183	71.7270165985	18.1323819773	8.7024775186	11.7877521706	42.1572954238	16.7856006975	14.3702062167	0	60.6053432289	0	0	0	0.7602605594	59.5386316213	41.164747811	126.5821581465	51.0031503592	58.6859341832	49.3108704577	68.9807236056	28.8974396423	0	0	40.2133675468	90.6988112527	23.1821244269	29.791472777	77.0045028369	27.3935408108	42.1545934599	13.9110107563	51.9699101555	25.5725884051	50.8202731554	1.0542099171	13.3148211687	68.7198608051	0	30.5157694173	24.9363193511	21.1252580288	30.5145830483	17.483593602	13.9613504605	27.4454633891	18.4451148968	97.0063038349	37.1226652927	20.9355680011	16.8027674098	45.4793978425	124.8618757095	7.3290294446	9.2261482995	10.1160980963	17.1941593109	89.4199346636	25.6909035088	181.5419408434	85.1378618903	34.6993415764	49.4445877227	6.1883224543	0	25.6105490574	0	190.801666492	301.9518799092	172.2166511128	103.182795981	164.9675946003	341.7216215408	20.6590273703	129.3672203739	4.6884045493	37.6013249215	4306.0151853389	0	469.6125854951	0	18.9403810907	170.2397442922	83.2198974973	229.6803086173	90.0132603401	286.5510917433	93.8119630912	159.0766212366	174.3233704806	121.5867236658	60.2761311249	17.3381523653	18.2514467407	124.2394443835	101.1871733069	58.5146863796	69.664272562	52.8060433622	39.6863992098	16.8476665733	17.5778792942	23.745233419	160.8446177181	80.6475473186	99.981932764	123.1513007114	185.7564663371	42.9632892468	27.6141058303	0	3.8710064925	0	21.7097358908	56.2072224338	0	30.7227595673	0	39.2734092297	23.706819615	5.2235174292	29.4594230769	22.7963028086	29.3653436781	184.6771114382	0	71.926252663	0	99.1022889694	11.2078989053	0	40.8379641537	7.5928526774	108.0482918851	182.8736818501	55.252716031	0	122.7897475147	86.6797720269	33.2239549399	16.1087042467	120.7289190678	22.9908376124	30.6616320092	37.0204033464	110.2007514499	1445.8507671332	36.3961836913	145.6876696869	46.4389921297	35.4882477632	67.6102582154	104.2359956206	40.5747824919	20.3222337135	32.1626187343	63.7236519627	57.8906113154	48.8724044044	29.1271751614	3.2836227125	22.1442631875	33.3046678825	90.9602638852	153.9811691871	3.3607981091	43.22964906	16.6692367632	12.3668326869
M00008	unclassified	2.2517648493	11.8936282557	8.5087654799	0	0	0	0	0	0	0	16.2157137288	6.0692414648	62.4057458647	27.6136278138	29.506202617	11.2525958617	5.131284828	4.2549724619	12.5440377875	10.0381584728	0	359.4900888063	19.0902145482	0	0	0	6.639681968	0	16.6754285891	0	36.0071786575	55.9961078214	50.507986737	0	9.644542037	0	0	5.9930304791	45.3915926874	9.3297953974	21.6100718507	64.0664774949	41.5104680827	25.9396296805	0	15.9875490829	0	11.7494905464	2.5081252977	6.7028029484	0	0	0	0	13.5013866846	14.0035438614	0	1.9948075723	0	9.9221851192	0	0	5.1404155713	15.0211240388	13.5096461361	0	0	0	0	7.505689746	165.8140914965	76.7633212425	192.8922945844	59.6694496872	48.2659182372	80.4402483493	11.2701527446	0	0	6.5447717425	101.5504374421	67.3153522651	24.0283694134	20.7990062655	33.862123773	128.8632086987	0	29.3384030958	0	0	4737.1950217056	0	496.0486946726	0	0	82.9662252452	41.9170814442	104.1850355215	50.1024088309	11.9528791072	0	78.6247150158	59.0424217573	0	23.4454431531	0	16.2984524837	34.5557269503	0	69.2944711258	25.7683680623	59.9716280556	0	37.4577469985	0	73.4379700215	104.4636897132	33.6946188106	57.6140189973	32.5227820067	0	13.6124703024	12.5781468852	0	2.3500031856	3.9890541469	7.3367224503	40.4293430278	6.4583939913	0	7.9027605712	0	38.470710995	0	17.0784883434	19.6658285138	0	25.5620271142	0	0.6920345374	0	11.4478008611	20.2367100669	27.5373215384	21.6374743186	6.2956822641	8.5759547785	22.3276085546	10.9760292138	0	25.1840010361	81.6466551734	13.008211571	12.1602702574	27.4899836902	49.7834783489	2.0894332587	13.3809818216	47.4485125025	137.3195033789	14.449876759	9.4053539982	9.2388567643	0	4.6150055271	84.7421436614	142.3457938493	29.5059440232	22.5426720479	47.1241109685	34.4836571714	16.0627767626	14.0809944887	25.0723105869	94.7800376382	9.7377428035	1.0677503512	0	1.6317557032	14.7920024223	7.3760520919	1.2829154867
