Pathway	Class	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	c__Actinobacteria	1.4889856e-05	7.98036719e-05	3.3041171e-05	2.43613043e-05	0.0001294473559	1.25753236e-05	2.3152542e-06	0.0001254978911	0	0.0001975496222	0.0001635484275	0.0001440387539	8.89108443e-05	1.5041441e-05	7.232654e-06	3.7645032e-06	0.0003556458956	0.000182248096	1.8480226e-05	0.000220002187	1.08702e-05	0	0	0	0	2.164941e-06	2.16805e-06	0	0	0	0	0	0	0	0	0	0	0	1.5630508e-06	2.4901656e-06	5.980056e-07	7.043293e-07	1.08682e-06	3.027803e-07	4.85739852e-05	3.746749e-07	0	3.33549966e-05	0.0003506883687	0.00045578158306	0	0.00033184797306	1.8416369e-05	9.98102e-06	0.000558436796	2.05579097e-05	1.15046137e-05	0.0001563879605	1.9705253e-05	9.344487e-06	3.620116e-06	0.000272875652	6.04229558e-05	0.0001261145464	4.7419643e-06	4.5334637e-05	7.9554596e-05	0.000201080432	0.000525589811	0.000346291606	8.3921e-06	0.0002365593542	0	8.930931e-07	0.0001173498247	8.703161e-05	1.4278627e-05	4.241358e-06	7.098345e-06	0	2.3309679e-05	6.195762e-06	9.436224e-06	2.6174368e-05	1.7034795e-05	1.5532778e-05	2.516563e-05	8.882663e-06	3.62711e-06	1.398503e-06	5.21297e-05	2.458304e-06	0	2.850618e-06	7.05854e-07	1.01831e-05	9.14737e-06	3.00751e-06	3.2543e-05	2.018009e-06	1.7733358e-05	9.38335e-05	2.656891e-05	1.249265e-06	3.934456e-07	0.0001867671	0.0001032363513	5.8239804e-05	8.881587e-05	2.294925e-07	0.000135525068	0	0	8.930599e-07	0	7.30671e-07	2.6518616e-05	5.890166e-07	4.78959e-07	2.7530558e-06	4.7878e-06	1.9163e-05	0.0001641370673	3.52586e-05	0.0001019030782	0.0002732256267	0.00053514294	4.48084e-07	0	1.39083e-05	0	9.54685999e-05	5.2941975e-06	0	4.2001087e-06	1.1073558e-06	5.239859e-06	1.6301641e-05	0	0	0.00058538702828	0	0.000362891644	3.45181e-05	2.93811e-07	0.000386603838	2.76414e-07	0	0.000198547374	1.6141449e-05	0.00011091039	3.08722e-05	2.006946e-06	2.59941135e-05	6.838406e-06	3.22305e-05	6.784894e-06	0	0	0	0.00014917149	0	1.24879e-07	0	0	7.524232e-06	2.85998e-06	5.887628e-06	4.8924943e-05	0.000231216709	9.10387e-06	0.000413003487	0.0004647906505	0	7.6179467e-06	0.000570454571	0.0003777187096	0.0003323129103	0.00068954358	0.00022026532075	7.991304e-05	0.0003183836438
M00001	c__Bacilli	9.36136823e-05	0.000453817836	3.53346306e-05	0.0002846189194	0.000372668734	0.000165617621	0.000256481948	0.000343231165	4.803581e-05	0.0001597944782	7.19029618e-05	0.0003516581226	1.66750658e-05	6.072861e-06	0.000122468153	8.012349e-06	2.5556904e-05	0.000121894604	0.000103350668	0.000146747421	3.545821e-06	0.000778285343	1.313898e-06	0.0004784474497	0.000298442382	5.7402336e-05	9.9859585e-05	6.640938e-06	2.663549e-05	2.098997e-06	0.000295635779	2.9657614e-05	4.718165e-05	7.912361e-06	4.814444e-06	5.17993e-07	0.000470004307	0.0003866731789	0.0001297907635	4.05844745e-05	0.000345728112	1.56948257e-05	1.95913959e-05	0.000457537339	0.0001153827648	3.45980976e-05	9.355245e-06	4.6136723e-05	4.22874144e-05	5.22631884e-05	1.065835e-05	0.0001004811857	0.00014917888	6.206392e-05	0.000137204639	9.4478388e-05	0.000469572641	9.68940572e-05	0.0003154188807	0.000348018402	0.0007163015732	0.000165961473	0.000295902044	4.0211278e-05	0.00032752371686	9.897929e-06	2.45393144e-05	4.29625732e-05	6.0119526e-05	7.68579691e-05	0.0005207336972	9.57692345e-05	0.000327929859	0.0003162201072	0.000137837751	0.00032701027699	0.000481686229	0.000270342632	3.95183875e-05	0.0003682128594	0.000100647619	7.47238081e-05	0.000166175147	0.000184779647	0.000128820881	0.000136060531	0	1.41916375e-05	0.00013562872	0.000177608767	0.0004346013577	0.00060045021	0.0002401041	0.0003562793264	0.000189465822	0.000208931273	2.6536237e-05	0.000832909512	1.9994645e-05	4.641437e-06	7.831941e-06	7.800402e-06	3.910959e-06	8.04195279e-05	4.7327622e-05	1.7138367e-05	3.45262657e-05	5.128454e-06	0	0.0001866767812	1.315906e-06	1.1085377e-05	1.828476e-06	2.13389e-05	0.000456188	2.6841352e-05	0.000361308366	2.1348335e-05	3.6946627e-05	4.1769233e-05	2.06651047e-05	0.000116451854	0.0002051084348	2.5935218e-05	0.0001049362733	9.82328014e-05	0.000148013193	1.71080582e-05	0.000269540956	2.9113845e-05	6.67966739e-05	6.7431858e-05	8.95210351e-05	2.2113743e-05	4.6766054e-05	0.000247788205	5.88850508e-05	6.254193e-05	1.19224034e-05	0.000353633534	6.4486912e-05	0.000207652204	5.14317415e-05	0.00019636905	7.13240535e-05	0.0001380779045	0.000216994039	7.3884947e-05	0.0001667605547	4.743454035e-05	1.9551308e-05	0.00016673413	0.000258726103	6.34985847e-05	2.395408e-05	0.0001999927442	6.2216902e-05	2.29612401e-05	1.8105053e-05	4.5332863e-06	4.1075376e-05	1.1197364e-05	0	2.96567e-07	7.586527e-07	0.000127913348	2.8235248e-05	4.0800539e-05	2.6571999e-05	4.2268294e-05	6.0887148e-05	1.209936e-05	4.5619103e-06	2.811442e-06	5.41861e-07	9.56596004e-05	0.0002450883862	0.00055073380462	2.7244899e-05	0.0003120726636	3.9230171e-05	0.0001550806973
M00001	c__Bacteroidia	1.47733e-06	5.19714e-08	9.52241453e-05	9.98712e-08	3.1336101e-06	5.28442e-06	7.84046e-07	1.133666e-05	0	0	0	0	0	0	0	3.5694464e-05	3.29828996e-05	2.523574e-06	2.733739e-06	0	3.2248776e-06	7.63687e-06	4.755e-05	0	0	9.57691e-06	9.155108e-06	2.730943e-05	2.2166777e-05	6.4337996e-05	5.198307817e-05	7.6471063e-05	3.7164955e-05	0.0002107460907	0.0001705711004	0	0	0	8.902574e-06	4.8663e-07	8.3195975e-05	8.7775611e-06	0.000110519356	6.6400729e-05	1.256716e-05	7.058594e-07	0	4.562618e-06	0	0	0.0001694505763	7.11414e-07	4.2082769e-05	0.000147085529	0	6.53602504e-05	9.08806e-06	0	3.7987993e-05	2.582466e-06	0	8.37433e-06	1.7010935e-05	0	1.41171e-05	7.07266e-05	2.7008177e-05	3.919592478e-05	1.1050681e-05	3.518128e-05	2.6883814e-05	5.9440634e-05	6.796197e-05	4.7184556e-05	1.2251062e-05	7.574483e-06	3.08211e-07	2.0304002e-05	2.6086381e-05	0	5.6902147e-05	8.75601697e-05	4.2561433e-05	1.97983609e-05	5.89414237e-05	9.6873205e-05	3.60674377e-05	3.1844442e-05	0	0	0	0	0	0	0	0	5.210213e-05	0	5.082882e-05	4.6020599e-05	0.0001261994	1.481344e-05	0.00013511534	0	6.531456e-06	0	8.44979e-08	2.85523e-06	0.00019224693	0	1.79354e-07	1.0516785e-05	1.7492882e-05	7.039977e-06	4.7313856e-05	1.25021e-05	4.784440635e-05	3.12443e-06	3.251684e-06	5.8382618e-05	2.3318755e-05	0.0001295463086	0	5.05509e-06	0	0	0	6.119748e-05	0	0.0001091545951	3.36319e-06	6.95146e-06	1.875058e-05	0	1.512753e-05	0	1.400023e-06	0.000121346727	0	0	0	0	0	0.00017419785	2.0473379e-05	0	0	0	0.0001121376391	3.7882e-05	9.208929e-05	8.1143398e-05	2.3951076e-05	4.01108e-05	0.000176897939	3.31604e-05	1.8864984e-05	0	1.5822e-06	0	1.4225498e-06	4.28542e-07	0	0	6.73607e-08	7.424871935e-05	3.59092551e-05	2.7014144e-05	5.2309466e-05	1.7535791e-05	4.59752229e-05	2.674045e-06	1.208016e-06	1.7883384e-06	1.013031e-06	8.21185e-06	3.2820978e-05	1.06845e-06	2.81279e-06	3.5227005e-05	9.0019435e-05	0.000109708258
M00001	c__Betaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.99566e-07	0	9.03535e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.211192e-07	1.601586e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	c__Clostridia	8.637333e-06	3.9150042e-05	3.4259293e-05	1.9934871e-05	5.2966423e-05	7.646082e-06	1.354682e-05	1.3660636e-05	0	1.66535e-07	0.000105587	0	0.000130460169	8.9095994e-05	4.412154e-05	0.0001463958662	1.4537052e-05	1.1245827e-05	6.1826561e-05	0	9.46558756e-05	0	1.2005473e-05	1.93688e-07	0	0	0	3.64239662e-05	2.8152883e-05	2.0026416e-05	4.71731567e-05	5.99305259e-05	6.028938e-05	5.199273e-06	7.1988711e-06	0	0	5.731483e-06	2.2828073e-05	2.3788437e-06	1.4452314e-05	3.39279776e-05	1.0071599e-05	1.617561e-05	3.488758e-06	1.17399021e-05	4.985285e-05	6.42320475e-05	0	0	1.0499691e-05	0	4.02661e-07	9.3107918e-06	2.1878959e-06	2.6039605e-05	1.557565e-05	4.945291e-05	2.31480253e-05	2.032419e-05	2.627229e-05	1.8010069e-05	1.2165491e-05	5.1210065e-05	2.5449765e-05	4.0984212e-05	5.85750049e-05	5.1968786e-06	1.54046804e-05	2.478716745e-05	1.1336123e-05	1.7453028e-05	4.40575547e-05	2.49380127e-05	4.4956394e-06	3.81627724e-05	2.1664015e-05	4.695023352e-05	4.6730766e-05	0	2.520006707e-05	4.184911519e-05	3.7788562e-05	2.80225793e-05	2.57851685e-05	2.132128935e-05	1.136555e-05	4.0550709e-05	0	0	0	0	0	0	0	0	0.000130656298	0	8.1722021e-05	3.6292191e-05	0.000109667819	0.000130477991	8.38483659e-05	0.00010159929	3.11527311e-05	0	3.65915e-07	0.000117620461	4.58240571e-05	1.1820097e-05	2.7409461e-05	3.2470731e-05	3.2154977e-05	2.06442855e-05	0	2.9996343e-05	2.27107289e-05	1.7065421e-05	7.00870385e-05	2.0855842e-05	2.09496026e-05	2.01267343e-05	4.79787e-08	1.21893572e-05	0	0	1.121755e-06	5.5905351e-05	6.480345e-06	0.000104351221	0	2.5292514e-05	0.000128248178	0	0.000171973309	0	0.000127151139	6.183896091e-05	0	0	0	0	0	1.3303798e-05	0.00015239644699	0	0	5.230463e-06	1.122554972e-05	3.98672148e-05	4.2910624e-06	3.16701955e-05	2.485381553e-05	2.23437101e-05	1.2310025e-05	3.12749058e-05	5.45237939e-05	0	9.4885562e-06	8.79669918e-05	1.96335984e-05	1.4072704e-05	1.884199e-05	9.496846e-06	7.4743133e-05	2.57143502e-05	1.6387539e-05	4.61307236e-05	4.0032686e-05	3.3535534e-05	4.64132436e-05	5.072993e-06	2.9118891e-06	8.57881e-06	1.25421328e-05	1.3624591e-05	1.5693735e-05	0	1.06897e-07	2.1549986e-05	1.77143857e-05	9.153161e-06
M00001	c__Coriobacteriia	5.03346e-05	3.43906e-05	4.34612e-05	4.67419e-05	4.39972e-05	1.20966e-05	1.31592e-05	3.24532e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6558e-06	3.04486e-06	9.01541e-06	7.76893e-08	1.46964e-07	0	0	0	1.97385e-05	1.28987e-05	6.09777e-06	2.41115e-05	2.26485e-05	3.76841e-05	8.14419e-07	1.63157e-05	0	7.4874635e-05	0	0	0	0	0	0	1.16952e-07	0	6.50428e-06	7.46971e-07	1.09456e-05	1.87923e-05	0	8.32434e-07	2.35297e-05	1.0128197e-05	2.24015e-05	6.907727e-06	5.16349e-07	0	0	0	0	1.1662e-07	0	0	3.74436e-07	3.52586e-07	0	0	1.20062e-05	0	4.34411e-07	1.0511917e-05	1.1987092e-05	2.0682028e-05	1.2117373e-05	1.49309e-07	9.88998e-08	1.2515099e-05	0	0	2.4738e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5403169e-05	0	2.05693e-07	3.6347453e-05	6.82725226e-05	2.15962e-05	0	0	0	0	0	1.78187e-05	0	1.8138e-05	0	0	1.56797e-05	0	2.13067e-05	0	3.22377e-05	0	0	0	0	0	0	6.03354e-06	3.00556e-05	0	0	0	1.43688e-06	0	0	9.44065e-06	4.50505e-05	0	0	1.5307e-05	1.85305e-05	0	0	0	0	0	0	0	0	1.29941e-05	2.69324e-06	1.11569e-05	1.04104e-05	1.37596e-05	2.53155e-05	3.13859e-07	4.32382e-07	0	0	4.22204e-05	5.59306e-06	1.7259e-06	1.40161e-06	5.63291e-05	1.638074e-05	0
M00001	c__Deltaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.73096e-07	3.40723e-07	6.41205e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	c__Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57752e-07	3.29082e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85814e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	c__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.23674e-07	0	3.29079e-07	0	0	0	0	0	1.69081e-06	7.01135e-07	1.65754e-06	4.5066e-07	2.93252e-06	3.35839e-06	0	1.50885e-07	0	1.04868e-07	0	0	1.84995e-07	0	1.22403e-06	1.05236e-06	0	4.04479e-07	0	0	0	0	0	7.98909e-07	0	4.63121e-06	1.09665e-07	1.37269e-06	2.50458e-07	0	0	3.48479e-07	1.99674e-08	0	6.44218e-08	2.11184e-08	0	3.49972e-08	0	0	3.72242e-07	0	1.26651e-07	2.97341e-07	3.67423e-07	3.78214e-07	2.83823e-07	4.36413e-07	0	1.02917e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.15716e-08	0	1.49865e-07	0	0	0	0	0	0	0	1.00556e-06	0	0	0	0	0	0	2.09732e-07	4.14051e-07	0	0	1.50989e-06	1.60995e-06	0	0	0	0	0	0	0	0	9.08231e-08	1.932284e-07	4.15413e-07	7.80537e-08	2.146e-07	1.02794e-06	3.49175e-08	6.662e-08	0	0	0	0	0	0	0	2.88115e-08	0
M00001	c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.98826e-07	0	0	0	4.8887e-06	0	0	0	0	0	0	0	2.272751e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77585e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67191e-07	0	0	0	0	1.30854e-06	0	2.20744e-06	0	4.800229e-06	0	6.76485e-08	0	0	0	0	0	0	0	0	0	5.50539e-07	0	2.61784e-07	0	0	0	0	0	0	1.2692671e-05	2.12453e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
