Pathway	Family	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	f__Acidaminococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.84719e-06	2.98472e-05	6.38006e-05	0	1.16083e-05	0	0	0	0	4.83053e-06	0	1.07396e-06	1.16962e-05	0	6.86849e-06	4.57212e-05	0	4.87409e-05	3.98825e-05	4.3106e-06	2.56988e-05	7.25576e-05	0	4.02234e-05	0	0	0	0	0	0	0	0	0	0	0	2.67319e-05	2.01054e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58959e-06	2.52297e-06	0	0	4.15864e-06	2.33362e-05	7.57484e-06	3.66576e-06	2.68342e-05	3.51484e-06	1.23761e-05
M00001	f__Actinomycetaceae	0	2.669919e-07	5.19371e-07	3.984243e-07	5.10369e-08	1.121236e-07	0	1.77911e-08	0	5.557091e-07	2.86269e-08	0	0	0	0	1.767232e-07	6.049336e-07	1.070093e-06	7.15826e-07	2.526327e-06	0	0	0	0	0	1.99181e-07	0	0	0	0	0	0	0	0	0	0	0	0	1.5630508e-06	6.19192e-07	4.298486e-07	7.043293e-07	0	3.027803e-07	0	3.746749e-07	0	8.90025e-08	5.072227e-07	2.46306e-07	0	1.643386e-07	6.37069e-07	0	8.59186e-07	2.478067e-07	6.408137e-07	1.136535e-07	7.72353e-07	4.58747e-07	2.559606e-06	1.486643e-06	2.9108028e-06	2.285744e-07	1.843383e-07	0	0	0	0	0	0	0	0	1.460991e-07	0	0	2.88427e-07	3.36478e-07	7.08335e-07	0	0	0	0	0	0	0	0	0	3.62711e-06	1.398503e-06	1.42959e-05	2.458304e-06	0	2.850618e-06	7.05854e-07	0	0	0	0	0	0	0	0	1.249265e-06	3.934456e-07	0	0	0	0	2.294925e-07	0	0	0	8.930599e-07	0	5.19005e-07	5.42416e-07	5.890166e-07	4.78959e-07	1.607797e-07	0	0	1.3882153e-06	0	3.938322e-07	1.558753e-07	1.1256e-06	0	0	0	0	9.43299e-08	5.178635e-07	0	6.25952e-07	1.078544e-06	1.027933e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.750523e-06	0	0	0	1.111594e-06	0	0	0	0	0	1.24879e-07	0	0	0	0	1.129578e-06	5.69321e-07	8.08371e-07	0	0	3.586575e-07	0	0	0	8.82776e-08	0	0	2.812184e-07	0	0
M00001	f__Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0.00016732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Atopobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16952e-07	0	0	0	0	0	0	8.32434e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4738e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3529e-07	0	2.05693e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43688e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Bacillales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.31057e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Bacteroidaceae	1.056959e-06	5.19714e-08	9.50295413e-05	9.98712e-08	3.1336101e-06	5.07109e-06	6.65323e-07	1.133666e-05	0	0	0	0	0	0	0	3.545128e-05	3.29828996e-05	2.523574e-06	2.733739e-06	0	3.2248776e-06	7.63687e-06	3.90933e-05	0	0	9.57691e-06	8.94299e-06	2.415183e-05	2.078103e-05	5.708139e-05	4.768170817e-05	7.1251815e-05	3.4286235e-05	0.0002026303707	0.0001667162904	0	0	0	7.552405e-06	4.8663e-07	7.7017105e-05	6.5356501e-06	9.7554759e-05	5.7913449e-05	1.256716e-05	6.172592e-07	0	2.39737e-06	0	0	0.0001543644763	7.11414e-07	3.9434642e-05	0.000138541519	0	6.06885604e-05	9.08806e-06	0	3.7987993e-05	2.582466e-06	0	7.05338e-06	1.7010935e-05	0	1.41171e-05	7.07266e-05	2.5688107e-05	3.769028478e-05	1.094376e-05	3.397234e-05	1.6543362e-05	5.7450274e-05	4.617384e-05	3.4134717e-05	1.132698e-05	7.538227e-06	3.08211e-07	1.937148e-05	2.4984883e-05	0	4.7963707e-05	7.65364797e-05	3.8004075e-05	1.86272669e-05	5.18696037e-05	8.5260855e-05	3.20514677e-05	3.0348258e-05	0	0	0	0	0	0	0	0	5.210213e-05	0	5.082882e-05	4.6020599e-05	0.0001261994	1.481344e-05	0.00013511534	0	5.79649e-06	0	8.44979e-08	2.85523e-06	0.00019224693	0	1.79354e-07	8.823795e-06	1.3170392e-05	5.917367e-06	3.3585856e-05	9.79661e-06	4.039112735e-05	2.820755e-06	3.105554e-06	4.9705653e-05	1.9826433e-05	9.56041986e-05	0	5.05509e-06	0	0	0	6.119748e-05	0	0.0001091545951	3.36319e-06	6.95146e-06	1.875058e-05	0	1.512753e-05	0	1.400023e-06	0.000118004467	0	0	0	0	0	0.00016297905	2.0473379e-05	0	0	0	0.0001112245091	3.7882e-05	8.971818e-05	6.6641948e-05	2.3951076e-05	4.01108e-05	0.000171790119	2.464116e-05	1.8864984e-05	0	0	0	1.2925338e-06	0	0	0	0	7.394043585e-05	3.3300962e-05	2.4857153e-05	4.9661359e-05	1.6687305e-05	4.29662952e-05	2.290968e-06	8.64506e-07	1.717151e-06	1.013031e-06	7.577254e-06	2.9829248e-05	1.06845e-06	2.81279e-06	3.3500355e-05	8.2047415e-05	8.1936918e-05
M00001	f__Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12847e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.17695e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48207e-07	2.52346e-07	4.10747e-07	5.22576e-07	8.10087e-08	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Bifidobacteriaceae	1.4889856e-05	7.953668e-05	3.25218e-05	2.396288e-05	0.000129396319	1.24632e-05	2.3152542e-06	0.0001254801	0	0.0001969939131	0.0001635198006	0.0001440387539	8.89108443e-05	1.5041441e-05	7.232654e-06	3.58778e-06	0.000355040962	0.000181178003	1.77644e-05	0.00021747586	1.08702e-05	0	0	0	0	1.96576e-06	2.16805e-06	0	0	0	0	0	0	0	0	0	0	0	0	1.8709736e-06	0	0	1.08682e-06	0	4.85739852e-05	0	0	3.32659941e-05	0.000350181146	0.00045553527706	0	0.00033168363446	1.77793e-05	9.98102e-06	0.00055757761	2.0310103e-05	1.08638e-05	0.000156274307	1.89329e-05	8.88574e-06	1.06051e-06	0.000271389009	5.7512153e-05	0.000125885972	4.557626e-06	4.5334637e-05	7.9554596e-05	0.000201080432	0.000525589811	0.000346291606	8.3921e-06	0.0002365593542	0	7.46994e-07	0.0001173498247	8.703161e-05	1.39902e-05	3.90488e-06	6.39001e-06	0	2.3309679e-05	6.195762e-06	9.436224e-06	2.6174368e-05	1.7034795e-05	1.5532778e-05	2.516563e-05	8.882663e-06	0	0	3.78338e-05	0	0	0	0	1.01831e-05	9.14737e-06	3.00751e-06	3.2543e-05	2.018009e-06	1.7733358e-05	9.38335e-05	2.656891e-05	0	0	0.0001867671	0.0001032363513	5.8239804e-05	8.881587e-05	0	0.000135525068	0	0	0	0	2.11666e-07	2.59762e-05	0	0	2.5922761e-06	4.7878e-06	1.9163e-05	0.000162748852	3.52586e-05	0.000101509246	0.0002730697514	0.00053401734	4.48084e-07	0	1.39083e-05	0	9.537427e-05	4.776334e-06	0	3.48057e-06	0	4.211926e-06	1.6301641e-05	0	0	0.00058538702828	0	0.000362891644	3.45181e-05	2.93811e-07	0.000386603838	2.76414e-07	0	0.000198547374	1.6141449e-05	0.00011091039	3.08722e-05	2.56423e-07	2.59941135e-05	6.838406e-06	3.22305e-05	5.6733e-06	0	0	0	0.00014917149	0	0	0	0	7.524232e-06	2.85998e-06	4.75805e-06	4.8355622e-05	0.000230408338	9.10387e-06	0.000413003487	0.000464431993	0	7.560002e-06	0.000570454571	0.000377630432	0.0003323129103	0.00068954358	0.00021998410235	7.991304e-05	0.0003183836438
M00001	f__Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	8.57752e-07	3.29082e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85814e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	f__Clostridiaceae	0	2.70963e-07	4.88448e-07	0	2.81883e-07	0	2.01892e-06	0	0	0	0	0	1.17907e-06	0	0	3.772703e-06	0	0	5.071966e-06	0	2.2705896e-06	0	0	0	0	0	0	0	0	0	6.03938e-07	7.58907e-07	1.14306e-06	0	3.07663e-07	0	0	1.660053e-06	5.53756e-06	1.072974e-06	1.2056e-06	7.8426e-07	1.04258e-06	2.17817e-06	0	9.7295741e-06	0	1.33796e-07	0	0	7.78546e-06	0	0	2.917454e-06	1.18361e-06	2.788176e-06	0	0	6.22085e-07	0	0	0	0	0	4.26572e-07	0	7.32129e-07	0	1.47191e-06	3.07461e-06	6.37967e-08	3.64869e-07	1.54482e-07	3.77006e-08	1.35711e-07	6.27218e-07	4.77715e-07	2.58110952e-06	3.681253e-06	0	5.88019e-08	2.13254e-07	0	0	1.52322e-07	9.55248e-08	2.7709e-07	0	0	0	0	0	0	0	0	0	5.008135e-06	0	2.31217e-05	0	1.4265069e-05	1.263394e-05	6.34933e-06	2.14427e-06	0	0	0	1.24576e-06	4.5478841e-06	7.87457e-07	2.384861e-06	0	0	1.41525e-08	0	9.95574e-07	3.857789e-07	0	2.77478e-08	2.54306e-07	2.35329e-08	1.42734e-07	0	0	0	0	0	4.37534e-07	1.80426e-06	1.64972e-06	0	0	0	0	2.3954e-07	0	2.7872e-07	0	0	0	0	0	0	0	2.28939e-07	0	0	5.110234e-06	0	0	0	3.7113245e-06	5.927189e-07	0	0	1.79726e-06	1.3242579e-06	0	2.7872512e-06	1.7511298e-06	0	0	0	0	0	3.631386e-06	1.773847e-06	4.116712e-06	4.084114e-06	5.705385e-06	5.00952e-06	5.5623e-08	0	0	0	0	0	0	0	0	0	0
