Pathway	Phylum	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	p__Actinobacteria	6.5224456e-05	0.0001141942719	7.6502371e-05	7.11032043e-05	0.0001734445559	2.46719236e-05	1.54744542e-05	0.0001579510911	0	0.0001975496222	0.0001635484275	0.0001440387539	8.89108443e-05	1.5041441e-05	7.232654e-06	3.7645032e-06	0.0003556458956	0.000182248096	1.8480226e-05	0.000220002187	1.08702e-05	0	0	0	0	2.164941e-06	2.16805e-06	0	0	0	2.6558e-06	3.04486e-06	9.01541e-06	7.76893e-08	1.46964e-07	0	0	0	2.13015508e-05	1.53888656e-05	6.6957756e-06	2.48158293e-05	2.373532e-05	3.79868803e-05	4.93884042e-05	1.66903749e-05	0	0.0001082296316	0.0003506883687	0.00045578158306	0	0.00033184797306	1.8416369e-05	9.98102e-06	0.000558553748	2.05579097e-05	1.80088937e-05	0.0001571349315	3.0650853e-05	2.8136787e-05	3.620116e-06	0.000273708086	8.39526558e-05	0.0001362427434	2.71434643e-05	5.2242364e-05	8.0070945e-05	0.000201080432	0.000525589811	0.000346291606	8.3921e-06	0.0002366759742	0	8.930931e-07	0.0001177242607	8.7384196e-05	1.4278627e-05	4.241358e-06	1.9104545e-05	0	2.374409e-05	1.6707679e-05	2.1423316e-05	4.6856396e-05	2.9152168e-05	1.5682087e-05	2.52645298e-05	2.1397762e-05	3.62711e-06	1.398503e-06	5.46035e-05	2.458304e-06	0	2.850618e-06	7.05854e-07	1.01831e-05	9.14737e-06	3.00751e-06	3.2543e-05	2.018009e-06	1.7733358e-05	9.38335e-05	2.656891e-05	1.249265e-06	3.934456e-07	0.0001867671	0.0001032363513	5.8239804e-05	8.881587e-05	2.294925e-07	0.000135525068	0	0	8.930599e-07	0	7.30671e-07	4.1921785e-05	5.890166e-07	6.84652e-07	3.91005088e-05	7.30603226e-05	4.07592e-05	0.0001641370673	3.52586e-05	0.0001019030782	0.0002732256267	0.00053514294	1.8266784e-05	0	3.20463e-05	0	9.54685999e-05	2.09738975e-05	0	2.55068087e-05	1.1073558e-06	3.7477559e-05	1.6301641e-05	0	0	0.00058538702828	0	0.000362891644	4.055164e-05	3.0349411e-05	0.000386603838	2.76414e-07	0	0.000199984254	1.6141449e-05	0.00011091039	4.031285e-05	4.7057446e-05	2.59941135e-05	6.838406e-06	4.75375e-05	2.5315394e-05	0	0	0	0.00014917149	0	1.24879e-07	0	0	2.0518332e-05	5.55322e-06	1.7044528e-05	5.9335343e-05	0.000244976309	3.441937e-05	0.000413317346	0.0004652230325	0	7.6179467e-06	0.000612674971	0.0003833117696	0.0003340388103	0.00069094519	0.00027659442075	9.629378e-05	0.0003183836438
M00001	p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79379e-08	0	0	0	0	0	0	0	0	0	0	1.53832e-06	0	0	0	0	0	0	0	3.73691e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002263017	0	1.4339e-05	0	4.6639e-07	0	0	7.10099e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85934e-06	0	0	0	0	0	0	0	0	0	0	0	4.3614e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30908e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	p__Bacteroidetes	1.47733e-06	5.19714e-08	9.52241453e-05	9.98712e-08	3.1336101e-06	5.28442e-06	7.84046e-07	1.133666e-05	0	0	0	0	0	0	0	3.5694464e-05	3.29828996e-05	2.523574e-06	2.733739e-06	0	3.2248776e-06	7.63687e-06	4.755e-05	0	0	9.57691e-06	9.155108e-06	2.730943e-05	2.2166777e-05	6.4337996e-05	5.198307817e-05	7.6471063e-05	3.7164955e-05	0.0002107460907	0.0001705711004	0	0	0	8.902574e-06	4.8663e-07	8.3195975e-05	8.7775611e-06	0.000110519356	6.6400729e-05	1.256716e-05	7.058594e-07	0	4.562618e-06	0	0	0.0001694505763	7.11414e-07	4.2082769e-05	0.000147085529	0	6.53602504e-05	9.08806e-06	0	3.7987993e-05	2.582466e-06	0	8.37433e-06	1.7010935e-05	0	1.41171e-05	7.07266e-05	2.7008177e-05	3.919592478e-05	1.1050681e-05	3.518128e-05	2.6883814e-05	5.9440634e-05	6.796197e-05	4.7184556e-05	1.2251062e-05	7.574483e-06	3.08211e-07	2.0304002e-05	2.6086381e-05	0	5.6902147e-05	8.75601697e-05	4.2561433e-05	1.97983609e-05	5.89414237e-05	9.6873205e-05	3.60674377e-05	3.1844442e-05	0	0	0	0	0	0	0	0	5.210213e-05	0	5.082882e-05	4.6020599e-05	0.0001261994	1.481344e-05	0.00013511534	0	6.531456e-06	0	8.44979e-08	2.85523e-06	0.00019224693	0	1.79354e-07	1.0516785e-05	1.7492882e-05	7.039977e-06	4.7313856e-05	1.25021e-05	4.784440635e-05	3.12443e-06	3.251684e-06	5.8382618e-05	2.3318755e-05	0.0001295463086	0	5.05509e-06	0	0	0	6.119748e-05	0	0.0001091545951	3.36319e-06	6.95146e-06	1.875058e-05	0	1.512753e-05	0	1.400023e-06	0.000121346727	0	0	0	0	0	0.00017419785	2.0473379e-05	0	0	0	0.0001121376391	3.7882e-05	9.208929e-05	8.1143398e-05	2.3951076e-05	4.01108e-05	0.000176897939	3.31604e-05	1.8864984e-05	0	1.5822e-06	0	1.4225498e-06	4.28542e-07	0	0	6.73607e-08	7.424871935e-05	3.59092551e-05	2.7014144e-05	5.2309466e-05	1.7535791e-05	4.59752229e-05	2.674045e-06	1.208016e-06	1.7883384e-06	1.013031e-06	8.21185e-06	3.2820978e-05	1.06845e-06	2.81279e-06	3.5227005e-05	9.0019435e-05	0.000109708258
M00001	p__Firmicutes	0.0001040458438	0.000499180395	7.18000546e-05	0.0003059801104	0.000433494077	0.000173263703	0.000270028768	0.000356891801	4.803581e-05	0.0001650302152	0.0001805871308	0.0003516581226	0.0001500989948	9.5168855e-05	0.000166793258	0.0001548379102	4.2005117e-05	0.000134079347	0.000165177229	0.000146852419	9.82788225e-05	0.000778285343	1.8495781e-05	0.0004798470477	0.000298442382	5.8007477e-05	0.000100592405	5.00123942e-05	5.7713473e-05	2.3805773e-05	0.0003455594197	8.98541519e-05	0.000107800109	1.3111634e-05	1.20133151e-05	5.17993e-07	0.000470004307	0.0003926724819	0.0001552658135	4.36644532e-05	0.00036282988	5.69206533e-05	6.28084759e-05	0.000543087534	0.0001202573328	5.85609747e-05	5.9208095e-05	0.0001104736385	4.22874144e-05	5.22631884e-05	2.6328399e-05	0.0001004811857	0.000157966141	8.70259818e-05	0.0001401164889	0.000130290152	0.000569057191	0.0001463469672	0.000456671085	0.000450181062	0.0007561128332	0.000217845011	0.0004144485233	9.6052553e-05	0.00045175866586	5.2254831e-05	8.33647773e-05	4.81594518e-05	7.55242064e-05	0.00010199361555	0.0005365386686	0.0001132222625	0.0003734634685	0.0003535084583	0.0001423333904	0.00036520804659	0.000577067268	0.00035268129292	8.66213955e-05	0.0003682128594	0.00012647230627	0.00011687026429	0.000204331132	0.0002131804403	0.0001548898725	0.00015802512135	1.136555e-05	5.48452635e-05	0.000135786161	0.000177608767	0.0004350687497	0.000600831177	0.0002401041	0.0003565499204	0.000190957042	0.000243444773	0.000157586195	0.000837530309	0.000101716666	4.1047091e-05	0.00011749976	0.000138278393	8.77593249e-05	0.0001820188179	7.87982671e-05	1.7138367e-05	3.52561947e-05	0.000122748915	4.58240571e-05	0.0001996136282	2.8725367e-05	4.3556108e-05	3.3983453e-05	4.19831855e-05	0.000456188	5.6837695e-05	0.0003884698949	3.8413756e-05	0.0001070336655	6.298067e-05	4.16147073e-05	0.0001428778483	0.0002054989545	3.84424932e-05	0.0001051736673	9.82328014e-05	0.000150233028	7.72402692e-05	0.000282758471	0.000139491466	6.67966739e-05	9.2724372e-05	0.0002219667231	2.2113743e-05	0.0002196565266	0.000247788205	0.0001874157248	0.00012604720091	1.96086994e-05	0.000353633534	6.4486912e-05	0.000207652204	5.14317415e-05	0.000209672848	0.00022472606049	0.0001383727005	0.000216994039	9.937649e-05	0.00018468800442	8.730175515e-05	3.36830504e-05	0.0001994763295	0.00031845050953	8.58422948e-05	3.6757555e-05	0.000233100002	0.00013668269653	2.49791257e-05	2.75936092e-05	9.25002781e-05	6.07089744e-05	2.5270068e-05	1.884199e-05	9.793413e-06	7.55017857e-05	0.0001537185213	4.48160154e-05	8.73466756e-05	6.66827387e-05	7.6018428e-05	0.0001083283316	1.89032515e-05	1.00633894e-05	1.1390252e-05	1.30839938e-05	0.0001134428314	0.0002851434512	0.00056705626462	3.1580662e-05	0.0003700030296	6.24836982e-05	0.0002289592924
M00001	p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.98826e-07	0	0	0	4.8887e-06	0	0	0	0	0	0	0	2.272751e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77585e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67191e-07	0	0	0	0	1.30854e-06	0	2.20744e-06	0	4.800229e-06	0	6.76485e-08	0	0	0	0	0	0	0	0	0	5.50539e-07	0	2.61784e-07	0	0	0	0	0	0	1.2692671e-05	2.12453e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00001	p__Proteobacteria	8.973664e-06	1.061593e-06	4.97577e-07	0	0	0	5.6297142e-05	0	0.000286924	0.0001078597029	4.01652552e-05	8.80978824e-05	8.117948e-06	1.150376e-06	1.23975825e-05	9.432588e-07	6.904356e-06	3.942431761e-05	0	1.7274657e-05	7.739367e-06	9.065184e-05	0	0	0	0	0	0	0	0	1.462139e-06	7.83872e-07	4.91745e-06	0	0	0.00013280373203	3.705422e-05	8.065704e-06	3.345895e-05	7.544511e-05	1.5023851e-05	3.3166618e-05	1.0602874e-05	1.50971e-06	4.45808722e-05	8.09177e-05	3.5782967e-06	1.3871096e-05	2.9771648e-05	3.22042707e-05	1.8970556e-05	7.599137556e-05	1.198443e-05	0	7.076457e-06	0	8.529132e-06	2.704842e-06	5.049588e-06	3.406606e-06	0	0	1.0622372e-05	5.428457e-06	2.4890529e-06	1.9051691e-06	1.8188166e-05	5.824544e-05	9.815826e-07	5.061389e-06	9.215198e-06	1.4046127e-05	1.6930204e-05	2.58951e-05	1.0960776e-05	4.43492e-07	1.8037903e-05	1.3082601e-05	1.172051206e-05	7.4329352e-05	0	0	0	0	1.08331e-07	6.31587e-07	6.098894e-05	0	0.0003165345982	0.000319873856	0	0.000162419315	0	0.000184732662	0.0001793203312	0.000162516909	3.599842e-06	4.70091018e-05	2.436706e-05	6.5230517e-05	1.360211e-06	4.08724e-06	9.49207e-09	9.43543e-06	1.0854041e-06	0.00010315951883	9.874325274e-05	1.57174e-06	0	8.22444e-06	0	0	0	0	0	4.87605e-06	0	3.29523e-07	0	0	0	1.0707228e-05	9.158725997e-05	0	0.000124663529	9.92614747e-05	5.8689239e-06	3.5342849e-06	4.14748479e-05	0	6.213342e-05	6.68858e-05	5.17550333e-05	7.599624e-05	2.66483503e-05	4.501065e-05	1.85196323e-05	0	0.00025614006557	0.00010358467136	9.57359e-06	0.0001430551863	0.00010894585	4.119298e-06	1.9549484e-06	5.5539547e-05	0.00015938701517	0.00017006638763	1.5373344e-05	5.64059e-05	0	3.565609e-06	8.019049e-07	6.634997e-05	4.25764e-06	5.969032e-06	2.133023e-06	0.0002376848178	6.34281955e-05	1.620167e-05	4.064542e-06	4.0204502e-05	4.1971756e-06	8.976157e-06	9.9077345e-06	0	0	1.1282119e-05	7.9022856e-06	1.14008121e-05	0	7.08012e-06	4.2959155e-06	9.410132e-06	0	9.681612e-06	1.2837987e-05	2.9493703e-05	2.74201835e-05	3.635092e-06	0	1.3352637e-06
M00002	p__Actinobacteria	2.83422e-05	9.35426007e-05	3.836707e-05	2.9576914e-05	0.0001596915057	1.48787468e-05	9.1207609e-06	0.000147075185	0	0.000255033492	0.0003294926829	0.0002322782212	0.000109506424	1.6468741e-05	1.1198546e-05	7.64003e-06	0.000438679865	0.00036942873	2.4606205e-05	0.0006884251003	1.19491e-05	0.000197753	0	5.4317573e-06	7.43612e-07	0.000595364838	0.000611775343	5.584368e-06	4.78819e-06	0	0	0	0	0	2.19038e-07	0	0	0	1.0038474e-05	2.359728e-06	1.270342e-06	2.218435e-06	1.09823e-06	4.26789e-06	5.695997e-05	1.861828e-06	0	0.00021084767	0.0006875972304	0.000761953556	0	0.0004616354284	1.7891668e-05	1.3761718e-05	0.000582953969	3.23545e-05	1.3828652e-05	0.0002530384437	1.95907e-05	1.152013e-05	2.31698e-06	0.000298833263	6.424551e-05	0.000269193663	5.673827e-06	0.00016443239	9.419138e-05	0.000239410785	0.000597043378	0.000389060934	9.604271e-06	0.000269983	2.87475e-07	8.15929e-07	0.000146563757	0.000109247	1.5338189e-05	4.590044e-06	7.40055e-06	1.09337e-06	6.347827e-05	1.3484753e-05	1.55128876e-05	3.409587e-05	4.030588e-05	3.68874798e-05	2.994295e-05	9.05421e-05	2.82376e-06	1.1882e-06	5.3468e-05	0	0	3.66117e-06	0	1.10566e-05	0	3.55559e-06	0	2.326865e-06	1.08085e-07	0	9.60562e-06	0	1.58829e-06	0.00021658332	0.00015093012	2.75836e-05	4.14285e-05	1.01248e-07	4.5365e-05	0	0	0	0	0	2.45752e-05	0	1.043207e-06	2.5388455e-06	5.191873e-06	2.2991858e-05	0.0001957301	3.92604e-05	0.0001163707	0.0002935990016	0.000561265501	6.22777e-06	0	0.000245156	0	0.00010140898	3.56055218e-05	2.56437e-07	7.01994392e-05	9.73897e-07	8.58809e-05	2.930677e-05	1.80544e-07	0	0.001000518752	0	0.00058596924	3.59254e-05	4.1311e-06	0.00066662378	1.156976e-06	0	0.0003404891826	1.709087e-05	0.00032305607	3.17218e-05	2.645081e-06	2.65943644e-05	9.84456e-06	3.4103087e-05	5.942496e-06	0	0	0	0.00034203845	0	3.006032e-07	0	0	1.3499699e-05	5.79673e-06	4.98927e-06	5.30169e-05	0.000266645051	1.01854e-05	0.0008217084	0.00084780765	6.89218e-07	1.71700956e-05	0.000644087457	0.0004214120591	0.000396848235	0.000813374096	0.000265327399	0.0001029080757	0.0003252386168
M00002	p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97542e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.94056e-07	0	0.0002705663	0	1.45575e-05	0	0	0	0	8.74893e-06	0	0	0	0	0	0	0	0	9.24779e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62555e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00002	p__Bacteroidetes	0	0	9.930684e-05	0	3.58333e-06	3.463979e-06	5.7142e-07	9.029585e-06	0	0	0	0	0	0	0	4.062918e-05	4.260783e-05	3.180741e-06	0	0	0	0	4.78616e-05	0	0	1.06374e-05	1.00918e-05	2.633609e-05	2.038837e-05	5.576215e-05	5.13943679e-05	7.121962e-05	3.1751477e-05	0.0001626109186	0.000180007971	0	0	0	7.82474e-06	0	8.210394e-05	6.82617e-06	9.9266281e-05	6.3149132e-05	8.3081966e-06	0	0	5.96502e-06	0	0	0.0001730080352	0	3.28327132e-05	0.0001223897879	0	4.80611965e-05	1.330251e-05	0	5.49465337e-05	2.20916e-06	0	1.218181e-05	2.321282e-05	0	1.947905e-05	7.2941407e-05	1.4392105e-05	3.5804121e-05	1.095484e-05	3.775695e-05	2.6200982e-05	5.4276089e-05	7.1149006e-05	4.8949212e-05	1.070155e-05	6.20701e-06	0	1.841693e-05	1.6243325e-05	0	7.02542737e-05	9.502808e-05	3.887734e-05	1.7712255e-05	7.331685e-05	0.0001008656	3.25926436e-05	3.5784336e-05	0	0	0	0	0	0	0	0	4.76099e-05	0	2.8896e-05	4.06805721e-05	8.02284968e-05	8.37171e-06	6.75912311e-05	0	8.84208e-06	0	0	0	0.0001018878	0	0	1.226275e-05	2.308667e-05	8.8079e-06	5.4373719e-05	1.807439e-05	3.896298e-05	2.5193e-06	3.62399e-06	4.84285512e-05	2.3330648e-05	0.000122756426	0	6.78896e-06	0	0	0	2.78145e-05	0	8.583962e-05	4.38104e-06	8.93254e-06	1.815451e-05	0	1.580356e-05	0	0	0.000154979899	0	0	0	0	0	0.0001696998	2.256787e-05	0	0	0	0.000128370169	4.34314919e-05	0.00013244243	9.318034e-05	2.277685e-05	5.06728167e-05	0.000210645634	4.3004181e-05	1.168622e-05	4.611976e-06	5.18411e-06	8.5312e-07	3.462014e-06	1.75142e-06	3.836756e-05	4.909895e-05	2.5313e-07	7.3048056e-05	4.18007394e-05	1.7652886e-05	3.1938605e-05	1.5644901e-05	2.8437124e-05	0	0	0	0	5.913421e-06	2.920901e-05	1.39274e-06	3.50802e-06	3.0035685e-05	0.00017261353	0.00010561240566
M00002	p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81047e-07	0	3.80633e-06	5.14043e-06	0	0	0	0	0	0	0
