Pathway	Class	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	c__Actinobacteria	16447.8415370237	85910.5355544395	33521.116338998	30710.8079755191	142808.414676636	9932.6721126221	8312.8565251478	140626.474873969	1715.7163887604	198059.100854298	243989.063947343	146854.220443395	107604.211099063	11181.5166897183	9772.5687118428	6090.4615014724	360829.935795508	330143.465838607	21249.2775738306	612123.702425786	9701.8466718035	158004.233104514	27.4450869065	7707.0471046361	2585.8361166995	436820.863897026	331184.532158968	2742.0315734984	3852.9487695087	53.648051691	789.0115554853	72.6259938952	550.6761018253	0	9.4566163773	0	1150.8623262277	3093.6504525779	3553.0359146009	3495.3194927606	1502.0432263834	2850.4873279889	1461.7574505194	2374.9370088039	110786.537762986	4570.5720785797	0	205289.012665788	624716.712724965	847828.021721169	2047.3937099944	547779.391309003	18227.3528993914	13038.6878363844	850797.838965786	31175.0653532634	11233.7954014867	299543.11246769	26577.3901844581	8538.3964339355	13038.814553085	341033.482150004	66082.0474900065	242729.450964996	9765.4477365397	105743.092939644	107626.829381796	305392.393866131	850642.594313106	479187.038998199	11933.9406265647	355708.796484021	734.664120689	1314.6029842408	119113.185628139	81827.6255988648	12771.8454033458	9314.712738176	7896.1325361754	1612.6124934695	65547.0344155629	16505.2765759757	24334.0730841569	32572.7761889087	39156.471750248	41595.1765166129	62611.2745072782	65309.7977893138	18120.1770132129	10239.7709607387	67353.8824550679	10613.1100143409	19.6531397608	9044.7633217405	8536.9364329909	9067.4889222333	3967.7513590832	2423.2607929698	7558.4806355939	5397.8706072139	6385.0297262283	37672.156454591	15847.5168144232	3545.7758551056	3856.558069027	318298.095915367	271867.336184145	33742.5345370022	48243.4464730666	2005.1570599828	52449.9487015589	845.9311817706	271.7263159332	4552.501432316	0	3701.0669311867	29008.0907423566	1997.854539426	2076.437469041	6009.8081384276	4840.525883246	19872.26618742	268453.888539175	27564.9646542309	168087.143561431	459886.958517501	504384.734832428	4973.4234272172	0	153307.660903266	872.3392483308	127535.190256141	40431.4735246407	1944.1240960807	79572.7132021325	8755.619008321	70088.8720447236	25306.4125784837	160.2141944765	683.6607496343	808605.336616265	735.4817113617	687332.199909548	32708.5798043876	5791.6638498279	831564.022835211	3047.4678838643	1251.440155885	272284.571644535	21639.8732689207	209023.849143847	41319.7755244118	7351.6074502732	32786.8180235255	7625.9297435245	27308.6687493295	7625.1540298098	0	0	0	255471.415117609	0	231.5066239102	0	0	22589.3365727784	6492.5365818893	6223.2244640312	48686.7403516386	369293.771880528	12007.5359836166	783492.38958707	683799.434395101	520.9511380962	20007.2762132888	777622.543075476	439494.616267279	358863.838942566	1054555.18134252	229097.195439801	126064.074945776	323725.34095573
UNINTEGRATED	c__Bacilli	38985.2064274265	246655.253557542	20062.9175458432	171177.911303285	199959.210423322	418906.937316664	161570.94074391	187276.635151078	46522.6238080026	273663.273816066	183095.541002575	262100.629545295	32943.4554932077	5854.3560846872	58291.3546634784	13019.8987527414	49148.382561587	116249.080722658	51341.5790234785	241047.942145608	2030.2300603765	967696.45598032	1321.5863307377	990340.000919694	608657.9151711	427488.663941941	351738.330301883	8937.9228080336	24016.3118042362	9016.0237227553	167664.051250913	47526.291514154	83274.0089615098	6291.9328883616	3729.7954677126	1476.7118790967	815750.688062011	360312.854950284	81123.4018023435	74963.4463515796	168832.588594875	17999.1229925289	7271.3388530576	206643.091158732	655068.994961995	49632.2908590603	13312.6885955702	33165.7479342676	121541.693474575	86825.4145429492	5516.2778217143	114774.395099277	48172.4353403515	29620.1800615932	511358.14026623	102906.608461885	272216.051658127	78656.5788495483	336583.946221004	247213.101748342	556634.037828813	85411.8909476916	289298.049539092	54020.4290115069	224898.620549325	7222.2193491522	18113.8137362747	34302.2698892575	78294.6841383836	49370.6866899522	347889.514480572	82684.1847760627	210606.193607324	209762.353990872	60316.8303987477	125991.849139803	298696.123150806	273719.969316279	37153.9554618458	991205.139063686	81915.6748693962	63212.3739219718	173129.179217515	123872.477332435	103095.645611238	117234.685418367	1098.3874290851	17339.9085750242	114449.625846503	276672.022943722	562223.115847843	523923.726849679	668180.142172862	408521.771170359	482024.422205282	487208.474464862	73786.1065923102	943734.31187502	197747.13503346	6885.6339718108	143817.198313301	77654.4537214756	6174.5705035116	116043.593593332	45702.7177915267	60212.7847581222	156876.924154863	4094.1404139134	394.3378197352	154817.40637476	1157.6017453542	8641.927967811	1004.5182445803	12452.4677670793	768529.087604186	19074.7952277686	304178.262556135	12664.8292799412	23445.0637385167	24196.8850042858	20212.6783244809	74151.6499647258	218235.76203042	20489.4310656375	174849.116712087	118793.13243415	334250.010998917	9671.1867441869	758247.777846956	15702.219752676	300829.637657688	50885.7559972278	116340.016991005	31210.7235354814	45044.6178606962	585699.547154683	33205.7916434687	65177.7467317817	13396.6761700495	466224.731132945	137346.06806867	252846.921285896	168150.028897833	119600.885502056	40616.251932408	160555.741778405	266493.100263097	182130.184362184	98384.5407987165	49628.5622184249	13382.210908735	119548.63939749	244022.829050798	53368.9181967199	20743.1099019539	104532.563415171	49346.5496882703	28685.7832760057	29512.3035745014	4764.0119216455	49363.8038658357	7772.0179419668	512.0616743416	715.0957377222	1259.3110984883	123700.817206045	22467.6487408793	32063.1971032691	34195.5377478087	53903.1172206286	32738.7325233568	10809.7659214804	5724.0031695615	2617.153215319	24.018201171	84287.6177662895	176594.425858014	340220.918569209	151539.156766118	153529.954087748	24230.2526054357	118512.462528553
UNINTEGRATED	c__Bacteroidia	18453.747878941	6892.4867436631	217519.574056635	3330.0502846337	6933.5937580704	11237.8501103845	4437.9472296103	24109.5290372069	0	0	531.0004698516	0	111.9220491293	370.8980629574	25.8442434006	100007.529623212	161875.318631425	12162.6218777051	9369.1644719526	0	10357.6195135893	43473.6483577091	173442.301494557	999.3457269204	0	41169.0403769297	28445.9834687436	66433.9601833719	54965.7004585511	244525.148380355	149336.182132127	218685.089560452	134946.206909852	727509.375446657	525120.444003657	0	0	0	24608.529195685	2480.4210899005	192354.029745239	38227.1700230975	161994.584231188	145144.184699333	56389.2455776274	4945.373175227	2942.8324465684	11338.7592347453	37.7568451795	0	598656.800025641	4559.2717501247	86058.1433686079	364646.867324636	0	204118.624432271	29147.386503323	0	209454.001203531	7212.6126516871	0	62289.4086999438	65118.2182144757	231.1018445705	50792.6720250566	123944.888118408	96479.9043744505	141186.959466584	43630.3061889922	119957.134571778	283219.269153976	211789.950589002	283202.735349819	228198.534908518	31461.4263137765	15420.4114663984	2063.8681762489	80236.667117603	137194.328204354	0	343836.010160133	449226.367674763	247282.760193196	89227.841150649	291090.816374329	504371.535334272	193856.976212283	170356.061734598	0	0	0	0	0	0	0	0	93217.0798535	0	57297.1550762608	251485.538615615	171181.037738656	28738.840356472	339602.49719173	0	20903.9352471436	0	984.800365577	6695.2043615833	326276.212590791	0	594.316125692	43098.5086520296	76021.822989484	21658.5796204922	131487.266536218	48496.4033701614	218128.62851357	11077.7897268547	10063.6312267644	186827.384315256	96518.7381613809	401629.340449089	0	10027.5250074041	0	0	0	115541.297047099	54.956786225	292833.270545269	16306.3950671204	21151.9502876295	90965.9974549098	0	92403.0145742765	0	4231.329521783	565237.765624716	281.2591754272	0	0	0	0	406661.647640048	71224.4967858527	0	0	0	343533.520808936	143212.697578823	420719.370181774	406684.852489796	82015.689234011	141340.949059786	604657.548943202	140065.667730237	49241.5239511089	25378.8063008985	22868.8410527848	4055.4929483546	11565.037606267	6970.3954513321	102978.265052545	148557.072244648	1326.1402139427	306558.415131196	155155.171693483	125163.630597799	190288.315214442	78483.0930762667	170445.757391031	9078.0071724657	5799.2846517415	5296.5668224431	3414.2460944954	22793.4721352512	84456.7808676208	3169.1871476108	9939.0165797475	67586.5665435027	385033.459005806	306019.427183759
UNINTEGRATED	c__Betaproteobacteria	2111.0651590806	338.1075783776	7678.1063783041	1952.7957325126	1482.0807950877	0	240.9268501487	0	81.1472215752	180.4058126701	0	289.0565589714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271.0867546827	61.0589601782	412.9048771646	4253.0923204209	1695.4293393062	0	0	0	0	0	0	0	0	0	837.2042941673	0	0	0	0	0	2619.380841754	0	1469.1148845929	223.3412784081	0	0	0	0	0	0	0	0	0	301.7011036748	0	359.1614309355	0	0	0	0	2524.8889093239	0	3120.9503427435	816.0790468325	0	0	0	0	0	0	1131.8300285627	2908.1006473554	381.7658900672	142.4569791335	1374.2624636158	2103.7483161085	0	279.3595737871	0	0	0	0	0	0	0	0	100.3979645683	0	0	0	176.0795703079	0	0	0	0	0	0	0	567.30913916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.9456741811	439.3865984189	0	26.3870026045	0	0	0	2381.0706179818	1469.2497959632	0	0	171.3947476995	1357.0736121676	3061.8523068483	0	0	932.1975478038	2230.2609335634	1484.6924206931	280.4431948635	0	1737.7541410096	649.3752699053	844.5199839747	1468.4859123463	444.0614711606	475.2950759931	2974.3511938382	910.3003959235	0	0	761.9470061039	884.6303128375	254.7745737574	0	791.9230910905	0	0	0	0	0	242.7654441628	0	0	0	0	508.3541854449	255.3838412519	0	0	66.6285084289	0
UNINTEGRATED	c__Clostridia	271972.923726657	364742.256316403	319408.358312384	510323.06734784	368666.341058446	162290.395897917	230921.933689253	283620.069718333	0	222.6167604316	193409.460979863	30.0835669312	353026.221395626	316353.203750508	359888.537805402	508114.312540432	59433.4133439703	97011.3906928469	503861.287036883	1332.2809972662	402849.179069324	0	309235.883230829	2376.1365408156	7571.3696065336	9336.1634399497	3706.1171594836	293098.300260719	332551.400570928	312417.221325435	292814.454328459	332966.607996862	445492.867167629	156365.842257059	166169.483578046	0	0	163758.686449585	206424.812697722	74662.9516587217	89066.241745311	290033.094859386	98542.4923981354	116097.61293961	139395.535150829	141130.577931415	314696.144932448	338974.951014426	22.1347253911	42.3762556922	295053.050451449	618.3132723837	237121.11540928	226695.095394504	22475.518294406	307715.453946776	267996.469247744	314532.643926752	406209.53474237	307505.676474483	412682.133018336	251277.259844244	267374.197336241	278037.937248148	403808.814352438	261038.407129458	313872.660601827	61707.9830254037	194458.578223351	223577.625058508	89437.7060911222	170013.822866404	189834.850997147	175726.853882088	241130.111369069	181457.215650424	164038.911693217	510767.410638179	410629.308983053	40434.099818213	458825.623269676	465064.564702236	535231.693913732	426391.395450065	370595.449192167	340664.226282665	202219.004246388	477331.570691796	976.9177010085	15.8224926687	0	106.878908909	0	91.9099656432	588.1863305514	0	334735.566368701	0	123399.123635581	349707.165765084	159655.541125391	339326.823054275	363495.880189515	163691.54283733	305566.157405876	1396.2781737347	21414.2903367336	331359.654047688	161935.58470595	222327.029595859	210627.356572425	378315.021334411	459079.274667176	233141.422445275	4309.5887339868	347069.426532968	534527.900442946	236329.283318184	234167.428181033	459791.041407602	512845.395201529	278414.848095244	2283.1240512166	301651.504933079	2685.7378817096	32657.8935083736	17141.5663372974	380402.937266687	33866.8147433516	198826.454644215	0	157982.807920351	360844.961051428	0	572383.007293504	7203.0014378938	378876.986358233	368616.416274304	0	0	0	0	0	148599.456292831	417827.621288399	0	0	19031.4936467141	73111.0025988268	238418.757467273	260036.55960104	257945.050847931	402324.130166245	223382.348326179	148233.036264686	216081.987213656	531865.689533634	0	344002.72537168	295829.064801644	325964.629546141	227606.288074643	270612.105633956	237666.892423749	473813.253028268	480235.85747322	468405.483959284	339726.340595464	345643.602944898	362762.623343878	369645.825442723	105243.639486742	68049.7952801485	301664.339752554	436754.376076274	112325.395498139	78741.3413931974	2110.8530570758	4405.4817318428	157871.136464258	274833.120426451	50388.6870806719
UNINTEGRATED	c__Coriobacteriia	40764.724460726	35030.4203996899	46972.2001963055	52318.942726337	45473.2043737492	12626.9582635666	17330.4884655285	37865.7359332068	0	31.6729074487	14103.5369158073	34.9803136604	17702.1747283737	15246.4433162798	3439.7888491665	4645.4379471419	5535.7752808997	821.8480142909	14622.6567415814	462.4960272737	15849.448837099	0	0	0	0	0	0	0	0	0	6475.7303158554	7090.8854104424	16608.0333491765	38941.6493755698	24528.0197233054	0	0	0	65798.9309739336	19536.5378939892	8369.9430342111	57035.2313289836	15024.6889459969	40659.8823471924	11350.827833048	44419.0552052542	46719.7755286476	91583.3911566139	623.289023744	2244.4222921541	19049.7580675256	8493.6215048643	15756.0922329632	7457.2162416171	10449.5757800404	10658.6858653284	5326.4558985693	23867.2960393201	16791.0438513422	17656.3409416361	263.1614086454	10241.558963461	25834.7507154113	19069.4897253212	24261.6073959552	12671.7112683941	5363.2433831068	3865.5916105777	12108.0100391146	9721.6444734807	1820.3851754315	8321.8211174756	2288.2150206746	1206.9361407583	10492.4541014002	12183.4157795266	3589.1607151204	21839.1827120511	21315.9968136698	0	7487.7614560922	17573.7578512949	25365.934716193	25033.9899579931	18988.7440683053	4013.5819968717	6880.5811280033	21501.0565674993	6.8263696457	4.398608168	2544.3062163898	0	0	0	29.3282098086	0	0	0	0	16761.3513069315	0	0	0	7145.2350475936	22296.5573156718	97.5623397525	1066.7022213217	0	0	13905.2957048614	0	22329.85313387	12077.4690902119	21023.8655089278	16.4512818591	16221.7489026985	24749.3903280961	16701.0491174071	12445.6855027717	42596.2317572471	75584.5507409859	29459.3235878074	17580.8712206417	7527.9695263983	16066.6556412902	13458.5570383572	6371.7932898592	17566.8267051597	0	16272.9682051287	0	8068.5647966817	22454.5729933429	125.7851844887	35187.3492219331	1115.4822081558	35879.998497947	4503.9979284794	0	0	0	0	0	7928.613930316	32601.6501070678	0	183.544238223	56.1123198262	3068.6661584438	5152.1849110905	4143.0395631165	12797.7163616882	64553.4250897716	6187.0010898475	6067.4704914851	13427.8467893524	20285.0063061954	0	0	0	12071.5955309081	0	0	465.7541013974	0	35715.42502979	37792.1862555626	16175.2683607218	19220.6501461158	42185.3433037802	35821.7560736009	12459.4387650045	14577.2164189985	21767.756133952	18841.8201195703	60869.8936798639	8633.571723375	1532.5207658027	1499.6837630674	52464.4302153873	35533.7146912265	3971.6873557692
UNINTEGRATED	c__Deltaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066.0146368	0	0	0	0	0	0	0	0	0	3186.3966313524	5237.086234795	8635.1740554186	0	0	0	0	0	0	0	0	0	0	0	4849.98679093	0	0	11074.4055711	0	0	1478.3162612297	0	1982.5658345689	2992.9749799929	0	1662.0749278168	1520.4974361354	245.9120227604	3171.8797123508	779.0888674355	0	58.2665840542	0	2016.1281323586	1570.8992103762	1213.5906945212	2449.1592388341	3036.9455864446	1930.1741433516	2621.7474593135	0	2854.252082288	0	7.7483388229	211.5451536622	576.8696269813	83.5131450089	1409.5717166521	0	0	41.7924046027	58.3633181863	29.5558976859	14.7769107135	14.7751985751	11.1511065683	3055.0373745167	4.9188899344	0	0	0	0	0	0	0	0	0	0	0	2776.5859349881	0	0	0	0	0	0	1084.0179168583	0	0	0	141.4261619553	0	0	0	0	0	0	0	0	3256.9759456756	11041.3973531011	7316.4987307923	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3452252519	0	0	6338.7918196524	0	0	0	0	658.0934716527	0	0	0	0	0	0	530.3210916937	1349.2064261249	5806.4073462547	0	2685.6145964714	1476.4781707085	1850.3808961878	9144.2350940054	4203.3764358384	695.6176436761	51.350442385	6277.170855914	3121.829654096	3104.6604821566	1791.5350875839	3830.9787999655	75.65704362	0	0	2538.4872322239	223.8735431689	1840.4252898448	794.5120878186	370.5774876142	379.6647117058	840.3434792975	1390.753063979	86.9121882793	0	1039.6733273582	3896.5667704846	1331.9358278887
UNINTEGRATED	c__Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	323.4055001305	1602.4758515898	0	0	0	0	0	0	0	199.4427461887	0	0	0	0	0	0	68.9217593158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552.7300662683	0	0	80.2903491545	91.9991423781	504.367277049	0	0	0	0	0	0	0	546.3700987748	0	0	0	0	19.1657706002	0	0	0	0	0	0	0	0	0	0	0	0	217.2505066122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	c__Erysipelotrichia	929.0696342904	1999.2300784541	792.62199121	1202.5945297967	1251.8472211334	986.9220619039	4175.2266927848	2606.2241359921	0	0	0	3586.0249121022	139133.10983907	32228.0033043556	8783.2937313347	717.062322106	0	793.5131456864	2547.9248926689	271.2851544177	3618.1254250352	0	8239.5010062261	3375.3964776379	0	0	0	28924.319985306	36796.9036712666	46370.8048597179	6245.5060462459	4696.9306942414	3488.0618737142	8203.1174603302	12873.7005665625	0	0	3341.2192467078	14888.3055784381	739.1797660427	334.2385136981	5859.26253251	309.9871272525	0	3874.0009589244	0	0	2676.8322164159	0	0	18821.4929408556	0	7258.116700527	7575.1285695741	2406.9943239074	5330.5129936579	0	0	0	0	0	1915.8937453266	0	1351.198444402	1013.1546742158	600.8458584477	0	0	943.1501481362	1207.2194807942	0	491.9383201931	583.0705089189	508.4803753493	377.0595558121	7919.9520200885	5286.109256376	11539.588128356	3629.8599218302	0	1483.0682164844	740.0771814283	2834.0413186572	0	2700.2947910444	0	4406.1654600175	652.9113833214	2501.1395344661	0	0	0	0	0	0	0	28076.8182380269	0	8323.268174615	1621.2208985016	9019.0579562076	31189.257709616	17360.8779675249	27092.9048342075	58194.1209153891	0	0	24955.0884460227	13173.1426731479	92880.1548202689	22796.5282224627	72226.6322440244	56953.0524471512	81597.4887159594	0	77745.4202035677	0	69697.9915490427	98988.1567846994	0	759.7086679644	527.3644421849	0	35880.0332103424	0	2764.7524502369	372.2389466069	0	0	0	0	17752.2025414201	0	0	0	655.2996730619	0	842.9908578139	0	0	0	0	0	6996.8483127264	0	0	0	0	2783.402835516	8800.4618584984	2509.3627542184	6592.8773106035	1204.0197418995	28222.3945333656	1483.5857261705	5764.4416366972	466.1290116656	0	43227.5560907237	62543.5110204026	8999.0717979679	5493.1417818621	10883.5848357108	11277.1188794676	25472.9295165372	4636.1281162366	9686.091512778	2906.8470025461	2205.82267807	8359.4670097845	857.1595226786	858.7026996381	2210.1110924071	6378.7426002666	22502.9405717615	0	153.3147654896	0	0	2779.577178323	39619.3231433621	16626.819391603
UNINTEGRATED	c__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	1059.4435150844	4231.7600983049	1641.3332256472	317.442831303	802.5539835221	580.2971753263	6896.1244241208	0	7805.6752928874	0	0	0	0	0	0	0	0	0	6967.723169627	7819.9724571328	8166.0409457412	517.3189567123	2887.343316057	0	0	0	9446.0169986727	1548.0101493125	4672.8064438849	6229.8437292078	3719.7184015478	5243.6532796879	0	3439.3780717907	63630.9672523366	1054.3781142301	0	0	1366.5588214432	0	1476.4443049815	6044.7338631513	0	12813.1467569653	0	0	0	0	0	1495.4274257536	0	7759.8531178914	145.581692928	2498.5404054738	5709.7669028526	4860.9555304368	6301.5284376179	12834.8393674604	5728.7254486722	9621.6235519845	12970.071101968	7532.5615742094	11527.9923730409	9784.1283617071	0	0	4763.2033938833	0	13007.4854713948	12974.9973336851	16650.9709009061	7797.2373589371	6038.0414593096	5531.248859532	14384.0232140248	16200.0379771076	0	0	0	0	0	0	0	0	0	0	0	1178.684963687	0	0	0	0	0	0	50.4661153611	0	1167.5404542169	0	7995.6283316169	773.4727437175	918.4037782631	676.6230166147	0	44.8138072186	0	865.8568575033	260.1545278315	0	0	0	0	0	0	0	0	11912.0614333185	0	852.6272235427	0	292.5826423128	2089.0623329123	0	216.5005524076	0	825.1272987562	5314.0246206581	0	0	0	0	0	3552.2519558625	2103.5149969756	0	0	0	0	38.4598963429	553.9873815748	7169.0635484687	2602.8123993481	412.0454270831	706.4897067377	14267.2344222032	11285.3927531549	0	7549.6661146433	1496.8255628637	779.7088702566	35761.4450324402	61640.2201336728	34395.4993048015	32525.6486209182	2342.1719628452	7915.6934447698	3819.1037999048	3861.5707113676	10454.7501739771	6198.2360014633	1420.6801839042	1915.454348282	6238.1439801522	5920.219451733	5809.572865113	13002.1937972299	0	0	999.4198666194	767.4291100631	0
