Pathway	Family	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	f__Acidaminococcaceae	1186.8476126763	0	3461.7028143167	57.4718935115	460.6293805378	496.600159914	0	617.1799696475	0	0	0	0	0	0	0	1737.5715074103	3504.7315133243	538.5931687305	2374.8931463779	0	273.3849824404	0	0	0	0	0	0	0	0	0	598.1815376134	1686.5383255323	1823.8858036315	837.5017996515	1208.9574409807	0	0	0	0	0	0	9915.4483299605	18899.3006516569	56757.2986307329	0	28252.7579036216	0	0	0	0	6822.7397568427	0	986.2536591143	10651.1871420733	0	8662.7994011656	39135.9976933507	0	79959.877480746	41421.2918001291	7708.5221024128	33784.6112122765	87479.2398081729	0	50969.9996284347	0	0	0	0	0	0	0	0	0	0	0	24430.5572596962	29867.534072058	6846.0895625188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962.5231451973	0	0	2468.1784393254	2763.2395744149	1072.7398327264	0	0	0	0	0	0	0	0	43.7035281693	0	0	0	0	0	0	0	0	0	0	0	0	1872.5347170244	0	0	0	0	0	0	0	3545.8669259442	4858.7053979827	0	0	2518.5408742207	3030.8423511816	0	0	0	0	0	0	0	0	3501.9604328693	3282.2406352091	5967.2638961772	6925.0848106427	6421.3608757408	4920.8959124149	4712.4672343211	4028.2388679897	0	0	6703.4593249054	28280.5194804504	8777.5300639974	6847.0449147036	26371.9210654765	4901.7775189638	17814.2258753736
UNINTEGRATED	f__Actinomycetaceae	368.0824125379	644.4282414128	796.6122862216	685.6556293998	192.2817164979	291.7088986028	441.2056147412	469.2551434575	1654.7255172912	4023.9216921187	502.2545192789	1423.7108287303	255.0106606403	224.7680306006	362.4651460429	149.6619684082	660.5450485359	2035.6233691094	827.3758884864	5922.1905406162	82.77846511	0	0	348.263794799	0	666.6382425103	376.31596541	56.7735380662	354.7364765966	0	97.8111843222	0	100.9804408905	0	0	0	0	611.853583253	3061.1160357681	1015.2047685023	685.5125873167	2186.2461800031	276.9354586553	228.1651155197	404.7325474897	939.7107280297	0	870.6653788141	937.168563623	1791.4294637469	226.5288160476	277.3154631551	1702.7404813806	1039.7752592212	5869.8922283793	589.1371621798	2700.8593945283	916.2795789863	2169.2104897056	1934.9311216733	9586.4635772223	3622.3348025163	10229.5813862162	418.2930282343	2147.6009787303	25.4350340829	0	0	0	0	33.6342711304	0	86.5980589915	141.9930659965	0	322.4407205754	355.1403463726	852.5068513121	1093.9286015953	714.1083838466	410.6868271308	99.0738362777	762.1057537931	666.029087663	161.7434297649	241.685302682	0	202.6632549345	9246.662133226	3127.1867959156	11417.4303330488	5275.1263043999	0	4087.3929235491	7131.7040254625	0	0	0	0	844.8303110398	0	0	0	1721.5330645988	797.1859253157	215.0309328664	845.4479798085	0	0	744.5754552413	0	620.2010395835	214.6368871225	2262.5660359914	0	1736.0647980752	1475.4091640298	501.5784330838	697.6227218191	696.045210391	65.6337384884	118.1513235308	6027.500193657	485.9882469855	1891.5742619347	1520.8287196126	3969.8256485948	99.3077533016	0	149.5724169819	0	483.2572660292	1380.2894905912	136.6427952524	1746.0996857709	7462.0492469364	1369.8905916044	0	95.9254661499	147.3779927603	375.4386514805	197.4828083029	289.7341048667	206.830761188	474.8392412243	1450.9349654474	432.6069167708	141.9097647928	156.8666149002	176.7017380847	0	426.6820867842	3632.5889109028	547.365401701	0	68.6452050706	1444.4177221732	0	0	0	93.49623254	0	231.5066239102	0	0	254.7325056569	0	578.6486134267	520.050515092	1577.7756496031	704.607525296	0	251.3340961685	520.9511380962	391.6012627451	189.8509591951	137.2611939247	83.9705193946	0	258.0102793559	365.7019861849	669.3475890432
UNINTEGRATED	f__Aerococcaceae	0	0	0	0	0	0	0	0	9.468512493	34.5780366549	0	47743.5848649224	0	0	0	0	0	0	0	127.0403798077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.0620525091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390.7140381651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6793214008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.188184584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Akkermansiaceae	76917.176922641	616.9338441366	66783.1463602123	9102.9709836599	545.596314042	17094.2928443919	55121.3517705484	73065.1942026979	0	0	0	0	0	0	5363.4786732648	49937.8167727307	130150.452128587	204543.894147508	97856.3211934122	1059.9570090735	106215.506625816	0	0	0	0	0	0	0	0	0	13740.4837538281	18301.3822930276	29475.1039328707	0	0	0	0	0	65089.0133340785	61141.3654675556	123869.823064958	140212.356945393	58972.3392368507	15973.5040474599	0	6010.1734037344	0	16612.3124230419	0	0	0	0	0	0	1774.6604157869	0	0	0	0	0	0	0	0	0	0	0	9121.2517165353	42052.4157202456	6569.5298102683	0	0	31126.649670386	0	0	4523.5428623342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2431.317465673	0	0	52650.4152964555	17384.8926330969	29907.0600564664	22.0481340319	57665.5413180132	0	0	1033.2079975477	0	0	0	0	2058.0422981073	0	0	0	59.4404735496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36616.1035978343	33612.2650017167	0	0	678.5968010656	0	0
UNINTEGRATED	f__Alcaligenaceae	0	0	0	0	0	0	0	0	81.1472215752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Atopobiaceae	0	0	0	0	0	0	0	0	0	31.6729074487	0	34.9803136604	0	0	0	0	311.656080179	110.4870846501	0	95.8382644868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.4927980176	0	0	0	0	0	0	0	0	0	7.2078857927	0	0	0	0	0	22.3912902313	0	5.6901457159	0	33.0373993334	0	263.1614086454	418.4920264305	69.4136845052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8263696457	4.398608168	2428.3952671755	0	0	0	29.3282098086	0	0	0	0	5.1189339892	0	0	0	0	6.3316137945	0	16.8944254761	0	0	4.7043760754	0	12.1892195386	0	38.7489933164	0	48.2005904887	311.1621281461	0	24.0227432158	0	0	0	9.3859675449	5.951380812	0	0	6.5601634063	0	0	0	0	97.2899704143	0	114.5981595993	0	374.5976971011	0	0	0	0	0	0	0	0	0	0	183.544238223	56.1123198262	531.2300084663	0	0	0	71.1465243991	0	0	0	34.1196876842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.0618007641	0	329.6454615588
UNINTEGRATED	f__Bacillales_unclassified	0	0	0	0	0	0	0	0	0	0	171.458085295	415.0691477673	0	0	111.8408533915	0	129.418555421	1001.8651676646	0	841.8756956511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.177614777	0	0	0	0	141.517015427	0	83.6558785893	40.1543437	0	29.8804056469	0	0	191.9781669104	0	0	0	188.6723628298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.511672576	59.137502217	0	455.0154015465	0	36.5657512025	306.8049417334	0	0	0	0	12.6926719891	27.2624667898	0	0	23.7393388461	0	0	0	0	0	0	0	0	0	0	0	31.6969738738	0	0	0	0	0	0	0	55.5042316224	0	0	0	0	0	0	0	0	117.78330516	0	72.2512457006	0	52.7985279689	0	0	0	0	0	0	0	0	0	23.83263264	96.2853484921	0	9.0034839632	0	0	0	0	0	0	15.9306407195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Bacteroidaceae	17743.5642616318	6892.4867436631	214614.123185338	3330.0502846337	6933.5937580704	9121.8653282317	2756.7414510287	22943.3045904716	0	0	0	0	0	0	0	88923.1539582861	131985.866746854	8186.4891208522	8387.465345459	0	9946.3673883692	43473.6483577091	150277.188313642	999.3457269204	0	41169.0403769297	27689.6518861707	57379.8251620211	49784.4296613483	210784.635693087	130601.342419199	194623.820034667	119159.452857412	679479.428863368	480847.405035454	0	0	0	20134.1012139457	2017.3011769659	180931.874843514	27668.3172576093	143867.786785329	127199.489548354	53924.2885045764	4204.665095979	1068.6139988268	6409.1544816199	0	0	556011.346445114	4559.2717501247	81929.6387490952	345572.85175876	0	191342.76919701	29147.386503323	0	209454.001203531	7212.6126516871	0	55993.2320796826	65118.2182144757	0	50792.6720250566	117140.267680477	91143.3964234557	135625.912613117	41884.3254072283	114896.395762192	76262.002501976	201137.566752535	147522.918651971	120399.974988413	28575.1341880665	15024.464302241	2063.8681762489	75181.4044668591	129620.477187251	0	234864.481070938	343069.808013212	200589.699119092	70608.5115843741	197562.594047208	375156.975835123	170502.856310383	130666.396498139	0	0	0	0	0	0	0	0	93217.0798535	0	57147.7357566881	228589.821447161	171181.037738656	28738.840356472	339602.49719173	0	17500.2820809811	0	754.3615092163	6695.2043615833	326276.212590791	0	594.316125692	36882.5388890443	61517.0509882511	18050.234197989	101481.072384917	40161.6851773427	192265.60223564	9448.1301511356	8819.9530359804	164681.129303613	84510.7238917549	327711.017107652	0	10027.5250074041	0	0	0	115208.343043638	0	255154.216907548	16306.3950671204	20966.1067481749	70065.6690965723	0	62127.5374249725	0	3498.2012163223	478644.85854085	0	0	0	0	0	366348.994671834	51830.6313891168	0	0	0	308409.445057847	143212.697578823	305527.818095475	197559.067468176	75660.7540227089	141340.949059786	518438.627001561	53699.0543924995	47660.9824402179	0	0	0	8039.8804295951	0	0	0	0	293713.380977806	147323.088886612	118058.435750543	165947.571734965	76447.5505488271	150911.198592217	8264.0111118755	5116.020734401	5003.0061544545	3175.9138494898	20280.9320352956	75142.9196460402	3169.1871476108	9939.0165797475	64418.0045683022	295378.402521961	252896.878702666
UNINTEGRATED	f__Bacteroidales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.1698042321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.9125100779	0	232.5379678015	428.1271499108	821.2058951537	631.2494577929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648.8293709759	0	1679.9675632725	872.7304446304	0	0	0	0	678.255306194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133.9209752572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1403.2423833849	562.4347791569	504.4279130631	1045.8862662469	1347.7825639637	490.6402676047	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Bifidobacteriaceae	16046.6204116007	85144.6799361472	32666.1632385503	29975.825115821	142616.132960138	9640.9632140193	7133.6727988181	140157.219730511	0	194035.179162179	243486.809428064	145057.440916936	107349.200438423	10956.7486591177	9192.6684832669	5817.0569022063	359984.151452503	327801.373507257	20281.2943735521	605236.563381667	9619.0682066935	157704.698890027	0	2811.5413964679	230.6627833734	432314.809800407	328603.145297047	2685.2580354322	3498.2122929121	53.648051691	0	0	0	0	0	0	0	0	60.4434693585	2248.5893222685	160.430923857	311.7048258654	1068.4189302312	1582.4857751892	110093.801094291	1718.4491649896	0	201576.778151285	620586.013667723	844479.735090681	809.9182365548	546710.977278414	13618.8032089013	11104.683441944	838404.478729669	30172.1249661282	7688.629761087	295398.857326012	22122.4120268537	6181.4711624932	1589.3152857136	336983.27910144	51566.1999581308	240929.467957063	5011.9901319987	105695.582081175	107386.246570218	305341.260563879	850642.594313106	479154.564651348	11697.6977157157	355606.731164863	648.0660616975	1144.8827993352	118813.356064595	80299.820068037	12416.7050569732	8165.4868796817	6802.2039345801	0	64517.2007604337	15432.3321278677	21569.7911329099	30031.734477974	38482.3608884574	40366.0175941387	62611.2745072782	64378.2541133998	0	0	53442.2457470212	0	19.6531397608	0	0	9067.4889222333	3561.3293230125	2423.2607929698	7519.3760428172	3977.4849133055	4708.0134470626	36804.3649827906	15776.4218124126	0	1554.8036127561	318002.119237248	270635.175490854	33687.415610462	48243.4464730666	0	52449.9487015589	0	0	711.0891131621	0	1102.4228528412	26001.751827147	1266.2748404981	707.6812080702	3052.0860790329	4434.4938307809	19555.9110236211	258323.166297052	24485.0018936799	164267.789809599	457180.752872542	496545.181178725	4638.9477505941	0	152527.876741727	0	126822.111940666	34072.9608380334	0	73206.9320145683	0	64790.9898948326	24634.4201748566	0	0	807509.519179998	0	686736.844300293	32501.7490431996	3958.839402794	827225.274533429	707.605242271	0	271199.068060977	21318.6563977167	208771.458203425	39879.2453524543	2249.9483659183	32075.7262965967	7513.4356626741	27200.7928558268	6151.693705449	0	0	0	255343.773155039	0	0	0	0	18429.5415683368	5990.4633720967	5644.5758506045	48166.6898365466	367592.642537534	10859.1849523943	783492.38958707	683523.657960109	0	19588.0917456062	777196.050336886	439357.355073354	358536.161262888	1054555.18134252	227975.372244319	125698.372959591	322978.303714532
UNINTEGRATED	f__Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	323.4055001305	1602.4758515898	0	0	0	0	0	0	0	199.4427461887	0	0	0	0	0	0	68.9217593158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552.7300662683	0	0	80.2903491545	91.9991423781	504.367277049	0	0	0	0	0	0	0	546.3700987748	0	0	0	0	19.1657706002	0	0	0	0	0	0	0	0	0	0	0	0	217.2505066122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
