Pathway	Kingdom	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.140757756	0	1394.9993649032	2302.9005911462	0	0	0	0	0	0	0
UNINTEGRATED	k__Bacteria	540408.247007343	775830.494755429	732522.948140444	788120.743731363	792280.194873389	633572.628767365	1023963.65072021	750435.508950173	1119392.15353673	1048665.62578403	903560.409525254	788251.088773984	729315.855888747	392623.364449513	471805.280801487	690043.477782089	840424.127577949	1078626.19485046	710386.421476085	989039.765892483	612441.527849104	1303253.37392526	504750.571601854	1008879.88004036	618815.120894333	916851.810057328	716760.398353162	411936.779587053	460348.971609009	616491.939248066	676351.105782642	654051.520581578	791801.197850845	943324.181619013	738665.967050013	2524689.40248098	1261064.79952299	545739.531482594	823760.197995418	914844.031599799	699059.22096633	1207062.8046608	441193.652136204	620817.673524294	1655812.63512473	2592359.73255802	458788.848134686	814882.412143199	943282.725222701	1272422.10641481	964643.790741235	1451617.73765493	445627.74957177	687018.663756667	1492307.9354738	698901.806413368	719153.402030439	747315.085146559	1250819.28899806	701563.369190565	1007241.23775395	811658.821556179	965529.235615061	638118.600366646	876441.939973401	530541.038042792	718040.161921268	1228821.82973838	1207294.56170697	950136.26064063	863487.776350408	1030371.97274897	853378.698173374	920068.609452788	558070.055802515	439909.680025638	646922.420065931	1071769.06168866	657314.87657704	1283999.44676222	976067.544924882	1033950.89532269	1031177.5051607	707364.982456096	843586.5228045	1029551.29358633	1561329.48016241	769404.556800235	735556.344628618	1259493.25397118	634344.857898056	838234.50913601	668199.795312623	743282.470823969	871992.316955649	915085.357851376	553648.954534774	1056661.96122317	491762.212249123	1432399.19430344	491794.587481236	570331.564406961	744570.147046688	331106.652938808	472594.362736741	2207698.95542398	2700287.10004744	420659.489978754	554526.592296913	515345.890761031	296061.334090329	526357.465039078	606678.443767583	375302.435819561	904342.39415625	541339.886847079	1125797.34741016	352928.00869608	381446.557430657	779523.008954553	742199.941857241	942406.166351093	1590701.78586453	461343.192035384	1710547.60231865	1760046.85921751	923767.910618064	574891.267720969	1251925.80845279	691046.015378403	2098752.68889151	1103918.34320813	1025375.59715089	1854073.26968083	1012337.59946657	1653995.87792437	637659.990582924	1044685.83936036	938729.204347276	1143617.27438253	959950.415820604	1306727.68410566	1306409.88226688	783589.085319603	587726.0161142	1597835.57106119	1486909.82459547	1276155.21622969	910152.723287715	1315598.89660575	958268.261925989	919246.503367727	856414.045004768	1224678.87284224	859652.752891427	596536.818754376	703616.911854327	1339026.83090344	917523.955977037	579556.756895084	714535.926282474	695482.953831805	497713.701508327	547132.82366492	647263.293023075	994184.67205873	711272.709867475	556019.942708524	664054.21263385	969628.143485375	640362.815216333	1024420.43691161	826671.589438927	475091.153817221	507844.56144	1218997.44547381	975734.529006753	984732.027576821	1363304.69727315	740467.280378354	902700.490489804	922156.98005648
UNINTEGRATED	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.4061676434	0	0	0	0	0	0	0	0	0	0	1944.4084129793	0	0	0	0	0	0	0	889.9715850011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.5576690453	0	0	0	0	0	0	0	0	0	0	1099.6873447414	0	139348.952391418	0	9302.3675139445	0	446.446407692	0	0	1886.1328690691	0	0	0	0	0	0	0	0	181.3979938475	0	0	0	0	0	0	0	1829.18707593	0	0	0	0	0	0	0	434.4804510774	0	0	0	681.6737533509	0	0	0	130.1608322035	0	0	226.3976982951	0	0	0	0	0	0	0	0	899.451783699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6636035747	0	4.6669970435	6.1715017442	0	0	0	0	0	0	0
ko00010	k__Bacteria	418.6143902868	1128.9348048369	507.0632175996	841.9307258405	1153.4947665405	1529.0631620779	895.1192505092	1018.6709216634	494.2862033381	1161.6330700133	1151.1908439975	1468.4219818448	771.7991567306	246.5014566512	398.8189337443	458.7622795374	944.9178902594	1282.6805824368	482.8792812512	1674.9350390266	347.1447786563	2966.6484453789	94.7637268407	1122.8767930883	511.7048746113	1320.2021792768	1094.7353103791	128.7427481446	143.0099914158	132.5531411495	724.1985412399	431.2249735975	612.8759854924	400.8991433429	352.4817706921	989.8635805582	1304.2906094713	500.0065032312	574.0024380387	491.2917157001	851.1073384022	557.3858011883	250.9487023204	984.0462932953	2333.0865318717	1283.2156220941	177.7010651888	774.1737808387	904.2963970268	1385.5419972768	526.6184336881	1445.8060673287	303.7723471874	346.9603682119	2147.0043196141	414.3148033836	978.9758668976	659.625576536	1320.08515703	810.4062241097	1865.1499490949	961.150858571	1139.0199934984	540.2183037629	1022.9475350435	277.5985396606	437.0325134449	888.8172546893	1570.9875596741	1050.9713814139	1241.8089144373	1009.4705666947	930.0811408392	902.8696561148	493.0740436631	591.2235092432	917.6867369043	1047.0854385324	335.7011779258	3369.4268822399	673.5558890601	656.6796613346	916.7774979096	668.1245423988	670.0655280724	753.2494530645	592.6096614848	464.9120643751	1251.1912346567	2370.4533503032	1393.7762459995	1700.8885294275	284.7685077532	1196.8700823279	966.4171699915	780.649253657	455.1476564608	1446.1901369999	191.3467632149	659.8992174807	300.3818218633	463.2293225734	527.2760144329	372.2044934203	313.4181462229	1433.4954069554	1664.5667517575	285.9722842808	449.039022072	362.6715861994	190.3140139285	259.3146859567	255.3777545417	238.9108210507	1037.6724428837	301.1032436111	1065.1057453359	176.3126306663	334.2868494775	263.2011367787	170.7616775606	549.4022635909	1481.7819472735	169.8253247475	1365.7141402897	1814.6948883821	1349.3689749137	284.6601429653	2855.5151693025	409.8586464365	618.8641286487	722.6521616871	820.0331320117	572.4834989717	888.6806836157	1306.6079239749	528.6427617135	630.1791497687	975.0730665945	2107.9084999738	746.4842860429	1484.6353487007	1280.0847934686	659.0558736892	530.9168285679	1413.5579002189	1611.8785222841	1520.1298749858	797.7994456189	590.1444660379	341.8542731861	771.2203957024	1080.518306774	600.232839874	469.8155832282	486.8351790217	317.3540648031	1241.2599363349	321.0629971372	247.6627678566	420.6720537879	186.9036268608	148.6801029662	167.885480946	304.8336791135	609.1227297736	280.1146934	278.0647659263	374.90816487	1010.0589695576	362.9800143496	1048.0965171938	919.7871012553	82.9524244862	45.8037460635	1980.4283643578	1550.9904147764	1809.2406392434	2503.2970147718	1186.1195060001	672.5433782316	1108.2537622624
ko00010	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0506166952	0	0	0	0	0	0	0	1.5162574874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609.4982637539	0	31.3857715349	0	0.6332932444	0	0	12.9804119403	0	0	0	0	0	0	0	0	0.393936944	0	0	0	0	0	0	0	6.1553845073	0	0	0	0	0	0	0	1.244032449	0	0	0	1.1950667507	0	0	0	0.293689925	0	0	0	0	0	0	0	0	0	0	0	1.8282269951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00020	k__Bacteria	41.6906360673	21.8111542612	28.7256829984	19.7673000671	22.4158695629	19.612347985	75.5408671641	42.9001534692	0	60.830214511	57.3528603274	359.8177968825	143.9736091667	87.6483594352	47.9184765306	34.1118076888	47.3729334622	88.1142269963	100.2256042915	18.2848132746	49.7407529965	528.6461869925	0	0	0	0	0	0	0	0	55.8239284049	68.2448219177	91.1230272494	161.9929438206	117.9574008023	0	0	20.7690459853	108.475858777	102.2084316259	32.1334380634	79.4119320744	121.3206495548	338.7781169157	130.3014437949	226.6240260455	132.6000930096	76.469155856	58.4413315626	124.5849371056	219.2023394335	162.8608662196	116.3462428687	236.3616571874	176.1426711846	167.186493636	243.8527551712	31.6634777981	503.5052815558	242.3885640771	114.1692052644	290.4748664664	546.2073685217	24.3666314994	302.7911144871	19.7424566413	104.9169954659	352.7775073212	37.9184719536	42.4664247476	38.0761808325	36.5905768961	43.9395331194	48.8661348749	68.3365250635	35.3642742684	236.5306179153	240.444663932	82.5044903773	0	148.8568207025	156.5471560349	129.2774189525	76.8129697483	98.5709715469	153.6235846363	593.0173664279	72.0906597981	12.2008445496	0	117.2604940895	0	0	14.3595217195	3.8635842664	13.9854281793	291.0386390327	3.2823875687	65.7132261914	806.0611668253	108.1230048861	236.4018813676	0	1.4323382561	105.1945055107	858.6648270477	1004.9773403136	144.8306231492	0	1.1455277405	0	104.8111308077	102.9544094708	59.0758926027	27.9151108948	89.153714628	69.1927642827	64.2237329467	77.1495099026	87.5518590166	48.6130631309	220.0920901877	123.8930595456	6.7781049846	139.1539136706	147.0469846612	106.580192482	61.0015582069	54.7442428609	35.5587660541	476.2891881786	352.4950855152	99.3466652854	635.7635784116	50.5167597806	301.9983062815	76.0644322381	149.30319036	0	242.4293943031	53.0454696341	0	52.6465028289	64.2866748974	27.7313896904	35.3696646051	471.0688767527	694.3459972103	76.5091473457	388.5256732538	98.10280924	59.0516146399	50.0671580519	242.8688472512	191.5346776593	37.1126792809	44.2021580532	9.1009040619	28.0338180856	163.0144340076	77.284751513	56.3748371672	59.1866183038	40.6730249782	64.305729596	113.2890272453	113.4229003295	78.4400648448	59.8486885883	116.5549697443	48.8179580267	269.893698131	235.6647637491	113.6039744109	67.3523810767	142.5120629663	175.0576412648	80.5751254673	146.9698437669	173.5012378722	176.6296794888	219.1216987129
ko00020	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.507111561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5562055609	0	105.5596056194	0	29.0781105452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3316800419	0	0	0	0	0	0	0	0.6660131186	0	0	0	0	0	0	0	0	0	0	4.1152263374	0	0	0	0	0	0	0	0	0.9175422831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00030	k__Bacteria	259.1173947658	714.7209463664	585.8366977587	621.1349962722	1090.7804501613	157.0465478373	479.0789793902	743.4651794452	2452.6076781113	964.5603544047	1260.3218258547	1272.0234188042	1021.2940635309	356.3648273318	383.2752529901	638.6241421836	1104.9508043352	1401.0520197526	421.2471973717	2433.06389313	443.1071792542	1961.1305132029	194.806641751	947.0728362394	825.6023583064	2493.9639819163	2080.9405346535	349.4814562363	287.5584886977	354.2861187151	671.8811085971	577.2912578145	628.9625953087	859.4466014813	670.2102451058	1647.4763124144	1369.3969620153	483.1932136771	398.3059938195	522.8562577682	449.3970257106	640.7594553146	364.7041001668	627.5667225658	732.6984508919	1181.6708395905	307.0027822606	938.0399930469	1373.9397937141	1197.0959088173	921.8818604578	1724.1558550365	336.2463593386	624.4064753163	2434.531306252	578.4992982514	1029.7419709233	785.0454779507	1498.8845515	839.0307809035	1884.8675806425	1374.1079830363	1008.2794612313	641.9851112197	969.7934959625	400.3465256867	520.0037208897	1082.1628701919	1991.3654093824	1326.9048439298	1373.59708878	1202.7667081175	1126.6192369164	1130.9090001605	415.2468859019	283.8364330431	1128.3489388883	1452.5962541771	443.2041435031	5364.72994175	740.976935329	864.8687908165	602.4898500659	466.2195091783	597.4654465544	814.6126467187	861.0379352013	624.0853532874	1874.7972079483	2880.8254356203	545.9927562464	1869.808673259	0	1559.6679995062	1486.8238389867	1018.4681986277	1086.5998613624	1872.5349747423	550.0766920844	1066.0461212097	735.925663298	1276.8456554285	1234.3517796769	384.1387521661	357.7223428143	2161.621835779	2564.7330201886	707.8183674478	860.3641935901	341.3389549313	438.6808876864	437.1729533276	469.245796531	224.2378992673	1971.4281007944	438.9965480112	889.5447325894	138.6701729458	271.0176798509	403.1849749752	372.1872393006	821.320925801	1633.6392509989	149.4446978644	1649.272468727	2338.7256719362	1573.4792212378	445.0412636971	1172.7110689117	979.2338823075	860.6008273972	1019.6748758944	1295.6454714981	832.7845918354	1373.7643926894	1539.4833545531	786.9059935332	735.1850837352	1651.191198468	1668.1571025461	1024.3345667451	1598.1819051376	1540.9246595809	1030.9392821144	616.9692272437	1458.8589544909	2015.7915390682	1745.4773384305	846.860742465	957.2204032095	741.7314465665	899.2441979962	491.9786097318	1008.4940620594	684.3231748659	629.1546564375	288.3947455971	1946.1290645472	456.1310993708	991.2011174403	575.6374749063	347.1138094101	268.9921757207	278.7286095475	626.7412694876	881.9348461421	389.7325926425	397.4661274848	639.5548253247	1174.2054306027	404.6336084613	2249.5544510343	1863.3171865685	98.1336630938	82.3360680209	2061.3136750708	1559.8363381501	1759.2848133451	2478.2772066531	1006.7804747172	813.9661934759	1334.848217731
ko00030	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7877135819	0	0	0	0	0	0	0	1.51807408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4126718679	0	214.7338081586	0	23.3154886899	0	0	0	0	6.2072107104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5222442711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4784125488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
