Pathway	Order	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	o__Acidaminococcales	1186.8476126763	0	3461.7028143167	57.4718935115	460.6293805378	496.600159914	0	617.1799696475	0	0	0	0	0	0	0	1737.5715074103	3504.7315133243	538.5931687305	2374.8931463779	0	273.3849824404	0	0	0	0	0	0	0	0	0	598.1815376134	1686.5383255323	1823.8858036315	837.5017996515	1208.9574409807	0	0	0	0	0	0	9915.4483299605	18899.3006516569	56757.2986307329	0	28252.7579036216	0	0	0	0	6822.7397568427	0	986.2536591143	10651.1871420733	0	8662.7994011656	39135.9976933507	0	79959.877480746	41421.2918001291	7708.5221024128	33784.6112122765	87479.2398081729	0	50969.9996284347	0	0	0	0	0	0	0	0	0	0	0	24430.5572596962	29867.534072058	6846.0895625188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962.5231451973	0	0	2468.1784393254	2763.2395744149	1072.7398327264	0	0	0	0	0	0	0	0	43.7035281693	0	0	0	0	0	0	0	0	0	0	0	0	1872.5347170244	0	0	0	0	0	0	0	3545.8669259442	4858.7053979827	0	0	2518.5408742207	3030.8423511816	0	0	0	0	0	0	0	0	3501.9604328693	3282.2406352091	5967.2638961772	6925.0848106427	6421.3608757408	4920.8959124149	4712.4672343211	4028.2388679897	0	0	6703.4593249054	28280.5194804504	8777.5300639974	6847.0449147036	26371.9210654765	4901.7775189638	17814.2258753736
UNINTEGRATED	o__Actinomycetales	368.0824125379	644.4282414128	796.6122862216	685.6556293998	192.2817164979	291.7088986028	441.2056147412	469.2551434575	1654.7255172912	4023.9216921187	502.2545192789	1423.7108287303	255.0106606403	224.7680306006	362.4651460429	149.6619684082	660.5450485359	2035.6233691094	827.3758884864	5922.1905406162	82.77846511	0	0	348.263794799	0	666.6382425103	376.31596541	56.7735380662	354.7364765966	0	97.8111843222	0	100.9804408905	0	0	0	0	611.853583253	3061.1160357681	1015.2047685023	685.5125873167	2186.2461800031	276.9354586553	228.1651155197	404.7325474897	939.7107280297	0	870.6653788141	937.168563623	1791.4294637469	226.5288160476	277.3154631551	1702.7404813806	1039.7752592212	5869.8922283793	589.1371621798	2700.8593945283	916.2795789863	2169.2104897056	1934.9311216733	9586.4635772223	3622.3348025163	10229.5813862162	418.2930282343	2147.6009787303	25.4350340829	0	0	0	0	33.6342711304	0	86.5980589915	141.9930659965	0	322.4407205754	355.1403463726	852.5068513121	1093.9286015953	714.1083838466	410.6868271308	99.0738362777	762.1057537931	666.029087663	161.7434297649	241.685302682	0	202.6632549345	9246.662133226	3127.1867959156	11417.4303330488	5275.1263043999	0	4087.3929235491	7131.7040254625	0	0	0	0	844.8303110398	0	0	0	1721.5330645988	797.1859253157	215.0309328664	845.4479798085	0	0	744.5754552413	0	620.2010395835	214.6368871225	2262.5660359914	0	1736.0647980752	1475.4091640298	501.5784330838	697.6227218191	696.045210391	65.6337384884	118.1513235308	6027.500193657	485.9882469855	1891.5742619347	1520.8287196126	3969.8256485948	99.3077533016	0	149.5724169819	0	483.2572660292	1380.2894905912	136.6427952524	1746.0996857709	7462.0492469364	1369.8905916044	0	95.9254661499	147.3779927603	375.4386514805	197.4828083029	289.7341048667	206.830761188	474.8392412243	1450.9349654474	432.6069167708	141.9097647928	156.8666149002	176.7017380847	0	426.6820867842	3632.5889109028	547.365401701	0	68.6452050706	1444.4177221732	0	0	0	93.49623254	0	231.5066239102	0	0	254.7325056569	0	578.6486134267	520.050515092	1577.7756496031	704.607525296	0	251.3340961685	520.9511380962	391.6012627451	189.8509591951	137.2611939247	83.9705193946	0	258.0102793559	365.7019861849	669.3475890432
UNINTEGRATED	o__Bacillales	0	0	0	0	0	0	0	0	0	0	171.458085295	415.0691477673	0	0	111.8408533915	0	129.418555421	1001.8651676646	0	841.8756956511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138.177614777	0	0	0	0	141.517015427	0	83.6558785893	40.1543437	0	29.8804056469	0	0	191.9781669104	0	0	0	188.6723628298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.511672576	59.137502217	0	455.0154015465	0	36.5657512025	306.8049417334	0	0	0	0	12.6926719891	27.2624667898	0	0	23.7393388461	0	0	0	0	0	0	0	0	0	0	0	31.6969738738	0	0	0	0	0	0	0	603.3164997903	0	0	0	0	0	0	0	0	117.78330516	0	72.2512457006	0	52.7985279689	0	0	0	0	0	0	0	0	0	23.83263264	96.2853484921	0	9.0034839632	0	0	0	0	0	0	15.9306407195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	o__Bacteroidales	18453.747878941	6892.4867436631	217519.574056635	3330.0502846337	6933.5937580704	11237.8501103845	4437.9472296103	24109.5290372069	0	0	531.0004698516	0	111.9220491293	370.8980629574	25.8442434006	100007.529623212	161875.318631425	12162.6218777051	9369.1644719526	0	10357.6195135893	43473.6483577091	173442.301494557	999.3457269204	0	41169.0403769297	28445.9834687436	66433.9601833719	54965.7004585511	244525.148380355	149336.182132127	218685.089560452	134946.206909852	727509.375446657	525120.444003657	0	0	0	24608.529195685	2480.4210899005	192354.029745239	38227.1700230975	161994.584231188	145144.184699333	56389.2455776274	4945.373175227	2942.8324465684	11338.7592347453	37.7568451795	0	598656.800025641	4559.2717501247	86058.1433686079	364646.867324636	0	204118.624432271	29147.386503323	0	209454.001203531	7212.6126516871	0	62289.4086999438	65118.2182144757	231.1018445705	50792.6720250566	123944.888118408	96479.9043744505	141186.959466584	43630.3061889922	119957.134571778	283219.269153976	211789.950589002	283202.735349819	228198.534908518	31461.4263137765	15420.4114663984	2063.8681762489	80236.667117603	137194.328204354	0	343836.010160133	449226.367674763	247282.760193196	89227.841150649	291090.816374329	504371.535334272	193856.976212283	170356.061734598	0	0	0	0	0	0	0	0	93217.0798535	0	57297.1550762608	251485.538615615	171181.037738656	28738.840356472	339602.49719173	0	20903.9352471436	0	984.800365577	6695.2043615833	326276.212590791	0	594.316125692	43098.5086520296	76021.822989484	21658.5796204922	131487.266536218	48496.4033701614	218128.62851357	11077.7897268547	10063.6312267644	186827.384315256	96518.7381613809	401629.340449089	0	10027.5250074041	0	0	0	115541.297047099	54.956786225	292833.270545269	16306.3950671204	21151.9502876295	90965.9974549098	0	92403.0145742765	0	4231.329521783	565237.765624716	281.2591754272	0	0	0	0	406661.647640048	71224.4967858527	0	0	0	343533.520808936	143212.697578823	420719.370181774	406684.852489796	82015.689234011	141340.949059786	604657.548943202	140065.667730237	49241.5239511089	25378.8063008985	22868.8410527848	4055.4929483546	11565.037606267	6970.3954513321	102978.265052545	148557.072244648	1326.1402139427	306558.415131196	155155.171693483	125163.630597799	190288.315214442	78483.0930762667	170445.757391031	9078.0071724657	5799.2846517415	5296.5668224431	3414.2460944954	22793.4721352512	84456.7808676208	3169.1871476108	9939.0165797475	67586.5665435027	385033.459005806	306019.427183759
UNINTEGRATED	o__Bifidobacteriales	16046.6204116007	85144.6799361472	32666.1632385503	29975.825115821	142616.132960138	9640.9632140193	7133.6727988181	140157.219730511	0	194035.179162179	243486.809428064	145057.440916936	107349.200438423	10956.7486591177	9192.6684832669	5817.0569022063	359984.151452503	327801.373507257	20281.2943735521	605236.563381667	9619.0682066935	157704.698890027	0	2811.5413964679	230.6627833734	432314.809800407	328603.145297047	2685.2580354322	3498.2122929121	53.648051691	0	0	0	0	0	0	0	0	60.4434693585	2248.5893222685	160.430923857	311.7048258654	1068.4189302312	1582.4857751892	110093.801094291	1718.4491649896	0	201576.778151285	620586.013667723	844479.735090681	809.9182365548	546710.977278414	13618.8032089013	11104.683441944	838404.478729669	30172.1249661282	7688.629761087	295398.857326012	22122.4120268537	6181.4711624932	1589.3152857136	336983.27910144	51566.1999581308	240929.467957063	5011.9901319987	105695.582081175	107386.246570218	305341.260563879	850642.594313106	479154.564651348	11697.6977157157	355606.731164863	648.0660616975	1144.8827993352	118813.356064595	80299.820068037	12416.7050569732	8165.4868796817	6802.2039345801	0	64517.2007604337	15432.3321278677	21569.7911329099	30031.734477974	38482.3608884574	40366.0175941387	62611.2745072782	64378.2541133998	0	0	53442.2457470212	0	19.6531397608	0	0	9067.4889222333	3561.3293230125	2423.2607929698	7519.3760428172	3977.4849133055	4708.0134470626	36804.3649827906	15776.4218124126	0	1554.8036127561	318002.119237248	270635.175490854	33687.415610462	48243.4464730666	0	52449.9487015589	0	0	711.0891131621	0	1102.4228528412	26001.751827147	1266.2748404981	707.6812080702	3052.0860790329	4434.4938307809	19555.9110236211	258323.166297052	24485.0018936799	164267.789809599	457180.752872542	496545.181178725	4638.9477505941	0	152527.876741727	0	126822.111940666	34072.9608380334	0	73206.9320145683	0	64790.9898948326	24634.4201748566	0	0	807509.519179998	0	686736.844300293	32501.7490431996	3958.839402794	827225.274533429	707.605242271	0	271199.068060977	21318.6563977167	208771.458203425	39879.2453524543	2249.9483659183	32075.7262965967	7513.4356626741	27200.7928558268	6151.693705449	0	0	0	255343.773155039	0	0	0	0	18429.5415683368	5990.4633720967	5644.5758506045	48166.6898365466	367592.642537534	10859.1849523943	783492.38958707	683523.657960109	0	19588.0917456062	777196.050336886	439357.355073354	358536.161262888	1054555.18134252	227975.372244319	125698.372959591	322978.303714532
UNINTEGRATED	o__Burkholderiales	2111.0651590806	338.1075783776	7678.1063783041	1952.7957325126	1482.0807950877	0	240.9268501487	0	81.1472215752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.0589601782	412.9048771646	4253.0923204209	1695.4293393062	0	0	0	0	0	0	0	0	0	837.2042941673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.7011036748	0	359.1614309355	0	0	0	0	2524.8889093239	0	3120.9503427435	816.0790468325	0	0	0	0	0	0	1131.8300285627	2908.1006473554	381.7658900672	142.4569791335	1374.2624636158	2103.7483161085	0	279.3595737871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567.30913916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60.9456741811	439.3865984189	0	26.3870026045	0	0	0	2381.0706179818	1469.2497959632	0	0	0	1357.0736121676	3061.8523068483	0	0	0	0	1484.6924206931	280.4431948635	0	1737.7541410096	649.3752699053	844.5199839747	1468.4859123463	444.0614711606	475.2950759931	2974.3511938382	910.3003959235	0	0	761.9470061039	884.6303128375	254.7745737574	0	791.9230910905	0	0	0	0	0	242.7654441628	0	0	0	0	508.3541854449	255.3838412519	0	0	66.6285084289	0
UNINTEGRATED	o__Campylobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	323.4055001305	1602.4758515898	0	0	0	0	0	0	0	199.4427461887	0	0	0	0	0	0	68.9217593158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	552.7300662683	0	0	80.2903491545	91.9991423781	504.367277049	0	0	0	0	0	0	0	546.3700987748	0	0	0	0	19.1657706002	0	0	0	0	0	0	0	0	0	0	0	0	217.2505066122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	o__Clostridiales	271972.923726657	364742.256316403	319408.358312384	510323.06734784	368666.341058446	162290.395897917	230921.933689253	283620.069718333	0	222.6167604316	193409.460979863	30.0835669312	353026.221395626	316353.203750508	359888.537805402	508114.312540432	59433.4133439703	97011.3906928469	503861.287036883	1332.2809972662	402849.179069324	0	309235.883230829	2376.1365408156	7571.3696065336	9336.1634399497	3706.1171594836	293098.300260719	332551.400570928	312417.221325435	292814.454328459	332966.607996862	445492.867167629	156365.842257059	166169.483578046	0	0	163758.686449585	206424.812697722	74662.9516587217	89066.241745311	290033.094859386	98542.4923981354	116097.61293961	139395.535150829	141130.577931415	314696.144932448	338974.951014426	22.1347253911	42.3762556922	295053.050451449	618.3132723837	237121.11540928	226695.095394504	22475.518294406	307715.453946776	267996.469247744	314532.643926752	406209.53474237	307505.676474483	412682.133018336	251277.259844244	267374.197336241	278037.937248148	403808.814352438	261038.407129458	313872.660601827	61707.9830254037	194458.578223351	223577.625058508	89437.7060911222	170013.822866404	189834.850997147	175726.853882088	241130.111369069	181457.215650424	164038.911693217	510767.410638179	410629.308983053	40434.099818213	458825.623269676	465064.564702236	535231.693913732	426391.395450065	370595.449192167	340664.226282665	202219.004246388	477331.570691796	976.9177010085	15.8224926687	0	106.878908909	0	91.9099656432	588.1863305514	0	334735.566368701	0	123399.123635581	349707.165765084	159655.541125391	339326.823054275	363495.880189515	163691.54283733	305566.157405876	1396.2781737347	21414.2903367336	331359.654047688	161935.58470595	222327.029595859	210627.356572425	378315.021334411	459079.274667176	233141.422445275	4309.5887339868	347069.426532968	534527.900442946	236329.283318184	234167.428181033	459791.041407602	512845.395201529	278414.848095244	2283.1240512166	301651.504933079	2685.7378817096	32657.8935083736	17141.5663372974	380402.937266687	33866.8147433516	198826.454644215	0	157982.807920351	360844.961051428	0	572383.007293504	7203.0014378938	378876.986358233	368616.416274304	0	0	0	0	0	148599.456292831	417827.621288399	0	0	19031.4936467141	73111.0025988268	238418.757467273	260036.55960104	257945.050847931	402324.130166245	223382.348326179	148233.036264686	216081.987213656	531865.689533634	0	344002.72537168	295829.064801644	325964.629546141	227606.288074643	270612.105633956	237666.892423749	473813.253028268	480235.85747322	468405.483959284	339726.340595464	345643.602944898	362762.623343878	369645.825442723	105243.639486742	68049.7952801485	301664.339752554	436754.376076274	112325.395498139	78741.3413931974	2110.8530570758	4405.4817318428	157871.136464258	274833.120426451	50388.6870806719
UNINTEGRATED	o__Coriobacteriales	34616.4218947911	30567.8130291632	39942.1058799397	44604.1695310221	40387.517023386	8754.4199726814	13089.0930002117	29455.5898131903	0	31.6729074487	0	34.9803136604	0	0	0	0	311.656080179	110.4870846501	0	95.8382644868	0	0	0	0	0	0	0	0	0	0	2335.5318984023	3113.3763187444	9996.6359763949	0	0	0	0	0	30325.7377009768	16647.3581838486	5979.975596485	42894.6343312862	13067.8046613922	35488.9722581061	0	41591.7648686084	0	74904.2417874315	623.289023744	2244.4222921541	0	8351.2692199649	0	0	10449.5757800404	0	5237.3419254141	16356.1488901	16791.0438513422	17656.3409416361	263.1614086454	418.4920264305	25834.7507154113	15732.2331174799	24261.6073959552	8564.255714047	2515.035029643	2586.7635946196	688.3448770916	4887.9712170768	0	3809.7661524852	0	0	2656.3778653507	3639.2884712131	0	0	14244.8006848497	0	0	12086.135376857	16031.0263985186	17714.268625336	11957.1168158855	0	2614.8779571436	11780.7571498662	6.8263696457	4.398608168	2428.3952671755	0	0	0	29.3282098086	0	0	0	0	5.1189339892	0	0	0	0	6.3316137945	0	16.8944254761	0	0	4.7043760754	0	12.1892195386	0	38.7489933164	16.4512818591	48.2005904887	19480.5183018974	0	24.0227432158	32762.1890471417	66709.4546125321	23189.1940926891	17560.9777203434	7350.5600983432	16066.6556412902	13458.5570383572	6371.7932898592	17566.8267051597	0	16272.9682051287	0	7305.3740143828	21699.2118193794	114.5981595993	32736.8982109682	374.5976971011	32349.6098151696	0	0	0	0	0	0	4930.6571676521	31690.5023210558	0	183.544238223	56.1123198262	531.2300084663	5041.626921007	0	11171.911113919	59418.2428621031	5541.2327951945	0	10671.5821897779	18242.536545837	0	0	0	0	0	0	0	0	16418.3366921713	3250.4625655156	11498.457581167	11582.7464550172	29021.1249690606	28999.6584575734	9064.7565833839	11925.7943491691	0	0	54126.6257017759	6144.7541855717	1532.5207658027	1499.6837630674	45917.0996079703	16385.6811967454	329.6454615588
UNINTEGRATED	o__Corynebacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.4964519929	69.5092955415	54.8139223121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.2767670948	26.865996044	0	0	0	0	0	0	0	0	0	0	80.8491952559	27.2906666097	61.4811767158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9169169742	0	24.442338824	0	27.5832049375	0	0	0	0	0	0	0
