Pathway	Phylum	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	p__Actinobacteria	57212.5659977497	120940.955954129	80493.3165353035	83029.7507018561	188281.619050385	22559.6303761887	25643.3449906763	178492.210807176	1715.7163887604	198090.773761747	258092.600863151	146889.200757055	125306.385827437	26427.9600059981	13212.3575610093	10735.8994486143	366365.711076408	330965.313852898	35871.934315412	612586.19845306	25551.2955089025	158004.233104514	27.4450869065	7707.0471046361	2585.8361166995	436820.863897026	331184.532158968	2742.0315734984	3852.9487695087	53.648051691	7264.7418713407	7163.5114043376	17158.7094510018	38941.6493755698	24537.4763396827	0	1150.8623262277	3093.6504525779	69351.9668885345	23031.8573867498	9871.9862605945	59885.7186569725	16486.4463965163	43034.8193559963	122137.365596034	48989.6272838339	46719.7755286476	296872.403822402	625340.001748709	850072.444013324	21097.15177752	556273.012813868	33983.4451323546	20495.9040780015	861247.414745826	41833.7512185918	16560.251300056	323410.40850701	43368.4340358003	26194.7373755716	13301.9759617304	351275.041113465	91916.7982054178	261798.940690317	34027.0551324949	118414.804208038	112990.072764903	309257.985476709	862750.604352221	488908.68347168	13754.3258019962	364030.617601497	3022.8791413636	2521.5391249991	129605.639729539	94011.0413783914	16361.0061184662	31153.8954502271	29212.1293498452	1612.6124934695	73034.7958716551	34079.0344272706	49700.0078003499	57606.7661469018	58145.2158185533	45608.7585134846	69491.8556352815	86810.8543568131	18127.0033828586	10244.1695689067	69898.1886714577	10613.1100143409	19.6531397608	9044.7633217405	8566.2646427995	9067.4889222333	3967.7513590832	2423.2607929698	7558.4806355939	22159.2219141454	6385.0297262283	37672.156454591	15847.5168144232	10691.0109026992	26153.1153846988	318395.658255119	272934.038405467	33742.5345370022	48243.4464730666	15910.4527648442	52449.9487015589	23175.7843156406	12349.1954061451	25576.3669412438	16.4512818591	19922.8158338852	53757.4810704527	18698.9036568331	14522.1229718127	48606.0398956747	80425.0766242319	49331.5897752274	286034.759759816	35092.9341806292	184153.799202722	473345.515555858	510756.528122287	22540.2501323769	0	169580.629108394	872.3392483308	135603.755052823	62886.0465179836	2069.9092805694	114760.062424066	9871.1012164768	105968.870542671	29810.4105069631	160.2141944765	683.6607496343	808605.336616265	735.4817113617	687332.199909548	40637.1937347036	38393.3139568957	831564.022835211	3231.0121220873	1307.5524757112	275353.237802979	26792.0581800112	213166.888706963	54117.4918861	71905.0325400448	38973.819113373	13693.4002350096	40736.5155386819	27910.1603360052	0	0	0	267543.010648517	0	231.5066239102	465.7541013974	0	58304.7616025684	44284.7228374519	22398.492824753	67907.3904977544	411479.115184309	47829.2920572175	795951.828352075	698376.6508141	22288.7072720482	38849.0963328591	838492.43675534	448128.187990654	360396.359708368	1056054.86510559	281561.625655188	161597.789637002	327697.028311499
UNINTEGRATED	p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83.4061676434	0	0	0	0	0	0	0	0	0	0	1944.4084129793	0	0	0	0	0	0	0	889.9715850011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.5576690453	0	0	0	0	0	0	0	0	0	0	1099.6873447414	0	139348.952391418	0	9302.3675139445	0	446.446407692	0	0	1886.1328690691	0	0	0	0	0	0	0	0	181.3979938475	0	0	0	0	0	0	0	1829.18707593	0	0	0	0	0	0	0	434.4804510774	0	0	0	681.6737533509	0	0	0	130.1608322035	0	0	226.3976982951	0	0	0	0	0	0	0	0	899.451783699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Bacteroidetes	18453.747878941	6892.4867436631	217519.574056635	3330.0502846337	6933.5937580704	11237.8501103845	4437.9472296103	24109.5290372069	0	0	531.0004698516	0	111.9220491293	370.8980629574	25.8442434006	100007.529623212	161875.318631425	12162.6218777051	9369.1644719526	0	10357.6195135893	43473.6483577091	173442.301494557	999.3457269204	0	41169.0403769297	28445.9834687436	66433.9601833719	54965.7004585511	244525.148380355	149336.182132127	218685.089560452	134946.206909852	727509.375446657	525120.444003657	0	0	0	24608.529195685	2480.4210899005	192354.029745239	38227.1700230975	161994.584231188	145144.184699333	56389.2455776274	4945.373175227	2942.8324465684	11338.7592347453	37.7568451795	0	598656.800025641	4559.2717501247	86058.1433686079	364646.867324636	0	204118.624432271	29147.386503323	0	209454.001203531	7212.6126516871	0	62289.4086999438	65118.2182144757	231.1018445705	50792.6720250566	123944.888118408	96479.9043744505	141186.959466584	43630.3061889922	119957.134571778	283219.269153976	211789.950589002	283202.735349819	228198.534908518	31461.4263137765	15420.4114663984	2063.8681762489	80236.667117603	137194.328204354	0	343836.010160133	449226.367674763	247282.760193196	89227.841150649	291090.816374329	504371.535334272	193856.976212283	170356.061734598	0	0	0	0	0	0	0	0	93217.0798535	0	57297.1550762608	251485.538615615	171181.037738656	28738.840356472	339602.49719173	0	20903.9352471436	0	984.800365577	6695.2043615833	326276.212590791	0	594.316125692	43098.5086520296	76021.822989484	21658.5796204922	131487.266536218	48496.4033701614	218128.62851357	11077.7897268547	10063.6312267644	186827.384315256	96518.7381613809	401629.340449089	0	10027.5250074041	0	0	0	115541.297047099	54.956786225	292833.270545269	16306.3950671204	21151.9502876295	90965.9974549098	0	92403.0145742765	0	4231.329521783	565237.765624716	281.2591754272	0	0	0	0	406661.647640048	71224.4967858527	0	0	0	343533.520808936	143212.697578823	420719.370181774	406684.852489796	82015.689234011	141340.949059786	604657.548943202	140065.667730237	49241.5239511089	25378.8063008985	22868.8410527848	4055.4929483546	11565.037606267	6970.3954513321	102978.265052545	148557.072244648	1326.1402139427	306558.415131196	155155.171693483	125163.630597799	190288.315214442	78483.0930762667	170445.757391031	9078.0071724657	5799.2846517415	5296.5668224431	3414.2460944954	22793.4721352512	84456.7808676208	3169.1871476108	9939.0165797475	67586.5665435027	385033.459005806	306019.427183759
UNINTEGRATED	p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.140757756	0	1394.9993649032	2302.9005911462	0	0	0	0	0	0	0
UNINTEGRATED	p__Firmicutes	314364.649008134	633417.194560816	349458.015818473	689072.032013156	595037.304955803	582680.8554364	399726.281449163	474768.574903092	46764.2091239498	303207.296918777	388752.477016215	266360.268025875	539288.726390592	358667.323237855	429836.905555989	525484.206653349	116088.038431201	218771.511365909	567289.001495309	242873.043584152	416655.887442996	967696.45598032	331081.382274201	1000173.4872088	616229.284777634	438861.905783371	357129.88272545	342760.787830183	401530.32238095	371844.221056704	488047.040191977	397903.89100168	543548.369134851	172215.713362115	186869.280369359	1476.7118790967	922623.680898242	530288.033102509	316094.550010352	152048.002719843	266041.971607492	330036.772443594	129320.513712727	390862.498883703	803056.626937047	226612.334406866	391639.800780355	378055.955818498	121810.059306443	87102.2486717712	329485.704973095	115534.09275142	318053.396580757	294105.303501366	538969.9954426	448823.266805869	611971.288689174	400623.142617491	927189.105738134	636405.118708919	993939.261792217	398036.105158716	697610.98658547	345321.520036586	766865.420859269	277927.016366159	337696.241240954	100871.208445098	279997.940947489	286990.370596714	473089.755495738	262811.569514645	426247.139047393	431661.969277755	313351.99369667	325153.145172022	528857.377093518	849065.795354495	463022.417323131	1040730.09762581	557193.005271667	544302.523016906	729436.356863864	558328.403703353	483521.499364441	465748.192950449	222107.580349516	511871.105450344	120005.30801774	278504.14389229	564446.669226598	527068.301367983	668180.142172862	410257.219741481	491274.407025382	600111.039633047	441848.65157846	958998.259423934	329670.284390526	360090.108332109	312753.86666653	448170.534485366	387031.328660552	307813.276203269	413155.224612625	61816.1977271993	181835.189299483	360419.685346826	176670.60565305	481552.052158528	242577.114871859	460083.172071407	518307.425371954	328048.350547327	772838.676338173	444381.389313583	850927.190294192	319557.961004671	356860.80323208	488101.903152337	536659.777540325	370466.769586827	221227.697464188	358557.191529337	178256.013484654	154215.77839276	354055.193342446	405351.086302788	822437.527143388	228085.745625965	300873.341185857	227253.60876568	500999.099840223	31381.0534551451	620859.630899078	593731.119003157	416516.648407867	447256.592610703	50511.1623875508	468075.615773642	137575.828817897	254218.768582205	170201.755566151	280727.71709421	460603.879955604	165794.777988648	270879.830645319	278517.409092497	199369.230458145	297314.727094163	305855.586955689	397502.923016573	686629.680606478	305510.849092576	173912.841587584	343931.574097803	612274.095376924	43003.7853094745	424292.251151548	364633.413306556	385107.214080201	276654.232895861	343647.972277681	284054.60634574	533071.142264211	615007.146708659	511757.15829292	384482.752397361	392831.618892787	441901.318624009	414360.849402637	123319.27942913	82073.2112140737	316898.379548292	465201.55430094	209126.045454447	298629.339461665	369460.00037598	166260.115471663	353844.110069085	349427.56904605	276802.880756492
UNINTEGRATED	p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472.6056075355	7569.125331401	67.3958893037	0	0	162.6340350238	0	0	0	0	0	0	0	0	0	0	0	0	254.9477208692	378.2588468418	0	0	0	524.0974752996	418.0235621406	2397.3165573423	0	903.9988938272	688.1590928609	8181.8802678962	167.5379686586	0	0	0	0	131.0332203912	0	164.6602526179	4554.272594263	0	0	0	326.2732066617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.5659533198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.5264742121	0	0	0	0	0	147.5258167221	0	0	0	0	1145.4815810281	0	3187.0331016859	0	4893.9246121901	0	843.8662419495	0	0	0	0	0	0	0	244.710150223	234.8285793461	26697.0877417212	0	17996.0949898681	0	0	0	5075.3917704698	0	126.2991836764	23381.0757695164	2545.2252587181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.3473274239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224.0836247122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Proteobacteria	73460.1071998769	13962.9236526839	18268.8953698196	3585.9397480573	1482.0807950877	0	539034.725280208	0	1070912.22802402	547367.555103502	256184.331176037	375001.619991055	64608.8216215892	7157.1831427016	23366.6947678227	3405.4196766477	58375.4819789278	312115.457717132	0	132520.566846198	53498.5847227756	134079.036482718	199.4427461887	0	0	0	0	0	0	68.9217593158	17962.6578333691	11950.2989946567	66672.8084222687	4402.4957138027	1760.5074904723	2523212.69060188	337290.256298525	12357.8479275071	347978.087372243	675475.862958244	104287.177169127	638309.560151397	73329.1370769892	24600.0327588712	666047.516746121	2305629.43096599	17486.4393791146	112002.980844511	196094.907322369	335247.413729713	15273.1007445885	775251.360339518	7368.1042374326	3216.316258401	90315.8648695877	4126.1639566364	61474.4755378859	22955.2608153956	70807.7480205961	31750.9004543876	0	58.2665840542	110883.232609698	30767.037795173	24756.7919565805	10254.329350186	161752.691824425	635453.260629742	14346.1804080019	54280.0720004578	93424.4258986975	160613.18537344	140905.944634798	257686.566141516	79127.453200195	5325.0820088255	99640.1686776982	111312.703766334	27886.0016997102	241656.73664294	1173.6224331654	6100.8200892866	4184.5831866466	1981.6548772643	10503.5116809321	13653.749046869	1075873.06796533	284.2784637215	597424.03322802	970744.940509979	0	300553.097753686	0	323980.487760748	372151.645287468	305906.829296096	14615.4717437313	95240.4410062625	97176.7261934221	798664.325441575	1474.6533498222	55750.0331105317	2088.8043799832	12602.3658328399	12382.0874922736	1827487.09944166	2244533.07197691	19802.0657333431	3336.3275800062	17883.3858376585	439.9543912195	0	0	19.1387104985	0	28539.2783294498	552.7300662683	3593.3543077205	0	3337.2662948301	11211.4568982067	91030.8800092711	1083417.28050649	0	1348137.78963128	1132485.56526889	57922.9811557827	31311.1084219824	429433.324523181	546.3700987748	1780700.6133902	717850.98680389	369378.971756741	1820622.30694512	181127.858467466	1050334.21723119	106049.217498413	2381.0706179818	886932.702347872	674857.997859254	13769.2503864421	1051773.43381209	448875.926791176	55562.5268506415	15064.8580027433	600476.770237329	1212554.27167784	996095.426082138	65199.6464759338	848279.413752749	530.3210916937	60941.235975258	11790.8464179328	738853.255576506	62313.5703551613	71578.9777629414	14064.8330066127	1247263.16352355	467817.638513986	210867.850640173	50311.4643217532	411858.325484612	50855.9575541909	114055.390973135	112866.010544921	14314.3486163061	75.65704362	23975.0668886112	13026.8880288666	37764.6166007901	7726.9163654478	96071.3219579424	40422.4427590124	130607.500174438	379.6647117058	111969.387530938	110907.955685097	251706.480344862	131050.70011615	36796.3813095127	6641.6728009456	11637.6438047301
UNINTEGRATED	p__Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113.9537192246	248.4984153655	236.9165615773	391.2264403433	186.632588106	514.4746860698	0	5.2553537125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830.1111882611	242.1501144664	573.7971166404	220.316577928	325.4795662449	169.0577412522	0	82.2567947587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2439.467413104	0	0	0	0	0	0	0	4072.7962063008	0	0	0	0	0	0	0	9.1996257361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Verrucomicrobia	76917.176922641	616.9338441366	66783.1463602123	9102.9709836599	545.596314042	17094.2928443919	55121.3517705484	73065.1942026979	0	0	0	0	0	0	5363.4786732648	49937.8167727307	130150.452128587	204543.894147508	97856.3211934122	1059.9570090735	106215.506625816	0	0	0	0	0	0	0	0	0	13740.4837538281	18301.3822930276	29475.1039328707	0	0	0	0	0	65089.0133340785	61141.3654675556	123869.823064958	140212.356945393	58972.3392368507	15973.5040474599	0	6010.1734037344	0	16612.3124230419	0	0	0	0	0	0	1774.6604157869	0	0	0	0	0	0	0	0	0	0	0	9121.2517165353	42052.4157202456	6569.5298102683	0	0	31126.649670386	0	0	4523.5428623342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2431.317465673	0	0	52650.4152964555	17384.8926330969	29907.0600564664	22.0481340319	57665.5413180132	0	0	1033.2079975477	0	0	0	0	2058.0422981073	0	0	0	59.4404735496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36616.1035978343	33612.2650017167	0	0	678.5968010656	0	0
