Feature	Species	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNMAPPED	NA	212887.901023619	283885.047301822	272551.378311011	297391.317469504	271130.764253905	185942.457841684	235112.964112984	268789.393006131	250089.851966347	215806.72567342	241137.385356428	224215.131348254	358837.071115021	260249.240954105	270936.825497831	238215.035167095	245076.75025151	273343.779873759	249492.343333856	283449.854202951	207611.69741934	308914.504281636	226555.724640652	237261.181489856	186025.475637042	294827.292181797	227099.495489154	217652.210196288	246390.011046179	316268.20941196	244976.724025362	255018.571378935	293712.774140965	300256.027468355	257413.03582404	217157.691182415	250573.666503382	206710.461108561	322249.659135876	293686.874651313	251346.969134861	366962.942313292	183016.861106994	281461.919346553	341504.788063671	331167.983173961	228286.501446234	280410.540505579	283638.415831578	326626.335723773	404451.669031541	270308.773399327	186738.484935895	252646.988645107	372336.29367299	284375.182904091	208033.288295884	293025.911714378	385264.590349849	258279.334187649	316057.119209406	308139.276869166	288326.913965984	232254.861098756	290355.987645844	188570.926351972	279838.264728935	238756.614671635	386990.141316982	363219.003706373	287877.14744096	357922.577067344	284482.132044582	270697.386258279	233444.183006975	226603.29761717	204185.473575456	358563.945007884	269023.813748343	384569.76639637	371013.815103637	367486.801504779	419704.782833803	278880.931168292	323207.26404721	344768.241885724	340076.301025053	308036.372386091	243065.82213826	330668.896935541	721523.977813069	219131.388457803	184096.87043068	205861.520484798	264763.082923431	253690.456102739	277097.233609118	300468.062212205	163231.790667383	300123.376406014	189720.387093261	279193.956658852	300792.242528728	355878.706618076	240462.770372379	282551.07206347	348414.122300308	287891.962479129	251360.659608617	275108.696233307	249583.367990883	353908.463108714	313511.072794285	303958.49141535	175680.850998639	296107.924584542	326349.684094107	239265.002910448	285573.110693436	249774.838890607	222286.862863878	296405.890271567	262120.369460214	212543.623253332	220237.241113887	275048.444413138	238213.566072099	211571.060866153	277513.565189547	210170.421403136	198817.169519652	226376.871964929	283827.794049438	122626.444967592	349982.12490458	220350.153001689	245338.212629038	318185.467684123	195482.350026997	212219.741527864	246278.297590629	187912.368493054	290100.363330118	251458.982387079	260321.009013849	304699.869733376	214252.164479521	261041.854152686	240320.097396588	229592.697146088	292976.575970014	326591.538448343	370994.887628313	250832.997407853	264301.160736566	219585.753101305	290850.199984503	271565.189082957	241571.353275001	318239.365504176	269260.386829069	198891.285037248	272183.921457043	302572.846133225	251847.028732514	407887.2252399	311358.112754189	231611.884166015	259247.184715702	464013.396545103	280919.986845965	345852.239983466	281759.747243668	214314.480802742	250996.639114816	318758.369373726	270674.618584413	235803.462933103	320160.842361591	244396.750388584	355912.893130857	255867.576482558
UNINTEGRATED	unclassified	116368.631611906	110107.449884989	125860.002661259	131965.394166626	104002.09753287	50994.8692645849	108696.921958775	89609.7255266822	43083.1609507084	37827.2746471634	72191.9458148034	56680.8390766923	196560.479129865	223197.252327357	236701.070199894	76345.4540060393	63226.8845244639	58985.6492526519	166767.533754344	57146.6596806626	65695.3387729543	109709.867157101	99236.356146114	40453.472178023	39855.1323991335	60621.8767176824	21311.6849184432	80227.8095763604	99387.468233836	143972.51507041	146190.312502847	129925.296725056	136752.581012576	72886.1808650069	62430.4722110246	22383.751816535	11269.4098459879	89963.4491000319	229021.647684977	132469.428447259	84442.4125946876	253100.408046805	81873.5431688504	152706.945610186	85933.0192488909	192583.736794031	246801.303487356	167729.433864018	34187.9662313017	135605.956564637	132768.032595923	38073.4372702241	54287.3297934005	89125.8186012375	75043.2844927901	134077.170874615	72474.8658281668	111039.416804276	156717.83859728	105220.043982724	90353.0572477452	112869.088230018	119086.497774063	84682.7821003573	133372.972465431	95134.6433735929	167490.510180591	89531.3666278579	106916.815211545	167677.705549045	111844.757424831	192141.826285064	149761.94562623	104849.235357004	125752.835562265	123780.006075445	64761.6922085837	123880.532406701	160294.001116376	63662.4513555771	157101.23856743	160604.42418513	199134.183371111	126592.040671498	185998.750478895	186632.90799956	176944.734659909	163920.705491207	48883.997454411	49288.0538309408	627115.280712223	55246.6620787459	80895.8613119479	39615.783645172	49177.9649054892	62678.1522316456	105143.447085118	66460.9736391309	45374.2074619519	148180.043335136	58672.2869751547	166699.325440824	159514.481500767	328282.59330664	124944.556483462	98975.6404778369	108035.10107861	213950.46347462	121401.0679648	208348.251847285	200396.758264844	210928.654096042	158298.540127404	205964.651867776	11100.078711002	155087.412583112	130562.594968551	223072.961529877	165908.059219142	116246.740219249	118452.465443601	110048.699724732	120506.561652502	92392.0944622397	53893.3469360834	80502.6093087255	47603.0236162747	112589.437243435	102478.493246392	117366.07369957	62274.6641203294	131854.472902663	146936.841757165	44639.8173552709	219855.899087755	47085.4427107846	167174.651602119	171255.729660943	18372.0396607359	67172.5528921299	24585.1313287222	58747.8150728517	80108.9658781356	113484.229701405	129440.84222449	46850.8042462576	71345.0936310946	86137.6691162688	66014.08886326	74843.0584876532	105601.978741796	237966.621015468	152876.802100386	109610.838041821	170117.017562966	116928.605919383	139701.593886932	48362.7899303444	179652.786586246	399406.434087571	186189.064759162	150861.479092487	172969.713850749	158838.132810431	133989.944460064	214740.198965846	130955.736209911	144015.556139388	155626.76382017	284008.546565444	194254.354471242	107216.35260049	83222.2557776254	131422.284213504	147511.387170659	82776.641372954	86428.8048226304	54075.9203630523	48289.6296373658	98382.2283019517	168144.720278918	49008.5455666478
ko00010	unclassified	13.6764628508	5.548973248	17.6749005179	7.4336730224	5.9516572606	3.3149539437	16.114454319	10.9981870605	0	0	16.1710649076	19.6648783017	19.114911846	25.0861138834	23.1403396352	4.9209216249	6.3439926797	11.139210758	16.6059032292	4.845679484	7.0221807058	71.0272221626	6.0347448281	0.5375627934	0	0	0.0686877371	0	7.774539294	12.8468776934	17.6040679827	18.7183308705	22.7833399082	7.088595267	7.2254680423	0	0.5418886523	7.2479016837	13.2030037779	14.4961873131	7.9231148843	14.7721834231	7.1644191847	9.2283699459	3.9419762457	18.5829042528	20.9344621458	5.553550894	1.4982733203	1.5926597772	6.5202879964	6.038246979	6.2974557367	5.9432966862	8.4137476067	13.9746240729	3.8458186999	15.1434668108	8.3307264009	6.0757415954	5.486806032	10.5285346405	6.146572745	16.3504138912	6.290453938	12.4770866453	14.8062275281	6.1695490622	4.3461075193	6.9510421694	37.431823978	9.2946568923	38.6419748362	16.7124177192	6.3203668813	5.9005132273	5.7444060171	9.9552343059	35.4655662058	1.0312931905	50.5801236411	29.429653012	19.4343780434	14.7989227195	37.3240390919	53.2338404782	8.8572810752	18.5088868684	2.0618689633	1.0322215548	2392.7823373685	1.2621525966	282.0987604741	3.9866939436	0	45.5033887783	7.7343595522	57.7704248879	0	15.4922881436	6.1785645761	11.5892811845	0	45.413645137	9.8701625064	6.9759355727	9.0399691226	5.8706776273	8.6567965496	24.9292051533	13.7209216404	16.0300162247	14.6981154805	11.0050540903	0.1653917071	10.5312617331	19.2972299296	25.9179165835	27.2427901659	23.5572468846	0	10.2300211638	6.4713689614	6.431688359	4.1133564649	2.574449734	5.4227448065	28.1095292544	5.7255257396	38.4699033958	6.015055335	9.2068570035	28.2527069108	6.1554981043	39.6296336825	5.5383607777	52.5991326074	13.0391152047	2.0289558769	13.1628966931	0.7803515853	17.9699299349	9.0161480615	2.8956125697	28.3543571818	4.0768975235	25.1446106887	32.0104868767	14.2693779246	7.4889574708	14.4891120866	6.4967707279	26.3359460362	11.8450795877	14.7632133049	5.8365373116	9.5462504537	5.3556577283	21.5729405205	206.64460426	17.1065959945	22.9248743695	9.0716576191	10.769281406	10.769467258	24.1365307203	12.6668337733	28.5898467722	26.5768559007	36.8881102009	25.8349016428	15.6303683573	10.0762410245	21.1304518722	30.5448787345	4.0775976097	2.5448836696	3.4996197326	2.300037289	7.6319592479	8.4159371648	1.3883701214
ko00020	unclassified	9.2556198311	0	14.0812570644	3.1080931469	2.4802614082	1.0671938706	8.4796784599	6.1540283142	0	0	4.1313573627	43.5718467195	18.2322172388	16.8776184951	20.6111790439	5.8896453873	5.074407422	0	0	3.1323788173	4.7624608823	0	0	0	0	0	0	0	0	0	16.1843694363	12.6536876457	11.9692480596	0	0	0	0	0	0	0	0	0	0	0	3.0381231643	0	18.7048068454	7.8648569156	0	1.6496226772	12.3415052442	0	2.4511146317	14.5921247866	0	18.2709612753	0	0	0	0	0	14.3620314767	0	0	0	0	14.5083405807	0	0	10.0793944629	16.3136525763	0	34.4523773496	19.4254876019	0	0	0	2.0030813646	34.5283542987	0	16.8486176228	19.7088711293	18.2069412348	12.3825815105	38.5448950672	19.5624487469	8.6420545635	15.0770836374	0	0	2557.8893397474	0	254.7375356787	0	0.8066196981	38.6488505055	0	55.4234207114	0	0	0	4.8989564048	0	0	0	10.2566249519	6.1364637617	0	0	0	0	0	0	0	0	7.978067261	0	20.3122570155	0	31.0949478611	46.1202198337	8.7666350151	0	0	0	0	5.0389396465	35.7298978997	0	54.9053178414	0	0	34.6510794997	0	55.1235510954	0	69.5999601097	0	0	0	0	0	10.2508796445	1.1618627567	36.7015807891	0	34.7382821089	0	0	0	0	8.5432877395	35.4187592407	0	26.0176072725	8.5028350603	12.0611175541	0	0	0	0	21.8129810719	0	0	0	18.1292628556	9.9442064042	25.2975137564	20.2807391641	38.4951343271	22.875364246	8.9818298704	6.8222939011	16.7526849853	17.6975997048	0	0	0	0	0	4.8841572782	1.7839365075
ko00030	unclassified	7.7785266562	5.6417750421	9.2068634589	7.8312492889	4.304817741	2.9034766114	9.7971226819	2.0322427886	1.1012759091	4.2805276707	11.710534724	8.4070557598	49.8129574457	44.0513521336	40.568621819	12.4941279573	4.8819410516	7.5412736651	23.1355647461	5.4304462662	9.1729472673	130.5285138765	19.2911860182	0.3573564054	0	0.2964537911	1.0090830719	21.670891604	20.5156389493	48.6722864303	37.8079608614	45.7092899538	47.2026390329	22.9498775866	14.9108623127	0	6.6363516523	13.0102827044	35.576089566	13.7651501137	15.2498944777	35.2394685637	17.2946493417	19.6818457984	4.3091882676	19.4280546081	18.624770779	14.4591210393	0.6772584317	3.1946052255	20.2095758961	2.8078394841	16.0859398097	23.6026513431	8.4538131003	27.8474876385	6.8207311031	24.0620577584	15.6041437467	12.4559816166	33.0270167337	24.5285096922	8.154079998	14.8871176018	15.9407980446	45.5784631482	13.4073208276	8.0679716382	11.670087259	15.3054745911	45.4312934786	29.5154401168	76.2440127986	28.3661910874	22.8498986973	29.5576285647	5.735126155	13.5247135089	33.0375681023	1.3802466714	59.4748472467	80.3344079603	45.1334433416	32.3221634257	49.7701894996	96.8949433611	14.0024118129	39.6131516628	1.5595156921	5.5624855382	3050.2978523987	0	312.4513954073	7.1998166854	0	65.7916014184	29.3500810477	94.684013894	20.1223271163	56.512960863	21.9890770044	40.9771506055	45.0387658693	74.3056886655	26.4182225192	6.3099520057	13.0269570515	30.3742023204	29.5612201796	40.3202819743	73.877320197	42.3077416638	27.0610728054	20.9267847664	0	33.2473150022	73.9562341465	49.0955107177	39.7313436436	49.480500916	68.7379049144	22.1361722392	9.0372740693	3.856592312	2.312348962	2.6770334894	6.5163140771	26.8379710685	9.0218631414	17.5710568731	8.8954231813	21.7364779655	21.0907680842	11.2166737777	22.1392192218	12.617765347	20.2607684476	45.8857588874	2.8827648576	30.9102837926	334.7593400262	38.2933715663	269.4217126636	16.2490990736	22.1593257145	193.2623396559	50.5241558098	78.3554208568	31.4448005445	13.0689329623	46.125300315	32.5123232173	16.4823835524	18.8589168117	38.5362083	19.7173537129	13.9578407098	21.1324105797	50.0361274113	421.2776691278	40.398532406	42.290827663	16.6922387659	15.1656237332	18.1870921279	58.3639063283	44.1309187579	30.0838493912	36.5666792664	48.7777883728	44.66069681	30.1673590841	17.9027698548	20.6790066625	34.8326182214	9.922602659	15.4940968831	24.0581267245	1.3671867234	17.5665308722	12.5826959968	3.4234117909
ko00040	unclassified	3.9947486958	5.5523730644	3.6173524561	1.0591600607	2.8246727711	0.7177472229	4.9175936072	1.1934231011	6.1967363145	2.9823324635	6.7832974608	20.6257516807	15.286359844	9.7700343063	9.0948488379	6.388959062	5.1584159951	6.4093269605	16.6847641439	3.4475653118	8.699594829	18.2025561693	6.3768423841	0.3357705782	0.1543931136	0	0.7349420609	7.4036217868	4.7515920246	14.0547075038	14.9322735655	16.7983482366	15.8972616225	2.7752433967	1.8818719485	0	0	10.6829635646	27.8982923533	10.1692997048	10.6660845401	39.7769324145	15.3816678893	13.6677807597	2.2055174483	12.0360206572	15.25840139	3.1212153444	7.174473306	3.7006061985	8.476097027	3.8881640641	4.9461176122	10.9408803918	1.4956344034	13.5503499426	4.3549598198	2.1601579869	9.4209862956	7.8242573403	33.7772985458	14.2242484159	4.4740692678	7.135075361	10.0876341185	25.1306513578	8.6978121132	11.6137724859	8.3731610118	17.1473446976	20.3073197693	29.9447958683	34.6894030928	14.1447487578	21.319890815	25.2081450273	18.9206460318	23.7673883714	15.8938035738	0	20.5263297845	35.6497594096	16.3811905193	9.0015346587	21.2681806058	42.9541107549	19.4124002915	14.2624096506	0.6174328378	4.8913425285	625.1913778621	3.9916312226	0	0.8029226791	2.1360378354	9.3220900161	7.0769517035	17.5186150398	8.09312346	9.3330400515	6.4124152	11.8435103957	8.4534700194	46.1081215804	18.4972558325	5.509159948	9.2255801267	8.7208391609	8.850628322	12.5474476672	88.3646938176	26.7183873879	16.0663737948	8.4256515348	0	21.3734853481	58.9482309031	24.414064191	20.7316324153	0	9.8546933323	7.37390827	4.9078608392	0.9315126401	1.101477926	4.4927961615	1.7440011095	7.8358300398	1.6408119263	0	3.8163235351	9.2242708133	9.0522144361	10.6520813071	5.9159923545	6.809767882	5.8027014234	17.3527536208	1.8729976889	5.2480299873	0	6.4207036537	68.4953142565	10.8553344386	5.3578981966	44.4692943979	7.1249423527	18.6222489056	15.063930499	5.3215651398	25.1411826915	23.5362688688	9.7798606557	9.3777563532	19.5031881258	18.6237907492	3.8799582049	6.4305101353	26.0122334135	276.9203652176	13.9626032063	30.8579718796	13.1506763768	13.0211522249	13.4406773038	27.9179426495	28.252440083	14.8875600028	14.3024178587	19.5533070937	15.817679377	16.5235552247	6.6119610426	7.9884537178	17.0011023916	3.4476102923	4.832896641	1.9940234302	2.7542399598	9.2219374992	4.3636400165	1.3973495432
ko00051	unclassified	3.0112530225	8.5988036906	11.3113778638	7.3675793154	0	0	7.4424236869	0	0	3.9438130333	26.5909245179	15.0046627869	25.86185401	21.9082851706	18.7449512058	13.9783302512	5.1194578152	6.8257115801	31.509396558	5.278761913	9.6531414357	103.1935524897	7.0421725858	0	0	0	2.9805852276	0	0	0	15.4446069475	17.1414708936	26.5737806132	0	0	0	0.3150207685	11.2118276364	28.076998029	13.2377557276	10.9441759763	24.1936736058	11.664702693	8.687418446	2.8860293008	16.588443493	17.8346194049	8.8441118829	2.078976711	3.2764059224	5.5998509863	6.2385377795	8.0152268906	10.0446363849	16.3515112604	16.2044497642	5.0918204502	28.9168240521	13.7301652722	12.4428199793	11.5603079399	9.8357283282	8.6996277205	9.8238553632	13.0155797503	12.7976150648	20.5039834149	11.5494276683	7.7418232347	14.7789629451	58.6128104985	31.4464519622	49.5374767707	23.3757974663	13.677484484	15.9858057802	2.0983073919	6.284073044	21.478873272	181.0836041709	52.5899624236	24.1106236658	19.3475879998	13.1590292097	19.2988337156	49.0269552108	16.3900131767	14.5142159731	1.4063295246	0.5383443054	1256.4459436219	0	136.4965022464	2.4836512812	0	22.0221414637	4.9331000505	40.0327357718	0.4670006728	39.6427815727	1.2804863692	6.2783823595	5.9113353599	37.4997519862	10.3951346343	6.9030148838	14.5794173258	7.416972825	5.527699096	25.6013034102	12.9166320162	29.0563453325	26.5183161226	11.9888529898	0	13.2900479893	9.735527059	28.9600679927	17.8640349009	0	1.6833953886	5.8546955487	16.6189139137	7.0588034691	13.3852871554	12.1220040771	10.124724993	15.2254125503	11.6467389487	20.2214905799	6.9617436391	24.1950901252	26.6208902972	5.3456197577	41.2873785702	8.1095954151	29.9743101862	13.5953123718	2.6914026988	51.8122827677	0	67.893383568	19.2196732881	5.3009306176	25.7458285379	5.3636521639	89.6380863448	124.8214021269	9.8709921951	15.0374016834	14.1907595117	7.8509967326	13.8196980229	24.2376871282	12.1433720108	9.1633934014	9.5490720264	11.8398905019	8.8079601686	203.4882603704	12.7646790419	26.9747580096	8.2247637553	11.7675188679	12.2272932206	19.7801512569	12.6374916881	19.0555094129	23.0568992789	30.7857350278	19.041884161	8.4213588255	4.7022441859	9.9083734109	18.2369790646	24.6658642786	71.1099071763	109.9276409221	2.7177496836	10.1886736093	7.2809761289	2.7935470146
ko00052	unclassified	12.5564997567	11.8447975539	17.9814294082	13.2338789396	15.2962666873	0	18.0910501502	0	0	3.6106304785	16.7074064751	9.4220126466	13.3147479292	26.3079169846	23.9208468366	7.2415213682	19.4899206527	25.0102007127	14.0957142578	14.6396507975	6.7927027678	112.2868163254	49.7057935096	0	0	0.2353626878	0.4592887169	0	0	32.5960222284	28.9994321805	22.8819906684	21.4698814987	8.9259586424	7.2606322033	0	0	11.5120601001	26.1214427707	10.2231552048	9.4989342121	39.4140660741	11.4663828233	13.9988443089	3.9749576894	26.0764407733	23.2519810654	5.6521330299	1.2712836323	4.5686384049	5.0460134032	18.8515406793	6.905419144	9.1378815639	9.7390236313	9.3125211877	7.6496327493	3.4742998008	25.3549885727	20.5770951179	27.862646336	15.3769066588	10.1450519836	10.1472469342	20.6993739565	36.9516306467	16.1862445819	10.0469505937	16.1381619987	11.9855107624	77.5011373503	12.5362705778	60.9428039093	29.8232388222	15.2944690374	10.0724339138	17.084027783	29.3945903598	32.8643927992	0.2492777781	94.6976709757	32.8133547396	29.4267877518	21.4134027964	31.8526561054	70.883683292	13.9703136975	23.5445024463	0.2912959693	1.9288220344	921.5867936531	2.8452097378	99.8629998398	2.5864078928	1.0661246077	36.7716399376	23.3533889595	46.0083923934	0	26.1207383177	0	47.1222032	22.9971085041	31.9933995295	32.6857213634	9.5865655015	25.8734412779	31.5956860488	0	22.0513872218	72.287051086	41.1619586858	46.7443765688	20.3161618884	0	32.7237994095	50.331422209	51.81714813	35.6987344984	45.0165515538	57.1199231351	14.3438288194	9.8916019384	6.3876664877	8.0788166618	15.328383846	6.5529519011	18.9996917337	33.120014983	19.9430575338	5.3583933333	29.558150476	26.000781348	4.2204028664	23.1146116301	8.4105424942	27.255990496	41.0500815107	0	74.6174164445	0	78.2881003936	78.0152144002	7.1941954781	18.2846216405	55.2498502552	107.589872505	134.1345571533	13.1032198295	31.8524322004	18.7954118435	6.154335599	18.6993181139	19.495130533	13.633183179	0	10.5854370675	4.7437683306	28.4638827845	271.0787811605	22.9758805241	45.2190009225	12.2018726521	15.274672536	12.1035137813	34.959632841	35.7123758509	27.5540000107	30.783258218	46.5314004716	31.7725868575	14.0271071777	9.073324106	14.3226915068	42.2111161507	16.4604628583	23.7957903368	44.9975531663	3.4139374665	24.2910695761	11.4117396294	12.9260830209
ko00053	unclassified	3.8648540164	3.3929067628	2.5155685648	0.7807252816	0.6877281527	1.8794955378	3.1832280297	1.7406852245	34.3339915262	4.618326628	3.9740429619	23.1159277864	6.1400837846	28.5586242082	13.9686315583	14.9787060135	5.5476644859	5.8416221082	11.5097598614	2.5637124395	5.7101410931	17.2221867418	106.3036791225	0	0	0	0	51.9983772859	94.3607148993	44.4708302588	7.7771071797	14.4662932862	23.6402215641	2.0848244503	1.6611843846	0	9.2285485971	0.6852605662	35.9402764565	7.0339652733	6.9715272936	40.1277708326	8.7791715957	8.6946418375	0.318483829	16.4925906145	9.594215924	10.5887569818	8.9209381795	3.977720843	30.063004637	1.8231303627	44.2883462763	9.9515357332	3.0474566509	23.9431151143	9.9062906046	1.7608871842	34.325084523	28.6114403626	25.6165622462	15.9823027199	2.7297837329	3.3797704903	22.56599345	11.8382220266	35.374736574	8.4443368361	4.4619459791	5.7795062809	5.8344764123	5.4760041324	8.6560298039	8.275110643	25.1201461551	9.7000909078	29.2326485422	39.9488620322	4.7528982914	1.6314685124	15.7733452695	24.5137620328	13.9075969109	6.3344978261	12.3319372123	30.9388342063	8.4246172323	10.7636074277	0	0.7001670673	0	0	83.2105022839	20.7527169455	0.1801110143	55.9858058522	0.9639431709	66.4044655235	0	6.8617155377	0	4.3282006886	7.0252790386	20.5996183461	1.3693949584	6.5768910441	5.7742729851	12.9069282555	6.8651630993	20.8354593696	13.6098502696	24.4582317264	18.3506816817	3.71942822	0	5.9639739856	33.405211948	20.5399159343	4.4069440513	2.0949831394	7.489061098	2.5541202387	5.118947135	0	3.3102885885	7.0361743465	2.6507721656	1.9178677374	8.5559375115	0.4813386534	14.4102909468	10.253658674	8.0429132612	16.9811957836	2.4930191202	7.1335010949	3.1250888993	5.4243289948	0.1437441146	36.5040318626	0	49.1217614783	77.2668880821	4.5603210118	12.0754798465	58.1698220431	65.2514273007	90.7992570867	6.9581550856	9.223135576	7.6067699939	3.9022441745	16.6260736364	13.2346450488	10.950946633	3.0188433233	17.0591293243	10.4191252241	1.6958354985	26.2035035943	13.2875288209	30.2886111086	26.1617076918	31.9674109385	6.0555313908	32.9191600202	32.8645023115	3.7610619687	1.5331718525	6.0555163381	6.6304691223	2.9332667573	2.4026644536	30.9030827111	48.4614985401	7.4992482625	1.2721533958	5.3511653343	2.540486812	5.3591523222	3.722920353	2.1257177623
ko00061	unclassified	5.1226552546	2.6737630649	11.5990131351	4.9335844023	3.020126306	0.5398485944	3.4488427525	0.6075608246	0	1.3955109331	5.024107479	43.4536234682	25.6523368787	31.8034973444	31.1321699899	14.9974128482	14.0297795965	10.6948214695	28.1422972207	3.4725299649	9.4880616004	147.2027984807	19.9790528118	0.7407486616	0	0	0	28.7107835411	22.7290283122	75.0867863382	97.155849663	83.6699294505	55.7268293684	27.6519773029	23.1387291492	0	0	29.2450823696	18.1000207717	3.0157917508	11.8301844087	27.6865092726	9.9780734003	11.5049051465	9.9682360172	55.6493638783	14.6006894784	22.5462815515	1.0697167324	2.682052088	4.8723241375	4.4622978678	2.52811997	15.7162592698	16.3716029408	18.3072774946	4.3794741958	2.3609249144	5.4670619031	2.9593638497	6.3753956685	10.7280444148	11.9806711469	10.3722246042	5.1131825582	33.1386281604	12.0625376201	21.8259834119	5.6641486808	27.9361205288	46.8772304029	24.2640549438	108.2990115233	50.4352668928	29.8779799504	76.1571512951	1.6364570864	3.4806030634	31.0138145751	0.8195235234	58.7976996156	64.0494150451	42.9762554531	23.2513154038	42.7933757724	91.2368275819	35.9387439473	37.7249838773	7.447964287	19.0894862359	1344.7524350533	0	133.6900130615	23.1564164218	7.5056799836	19.9668371279	16.459613455	43.3371639986	1.8896028114	179.712333174	6.3733663625	13.8946169677	14.6721960157	35.1916317231	5.5809695448	8.6744378957	17.1371489251	16.1034788053	6.8212304682	35.592119464	25.0218907134	26.0933783869	20.5247216689	11.7009167846	0	17.6743477692	88.1627130077	31.7653421221	38.5701543733	99.7199477858	141.7026327119	18.8600931614	9.301156869	6.208975216	1.9671037056	27.2893547867	9.1303613189	11.8959929119	0.7407004501	8.3408463988	4.6728973866	11.6979575572	15.2442353587	0	33.6023980766	4.1019118004	14.6028990361	9.9938483542	0	1.6931865668	14.2238149912	2.5356513467	18.2938132748	2.2792595977	14.9832878636	39.6320011794	32.1310665283	5.9565615604	19.7255009179	9.6764505561	49.2577256902	11.7498362154	9.3986360707	9.7570965186	7.7168035769	11.5852745195	17.6819989964	3.3520194331	29.7928572304	203.221132537	35.752766521	5.7074240294	7.380356263	5.8642990888	7.8259276405	48.7274317484	22.7947966701	27.8420263384	35.9381272738	23.3791379751	53.3421361626	18.1979779757	12.6222407001	2.402052789	13.0001764379	6.8762913348	5.8170845351	13.4128017782	2.1093740873	44.9154289035	16.9336780705	7.4455670975
