Pathway	Family	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	f__Acidaminococcaceae	0.00109104	0	0.00234784	3.79321e-05	0.00031112	0.000457862	0	0.000420303	0	0	0	0	0	0	0	0.00132015	0.00233082	0.000300503	0.0017075	0	0.000238648	0	0	0	0	0	0	0	0	0	0.000443732	0.00122057	0.00115157	0.000466567	0.000823641	0	0	0	0	0	0	0.00442425	0.0203327	0.0416861	0	0.00848069	0	0	0	0	0.00313441	0	0.000990449	0.00756147	0	0.00550383	0.031470804	0	0.03522207	0.029661162	0.00423885	0.0187891	0.05102868	0	0.030913086	0	0	0	0	0	0	0	0	0	0	0	0.0202965	0.0146522	0.00510746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000501208	0	0	0.00165993	0.00209458	0.000595945	0	0	0	0	0	0	0	0	1.7267e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00127684	0	0	0	0	0	0	0	0.00183264	0.0027477	0	0	0.00203963	0.00216046	0	0	0	0	0	0	0	0	0.00175373	0.00215512	0.00519345	0.00503602	0.0028172	0.00356678	0.00240973	0.00252969	0	0	0.00323015	0.0165884	0.00559454	0.00305508	0.0187836	0.0024833084	0.010812478
UNINTEGRATED	f__Actinomycetaceae	0.0003383699	0.0004196389	0.0005402892	0.0004525417	0.0001298716	0.0002689533	0.0002757626	0.00031956506	0.000909753	0.0025817362	0.00032250122	0.0010248182	0.00014719443	0.0002051366	0.00030337336	0.0001137083	0.00043929535	0.0011357556	0.0005948654	0.0034137547	7.226047e-05	0	0	0.0002125307	0	0.000384916	0.000280428	5.07825e-05	0.0002973244	0	7.25564e-05	0	6.37572e-05	0	0	0	0	0.000546486	0.0018110804	0.00064491094	0.0005114714	0.00097549797	0.0002979394	0.0001675788	0.0001678409	0.0002820745	0	0.0005433664	0.000618153	0.0008689124	0.0001040689	0.00013089647	0.0017099836	0.0007381556	0.0022123422	0.0003743022	0.002171868	0.00051195285	0.0009555292	0.0013855754	0.0052715167	0.0020145414	0.00596715172	0.0003130635	0.0013025108	2.3256e-05	0	0	0	0	1.90975e-05	0	4.98307e-05	8.232536e-05	0	0.00029153187	0.0002950438	0.0004182163	0.000816114	0.0003304044	0.00020435731	4.84057e-05	0.0003491569	0.0004574523	9.27275e-05	0.00012088441	0	0.000126244	0.0072402161	0.00154807	0.0041477511	0.00393145	0	0.003246138	0.004539241	0	0	0	0	0.0003589499	0	0	0	0.001284733	0.000660524	7.523025e-05	0.00024355754	0	0	0.000534462	0	0.0004086564	0.0001382899	0.0017932814	0	0.0012443692	0.000768281	0.0004431106	0.000612183	0.00046811362	4.97515e-05	6.56372e-05	0.0026408895	0.0004376558	0.0008354222	0.000596954	0.0023871148	8.132606e-05	0	0.0001140034	0	0.0002837303	0.0007503903	6.53545e-05	0.00084944616	0.003552197	0.0009913181	0	6.63216e-05	8.92311e-05	0.000238371	0.00011575809	0.00014088154	0.0001410329	0.0003398276	0.0006341539	0.0002194152	7.55705e-05	0.0001024457	9.34684e-05	0	0.0002205258	0.0020543068	0.0002909281	0	5.559211e-05	0.0010296153	0	0	0	6.11043e-05	0	0.000177553	0	0	0.0001275666	0	0.0005036116	0.0003781886	0.000692206	0.000510715	0	0.0001578349	0.0004703591	0.0003147213	9.148207e-05	8.051281e-05	5.35204e-05	0	0.0001837693	0.0001852697	0.0004062655
UNINTEGRATED	f__Aerococcaceae	0	0	0	0	0	0	0	0	5.2057e-06	2.21852e-05	0	0.03436690084	0	0	0	0	0	0	0	7.32304e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61324e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000180776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19553e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.95799e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Akkermansiaceae	0.0707082	0.000401735	0.0452946	0.00600807	0.000368509	0.0157608	0.034452	0.0497577	0	0	0	0	0	0	0.00448908	0.0379411	0.0865566	0.114123	0.0703567	0.000610996	0.0927195	0	0	0	0	0	0	0	0	0	0.0101927	0.013245	0.01861	0	0	0	0	0	0.0385093	0.0388402	0.0924212	0.0625625	0.063445	0.0117319	0	0.00180409	0	0.0103674	0	0	0	0	0	0	0.000668863	0	0	0	0	0	0	0	0	0	0	0	0.00598022	0.0221151	0.00285122	0	0	0.0154039	0	0	0.00368168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126604	0	0	0.0354092	0.013178	0.0166144	9.66017e-06	0.0519305	0	0	0.000621283	0	0	0	0	0.00120832	0	0	0	2.82957e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176439	0.0197158	0	0	0.000483335	0	0
UNINTEGRATED	f__Alcaligenaceae	0	0	0	0	0	0	0	0	4.461399e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Atopobiaceae	0	0	0	0	0	0	0	0	0	2.03213e-05	0	2.51796e-05	0	0	0	0	0.000207267	6.164513e-05	0	5.52444e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56742e-05	0	0	0	0	0	0	0	0	0	4.75429e-06	0	0	0	0	0	8.4392e-06	0	4.57567e-06	0	1.45528e-05	0	0.00014471	0.0002327425	4.04906e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3451e-06	2.17747e-06	0.000882193	0	0	0	1.8667e-05	0	0	0	0	2.17493e-06	0	0	0	0	5.24618e-06	0	4.86696e-06	0	0	3.37684e-06	0	8.03159e-06	0	3.0712e-05	0	3.4549e-05	0.000162029	0	2.10806e-05	0	0	0	4.11237e-06	5.3595e-06	0	0	3.94472e-06	0	0	0	0	5.7121e-05	0	5.48109e-05	0	0.000178321	0	0	0	0	0	0	0	0	0	0	9.30925e-05	2.98812e-05	0.000346933	0	0	0	4.02349e-05	0	0	0	2.43213e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59109e-06	0	0.000200081
UNINTEGRATED	f__Bacillales_unclassified	0	0	0	0	0	0	0	0	0	0	0.000110094	0.000298776	0	0	9.36076e-05	0	8.60699e-05	0.000558981	0	0.000485286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1477e-05	0	0	0	0	6.50139e-05	0	8.40117e-05	2.85063e-05	0	1.89842e-05	0	0	8.45657e-05	0	0	0	0.000110057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.93054e-05	2.92752e-05	0	0.000339114	0	2.90399e-05	0.000195278	0	0	0	0	5.39285e-06	2.53528e-05	0	0	1.7716e-05	0	0	0	0	0	0	0	0	0	0	0	2.27196e-05	0	0	0	0	0	0	0	4.99841e-05	0	0	0	0	0	0	0	0	6.40324e-05	0	3.5149e-05	0	3.82075e-05	0	0	0	0	0	0	0	0	0	1.20878e-05	5.127433e-05	0	4.7625e-06	0	0	0	0	0	0	1.13557e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Bacteroidaceae	0.01631126	0.00448825	0.145558588	0.00219787	0.004683117	0.008410298	0.0017230259	0.0156245	0	0	0	0	0	0	0	0.067560874	0.0877772771	0.0045675744	0.0060304177	0	0.008682559	0.02004625	0.128971235	0.000609858	0	0.0237709	0.0206341	0.05132478	0.041727152	0.134101086	0.096880198	0.140851897	0.075235037	0.3785341847	0.32759288413	0	0	0	0.011912153	0.001281495	0.134996045	0.0123455428	0.1547792746	0.093423232	0.02236218	0.0012621235	0.000843338	0.00399984	0	0	0.2554355751	0.002152036	0.08227813	0.245328508	0	0.121567756	0.023438571	0	0.092263646	0.0051648516	0	0.03114031	0.037984937	0	0.03080554	0.107105	0.059756924	0.071324715	0.018178036	0.058341016	0.043301488	0.099538396	0.084888464	0.069806055	0.023257117	0.013584176	0.0017146246	0.0368819	0.096701988	0	0.11686855764	0.1676175668	0.0918996115	0.048496405	0.1132625708	0.1876433564	0.067866609	0.08139552	0	0	0	0	0	0	0	0	0.064324822	0	0.060283152	0.097122926	0.159189965	0.01962464	0.20652014	0	0.01450023	0	0.000217317	0.004918348	0.260371269	0	0.000603545	0.02430222	0.03963528	0.014306395	0.079264069	0.02878692	0.1001171482	0.008346799	0.007739755	0.1107537138	0.06406056	0.18205523282	0	0.00903026	0	0	0	0.094347446	0	0.19447717	0.0064425471	0.0123096	0.038090969	0	0.030223984	0	0.002531462	0.248325617	0	0	0	0	0	0.249804755	0.037093592	0	0	0	0.201414562	0.075754037	0.184146007	0.102105913	0.042787738	0.07512364	0.3182185102	0.043488062	0.033973842	0	0	0	0.005254443	0	0	0	0	0.147087614	0.0967325165	0.102749007	0.120679516	0.033539233	0.109383889	0.004225813	0.0032128016	0.004517141	0.00255241	0.009772619	0.044076269	0.00201995	0.00443469	0.045882108	0.149642873	0.1534976497
UNINTEGRATED	f__Bacteroidales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.82636e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	f__Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.91702e-05	0	0.0001735	0.000191029	0.000883489	0.000463629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000368405	0	0.000966697	0.000505996	0	0	0	0	0.000506005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000109672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000702724	0.000369295	0.000439015	0.000760584	0.000591303	0.000355627	0	0	0	0	0	0	0	0	0	0	0
