Pathway	Kingdom	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40482e-05	0	0.00125953	0.00185079	0	0	0	0	0	0	0
UNINTEGRATED	k__Bacteria	0.49678506038	0.50520589444	0.49682197524	0.52016877149	0.5351248143	0.5841487724	0.6399994973	0.51105004071	0.61543135589	0.6728215711289	0.58018185214	0.567400666046	0.420967370854	0.3583308691	0.39488763841	0.52427212205	0.55892420278	0.60180874393	0.5107535802	0.57011624142	0.53462306693	0.6009466356	0.4331882297	0.6156772445	0.5620278934	0.5293892488	0.5341247551	0.3684671965	0.3858447456	0.39221167209	0.50171787847	0.47334608157	0.49992848746	0.5255204876	0.50323996025	0.8663772451	0.6919761473	0.4874354396	0.4873700979	0.58115667984	0.52157894978	0.53858894936	0.474655323656	0.4559674196	0.68665847013	0.77815326152	0.3620706996	0.508553390029	0.62218593941	0.617173069886	0.4431641411	0.6851814549	0.4475232263	0.4877270761	0.56244471221	0.4440405351	0.57829978143	0.41754801124	0.5509810196	0.5023792073	0.55387341224	0.45139923972	0.56321542667	0.47758723117	0.531557989	0.4850891829	0.47077288279	0.646228398425	0.523973970708	0.482451573429	0.49028813769	0.50990774151	0.4910558467	0.53344151018	0.454209527552	0.39773998992	0.5374520802	0.525779938301	0.4903830822	0.5940818467	0.48569115735	0.50516938127	0.472431024783	0.485843093936	0.48362783865	0.51495371871	0.621468405181	0.479282563392	0.57594617429	0.62349375987	0.23044642492	0.6247198039	0.5597380101	0.5903017262	0.5550131755	0.5683633443	0.38204805995	0.568745027	0.51874315	0.608596053591	0.45734517478	0.3894572119	0.4527898571	0.2470959462	0.39157745928	0.77238060042	0.77790204437	0.30901992886	0.4425172314	0.36991920884	0.3006584383	0.34682191706	0.3908817428	0.2974599659	0.7063575302	0.38801958431	0.5862285552	0.3117885271	0.33472977743	0.52425627456	0.5625997207	0.52354016691	0.69695030884	0.4154613066	0.75547046448	0.69085045961	0.55547472679	0.47079550206	0.6386743488	0.52671197992	0.8292030289	0.648133685203	0.55744137643	0.88677989863	0.49248431128	0.78735898398	0.46144136351	0.541993119099	0.64902557212	0.6924120361	0.60948616217	0.76596208109	0.63523309711	0.534310618272	0.4206172209	0.69835899047	0.7541511211	0.67958450732	0.5943985827	0.69590112126	0.5775626158	0.475101256119	0.48432034029	0.650924902393	0.5276562864	0.48310365625	0.50155499011	0.65135252059	0.61384457375	0.3777501787	0.4669835105	0.55755362413	0.38171946081	0.39031636681	0.47797382386	0.4978737173	0.46702216315	0.48391684992	0.4829099555	0.42539787934	0.46414950025	0.52383862544	0.51914020319	0.42895355794	0.40814333348	0.58738937126	0.57233280101	0.627639680021	0.6082936188	0.527402297389	0.45732076632	0.55970997519
UNINTEGRATED	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86218e-05	0	0	0	0	0	0	0	0	0	0	0.0015345	0	0	0	0	0	0	0	0.000335427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51042e-05	0	0	0	0	0	0	0	0	0	0	0.000861064	0	0.0506230303	0	0.00779242	0	0.000284158	0	0	0.0010152049	0	0	0	0	0	0	0	0	5.22573e-05	0	0	0	0	0	0	0	0.00142873	0	0	0	0	0	0	0	0.000190363	0	0	0	0.000409901	0	0	0	5.14257e-05	0	0	0.000108283	0	0	0	0	0	0	0	0	0.000437353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39335e-07	0	4.21377e-06	4.9599e-06	0	0	0	0	0	0	0
ko00010	k__Bacteria	0.0003848229497	0.0007351408488	0.0003439074356	0.0005556840193	0.0007790985162	0.0014097861506	0.0005594692446	0.0006937200067	0.0002717542028	0.00074530063809	0.0007391877699	0.0010570030654	0.000445489002	0.0002249716497	0.0003338000424	0.0003485519161	0.0006284181481	0.0007156586993	0.0003471802964	0.0009654905447	0.0003030356329	0.001367960646	8.13283669e-05	0.0006852440938	0.00046474769	0.000762282582	0.000815787554	0.0001151572061	0.0001198648304	8.43302668e-05	0.0005372106054	0.0003120835151	0.000386958787	0.00022333840916	0.0002401396299	0.0003396838066	0.0007156944014	0.000446587713	0.0003396031728	0.0003120937435	0.000635024489	0.0002487042895	0.0002699815304	0.0007227464433	0.000967521388	0.00038518496226	0.0001402396065	0.0004831478163	0.000596469965	0.0006720405385	0.0002419321804	0.00068243872705	0.000305064471	0.0002463134426	0.0008091984424	0.0002632307376	0.0007872333923	0.000368552992	0.0005814926262	0.000580320216	0.0010256295366	0.0005345386812	0.00066441671374	0.0004043157775	0.000620412879	0.0002538162891	0.000286534277	0.0004674229824	0.0006818188543	0.00053365197866	0.000705099335	0.0004995644243	0.0005351924065	0.0005234700358	0.0004013097752	0.0005345487093	0.0007623980574	0.00051367137264	0.0002504465468	0.0015589690456	0.0003351613932	0.0003208416125	0.0004200190126	0.0004588912472	0.0003841484942	0.00037675506695	0.0002358812437	0.0002896061371	0.00097969306005	0.0011734584363	0.0005063344019	0.001267638324	0.0002385448306	0.0009505343762	0.0006151124842	0.0004848640281	0.000314076656	0.0007784071486	0.0002018450647	0.0002803774389	0.0002793403904	0.0003163209597	0.00032064801536	0.000277766005	0.0002596888232	0.0005015197917	0.00047953015515	0.0002100775083	0.0003583367296	0.000260328298	0.0001932692	0.0001708648761	0.000164539119	0.0001893578513	0.0008104970192	0.0002158236086	0.000554625647	0.000155760494	0.0002933456972	0.0001770117282	0.0001294401542	0.0003052124616	0.00064922798355	0.0001529357163	0.0006031733493	0.00071230177914	0.0008113960953	0.0002331166102	0.0014567505645	0.0003123925516	0.00024450902	0.0004242840569	0.0004458072847	0.0002738113753	0.0004323272515	0.0006219903145	0.0003825510063	0.0003269431497	0.0006741527771	0.00127624840627	0.00047395371918	0.0008702455468	0.000622433066	0.0004493942745	0.00037996053182	0.0006178172335	0.00081753498591	0.00080950800035	0.0005210236313	0.0003121633901	0.0002060405726	0.0003985957289	0.00061105611571	0.00031902766649	0.0002883736129	0.00039426221933	0.00022621769707	0.0006037944485	0.000214798472	0.0001614242694	0.000274929465	0.0001498366476	0.0001140295619	0.0001197670778	0.0002251054876	0.0003050400526	0.0001839236918	0.0002420061795	0.0002726386294	0.0004431356914	0.0002630961467	0.0005359458513	0.0005776165764	7.48966282e-05	3.681142821e-05	0.00095429463064	0.0009097590987	0.0011531583813	0.001116946541	0.0008448206388	0.0003407199254	0.0006726632071
ko00010	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1967e-06	0	0	0	0	0	0	0	5.71472e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002214194	0	2.62913e-05	0	4.03083e-07	0	0	6.98666e-06	0	0	0	0	0	0	0	0	1.13486e-07	0	0	0	0	0	0	0	4.8078e-06	0	0	0	0	0	0	0	5.4506e-07	0	0	0	7.18612e-07	0	0	0	1.16035e-07	0	0	0	0	0	0	0	0	0	0	0	8.88964e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00020	k__Bacteria	3.8325265e-05	1.42029912e-05	1.94827356e-05	1.30466496e-05	1.5140208e-05	1.80824494e-05	4.72146698e-05	2.92152276e-05	0	3.9028543e-05	3.68266439e-05	0.0002590049205	8.31027622e-05	7.99930347e-05	4.01063851e-05	2.591702451e-05	3.150538456e-05	4.91624029e-05	7.2060124e-05	1.05399894e-05	4.3420571e-05	0.0002437653439	0	0	0	0	0	0	0	0	4.14102501e-05	4.93897156e-05	5.75334535e-05	9.02452977e-05	8.03622003e-05	0	0	1.8550181e-05	6.4178741e-05	6.492805e-05	2.39752397e-05	3.5433486e-05	0.00013052187	0.000248820385	5.40354472e-05	6.80262129e-05	0.0001046465	4.77230578e-05	3.85476332e-05	6.04284915e-05	0.0001007030469	7.68723725e-05	0.0001168411416	0.0001677974678	6.63875476e-05	0.0001062202976	0.000196091639	1.7691362e-05	0.00022179219424	0.000173570518	6.27806031e-05	0.0001615459505	0.00031861523	1.8236729e-05	0.0001836412915	1.8051103e-05	6.8787357e-05	0.0001855234603	1.6456863e-05	2.1563199e-05	2.1619612e-05	1.810784e-05	2.52839301e-05	2.83318281e-05	5.561867e-05	3.1974266e-05	0.0001965053704	0.000117955438	6.155166e-05	0	7.40711772e-05	7.64861112e-05	5.92280755e-05	5.27578758e-05	5.6510715e-05	7.6838372e-05	0.0002360432423	4.49071823e-05	9.5533607e-06	0	4.25987e-05	0	0	1.1404095e-05	2.459123e-06	8.6864104e-06	0.0002008328402	1.7667309e-06	6.9318639e-05	0.0003424780901	0.000100549078	0.00016143	0	1.068915e-06	8.7161031e-05	0.0003004112006	0.0002895154084	0.00010639377	0	8.222681e-07	0	6.9060997e-05	6.63332328e-05	4.6822824e-05	2.180373e-05	6.39032981e-05	3.60302973e-05	5.6737423e-05	6.77008508e-05	5.88816072e-05	3.6849515e-05	0.0001222689316	5.42824966e-05	6.1040043e-06	6.14578882e-05	5.77186823e-05	6.408823e-05	4.9956025e-05	2.7927908e-05	2.710277734e-05	0.0001881787267	0.00020695711	5.400937e-05	0.0003040773954	2.45755212e-05	0.000143762012	5.5043866e-05	7.7459993e-05	0	0.000146780954	3.3679349e-05	0	2.5599014e-05	4.38355136e-05	1.98464999e-05	1.5458886e-05	0.000238922808	0.0003697573014	4.99662845e-05	0.000205514727	5.91279778e-05	3.0520116e-05	2.8314009e-05	0.00012908634034	0.0001175643786	3.00555773e-05	3.1508376e-05	4.4270157e-06	1.87552594e-05	0.000106251112	5.0509313e-05	4.519445e-05	4.5392934e-05	2.901555e-05	4.748678e-05	5.67335611e-05	7.44735621e-05	6.82681951e-05	4.35228952e-05	5.11353371e-05	3.53843603e-05	0.0001380100879	0.0001479949185	0.000102571555	5.41295246e-05	6.8671239e-05	0.0001026828566	5.13561971e-05	6.55764624e-05	0.000123577323	8.9483087e-05	0.0001329975846
ko00020	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76777e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21852e-06	0	3.834793e-05	0	2.43582e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9455e-06	0	0	0	0	0	0	0	2.91807e-07	0	0	0	0	0	0	0	0	0	0	1.96826e-06	0	0	0	0	0	0	0	0	4.46149e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00030	k__Bacteria	0.0002382009083	0.0004654127022	0.000397334294	0.000409956529	0.000736738815	0.000144795919	0.0002994348116	0.000506303077	0.0013484265798	0.000618859778	0.0008092610492	0.000915630415	0.0005894994878	0.000325239057	0.0003207904667	0.0004852052947	0.0007348484485	0.0007817023788	0.0003028682409	0.001402501364	0.0003868051733	0.000904303457	0.0001671875453	0.00057795807866	0.000749839	0.00144000933	0.001550699683	0.00031260287186	0.000241019471	0.000225396569	0.0004984017227	0.0004177935674	0.000397115553	0.000478792844	0.0004566025943	0.00056535134858	0.0007514210272	0.0004315714	0.000235653834	0.00033214569254	0.0003353015172	0.0002859051151	0.000392364995	0.0004609239591	0.00030384726	0.0003547048008	0.000242282917	0.000585414256	0.0009062450726	0.00058063672276	0.00042351943	0.0008138236555	0.00033767662795	0.0004432774638	0.0009175661243	0.0003675438441	0.000828056315	0.000438628703	0.0006602526579	0.000600817191	0.00103647231757	0.0007642021379	0.0005881530202	0.000480481218	0.0005881752529	0.000366048285	0.0003409331304	0.0005691013751	0.000864265989	0.0006737625099	0.0007799283195	0.0005952218344	0.0006482850309	0.0006556836263	0.000337966731	0.0002566279386	0.000937412272	0.0007126038518	0.0003306478047	0.0024821622135	0.0003687101416	0.0004225590594	0.0002760291369	0.000320215821	0.000342526717	0.0004074471121	0.0003427261192	0.0003887593514	0.001467986449	0.0014261113247	0.000198349489	0.0013935310757	0	0.001238662083	0.000946344424	0.0006325744433	0.0007498128624	0.001007885873	0.000580256862	0.0004529397	0.000684374763	0.000871907947	0.000750635274	0.000286671979	0.00029639765	0.0007562608115	0.00073885162463	0.000519969019	0.000686578589	0.000245015698	0.000445492308	0.000288057176	0.0003023338022	0.000177728271	0.001539831781	0.000314662319	0.000463206646	0.000122505937	0.000237824951	0.0002711558506	0.000282124214	0.00045627262516	0.0007157627711	0.0001345819898	0.00072840903024	0.0009179942877	0.0009461567937	0.0003644574589	0.000598261572	0.000746367167	0.000340017876	0.000598672625	0.0007043722125	0.000398310184	0.0006683117301	0.000732847534	0.0005694426799	0.00038142123	0.00114161151529	0.00100999751677	0.00065036558	0.000936803304	0.000749265704	0.000702972108	0.0004415451715	0.000637616176	0.001022397701	0.00092951127798	0.000553064548	0.000506333291	0.0004470525503	0.000464763328	0.000278224307	0.0005360211134	0.000420038799	0.0005095192955	0.0002055747447	0.0009466694774	0.0003051621423	0.0006460569789	0.000376206967	0.000278273973	0.000206302327	0.000198840877	0.0004628192134	0.0004416604128	0.00025589891	0.0003459238735	0.0004650932577	0.0005151500953	0.0002932874865	0.0011503132377	0.001170142196	8.8603554e-05	6.6171754e-05	0.0009932694324	0.000914947479	0.00112131699662	0.0011057830367	0.000717085159	0.0004123667882	0.000810195612
ko00030	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20003e-06	0	0	0	0	0	0	0	5.72157e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10613e-06	0	7.8009e-05	0	1.95309e-05	0	0	0	0	3.341014e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.75113e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.18869e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
