Pathway	Order	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	o__Acidaminococcales	0.00109104	0	0.00234784	3.79321e-05	0.00031112	0.000457862	0	0.000420303	0	0	0	0	0	0	0	0.00132015	0.00233082	0.000300503	0.0017075	0	0.000238648	0	0	0	0	0	0	0	0	0	0.000443732	0.00122057	0.00115157	0.000466567	0.000823641	0	0	0	0	0	0	0.00442425	0.0203327	0.0416861	0	0.00848069	0	0	0	0	0.00313441	0	0.000990449	0.00756147	0	0.00550383	0.031470804	0	0.03522207	0.029661162	0.00423885	0.0187891	0.05102868	0	0.030913086	0	0	0	0	0	0	0	0	0	0	0	0.0202965	0.0146522	0.00510746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000501208	0	0	0.00165993	0.00209458	0.000595945	0	0	0	0	0	0	0	0	1.7267e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00127684	0	0	0	0	0	0	0	0.00183264	0.0027477	0	0	0.00203963	0.00216046	0	0	0	0	0	0	0	0	0.00175373	0.00215512	0.00519345	0.00503602	0.0028172	0.00356678	0.00240973	0.00252969	0	0	0.00323015	0.0165884	0.00559454	0.00305508	0.0187836	0.0024833084	0.010812478
UNINTEGRATED	o__Actinomycetales	0.0003383699	0.0004196389	0.0005402892	0.0004525417	0.0001298716	0.0002689533	0.0002757626	0.00031956506	0.000909753	0.0025817362	0.00032250122	0.0010248182	0.00014719443	0.0002051366	0.00030337336	0.0001137083	0.00043929535	0.0011357556	0.0005948654	0.0034137547	7.226047e-05	0	0	0.0002125307	0	0.000384916	0.000280428	5.07825e-05	0.0002973244	0	7.25564e-05	0	6.37572e-05	0	0	0	0	0.000546486	0.0018110804	0.00064491094	0.0005114714	0.00097549797	0.0002979394	0.0001675788	0.0001678409	0.0002820745	0	0.0005433664	0.000618153	0.0008689124	0.0001040689	0.00013089647	0.0017099836	0.0007381556	0.0022123422	0.0003743022	0.002171868	0.00051195285	0.0009555292	0.0013855754	0.0052715167	0.0020145414	0.00596715172	0.0003130635	0.0013025108	2.3256e-05	0	0	0	0	1.90975e-05	0	4.98307e-05	8.232536e-05	0	0.00029153187	0.0002950438	0.0004182163	0.000816114	0.0003304044	0.00020435731	4.84057e-05	0.0003491569	0.0004574523	9.27275e-05	0.00012088441	0	0.000126244	0.0072402161	0.00154807	0.0041477511	0.00393145	0	0.003246138	0.004539241	0	0	0	0	0.0003589499	0	0	0	0.001284733	0.000660524	7.523025e-05	0.00024355754	0	0	0.000534462	0	0.0004086564	0.0001382899	0.0017932814	0	0.0012443692	0.000768281	0.0004431106	0.000612183	0.00046811362	4.97515e-05	6.56372e-05	0.0026408895	0.0004376558	0.0008354222	0.000596954	0.0023871148	8.132606e-05	0	0.0001140034	0	0.0002837303	0.0007503903	6.53545e-05	0.00084944616	0.003552197	0.0009913181	0	6.63216e-05	8.92311e-05	0.000238371	0.00011575809	0.00014088154	0.0001410329	0.0003398276	0.0006341539	0.0002194152	7.55705e-05	0.0001024457	9.34684e-05	0	0.0002205258	0.0020543068	0.0002909281	0	5.559211e-05	0.0010296153	0	0	0	6.11043e-05	0	0.000177553	0	0	0.0001275666	0	0.0005036116	0.0003781886	0.000692206	0.000510715	0	0.0001578349	0.0004703591	0.0003147213	9.148207e-05	8.051281e-05	5.35204e-05	0	0.0001837693	0.0001852697	0.0004062655
UNINTEGRATED	o__Bacillales	0	0	0	0	0	0	0	0	0	0	0.000110094	0.000298776	0	0	9.36076e-05	0	8.60699e-05	0.000558981	0	0.000485286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1477e-05	0	0	0	0	6.50139e-05	0	8.40117e-05	2.85063e-05	0	1.89842e-05	0	0	8.45657e-05	0	0	0	0.000110057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.93054e-05	2.92752e-05	0	0.000339114	0	2.90399e-05	0.000195278	0	0	0	0	5.39285e-06	2.53528e-05	0	0	1.7716e-05	0	0	0	0	0	0	0	0	0	0	0	2.27196e-05	0	0	0	0	0	0	0	0.0005433151	0	0	0	0	0	0	0	0	6.40324e-05	0	3.5149e-05	0	3.82075e-05	0	0	0	0	0	0	0	0	0	1.20878e-05	5.127433e-05	0	4.7625e-06	0	0	0	0	0	0	1.13557e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	o__Bacteroidales	0.016964116	0.00448825	0.147529161	0.00219787	0.004683117	0.010361225	0.0027738159	0.016418704	0	0	0.000340959	0	6.46024e-05	0.000338503	2.16309e-05	0.075982422	0.1076552861	0.0067860144	0.0067362397	0	0.009041556	0.02004625	0.148852025	0.000609858	0	0.0237709	0.021197712	0.05942348	0.046069874	0.155566736	0.1107777168	0.158265361	0.085202512	0.4052913597	0.35775529913	0	0	0	0.0145594095	0.0015756924	0.1435182908	0.0170568878	0.1742808416	0.106602942	0.023384387	0.0014844638	0.0023224516	0.00707631686	2.49043e-05	0	0.2750271921	0.002152036	0.086424196	0.258869504	0	0.12968477	0.023438571	0	0.092263646	0.0051648516	0	0.03464189	0.037984937	0.000172964	0.03080554	0.11332666	0.063255726	0.074249234	0.0189358035	0.060910706	0.160811727	0.104810026	0.162962113	0.132305976	0.025606253	0.0139421673	0.0017146246	0.03936187	0.102352386	0	0.17109281764	0.2194837368	0.1132919035	0.061284815	0.1668822908	0.2522730208	0.077162429	0.106119225	0	0	0	0	0	0	0	0	0.064324822	0	0.0604407688	0.106850819	0.159189965	0.01962464	0.20652014	0	0.01732039	0	0.0002837021	0.004918348	0.260371269	0	0.000603545	0.02839798	0.04898066	0.017166325	0.1027010792	0.03476105	0.1135846202	0.009786499	0.008831115	0.1256478358	0.0731628366	0.22311947112	0	0.00903026	0	0	0	0.0946201117	2.80364e-05	0.22319597	0.0064425471	0.01241871254	0.049453369	0	0.044952484	0	0.003061989	0.293250847	0.000194459	0	0	0	0	0.277292975	0.050973192	0	0	0	0.224353217	0.075754037	0.253573697	0.210189988	0.04638159	0.07512364	0.3711398392	0.113431785	0.035100491	0.01234519	0.01529974	0.002643339	0.007558304	0.00558802	0.0789788	0.1059784	0.000979293	0.153520231	0.1018750743	0.108932819	0.1383804592	0.034432272	0.123542973	0.0046420514	0.0036418839	0.00478219247	0.0027439524	0.010983319	0.049539459	0.00201995	0.00443469	0.048138938	0.195063352	0.1857407497
UNINTEGRATED	o__Bifidobacteriales	0.0147512548	0.05544453412	0.022155291	0.0197844407	0.0963263699	0.008888901	0.0044587053	0.0954477592	0	0.12449248691	0.15634446742	0.10441564053	0.06196286184	0.0099997711	0.007693997	0.00441961	0.2394073238	0.1828934024	0.01458179	0.3488788482	0.00839685	0.0727197	0	0.0017157606	0.000209496	0.24961815	0.2448728	0.0024018958	0.002932054	3.41309e-05	0	0	0	0	0	0	0	0	3.57608e-05	0.0014284204	0.0001197	0.000139082	0.00114945	0.00116228	0.04565541637	0.00051583	0	0.1258003915	0.40933598717	0.409604702386	0.000372082	0.2580543029	0.0136767	0.007883419	0.3159911933	0.0191695917	0.0061827365	0.16504840039	0.0097448436	0.0044264588	0.00087395034	0.18741105303	0.03007979408	0.18031888567	0.003039746	0.0966405102	0.07040621489	0.1605768948	0.3691847813	0.2433009251	0.006641948	0.1759816886	0.000372914	0.000663785	0.09670138296	0.07260226	0.0103156	0.00400576	0.00507471	0	0.03210378662	0.00753995	0.009882138	0.0206268567	0.0220619197	0.0201899938	0.02492169	0.0401028943	0	0	0.0194146	0	1.64631e-05	0	0	0.00563186	0.00245751	0.00130431	0.00793193	0.001689944	0.004378219	0.02513226	0.00959399	0	0.001288259	0.11125558746	0.0779648548	0.024747023	0.0384987614	0	0.0532643323	0	0	0.0005636	0	0.00079019021	0.0135396858	0.0011186716	0.00062101	0.0020526279	0.00336142	0.01086400463	0.1131817137	0.0220498886	0.07254957502	0.1794515038	0.2985795459	0.003798977	0	0.11625613262	0	0.07445993004	0.0185236481	0	0.03561388058	0	0.04688587477	0.012780569	0	0	0.51269918843	0	0.33392108047	0.0221622	0.002833221	0.36155163107	0.000358893	0	0.1771137283	0.0112767472	0.12582959	0.0206111	0.0012723937	0.017048502473	0.004611754	0.0220285	0.004385072	0	0	0	0.166879422	0	0	0	0	0.009229244	0.003933345	0.0049126	0.0350275343	0.1612713563	0.00787098	0.40063979414	0.42924498481	0	0.015742515	0.37450185198	0.257712214	0.228520828381	0.4705325426	0.1623767647	0.0636805268	0.1960339646
UNINTEGRATED	o__Burkholderiales	0.00194066	0.000220169	0.00520755	0.00128887	0.00100103	0	0.000150584	0	4.461399e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.41892e-05	0.0002607	0.00236937	0.00115507	0	0	0	0	0	0	0	0	0	0.000347185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000225802	0	0.000328392	0	0	0	0	0.00143363	0	0.00179588	0.00047315	0	0	0	0	0	0	0.000563199	0.00142084	0.000174905	9.78444e-05	0.000787864	0.00105224	0	0.00017402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000452718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40792e-05	0.0002579731	0	1.26206e-05	0	0	0	0.001235326	0.00101582	0	0	0	0.0006598688	0.0020878	0	0	0	0	0.000969617	0.000148344	0	0.000898137	0.000367236	0.000448868	0.0009013593	0.000359622	0.000338802	0.00144683	0.000609012	0	0	0.000610837	0.000678463	0.000181752	0	0.000396584	0	0	0	0	0	0.000124138	0	0	0	0	0.0002981831	0.0001627746	0	0	3.37549e-05	0
UNINTEGRATED	o__Campylobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000295159	0.00134123	0	0	0	0	0	0	0	0.000171166	0	0	0	0	0	0	4.3848e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028782	0	0	5.3998e-05	6.97369e-05	0.000280194	0	0	0	0	0	0	0	0.000416441	0	0	0	0	9.32381e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000115691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	o__Clostridiales	0.2500186282	0.2375131856	0.216633652	0.3368190358	0.2490058536	0.1496306503	0.1443311928	0.1931465637	0	0.00014283	0.1241891992	2.16548e-05	0.2037697701	0.2887222719	0.30121646	0.38604834974	0.03952622405	0.0541265529	0.36226627773	0.000767972	0.35166200613	0	0.265393174	0.0014500502	0.00687657	0.00539068	0.00276177	0.262169224	0.278730371	0.198759547	0.21720999343	0.24097256861	0.28127590416	0.0871105047	0.1132082107	0	0	0.14626362	0.1221292879	0.0474298106	0.06645375759	0.12941220946	0.106016272945	0.0852694334	0.0578067102	0.04236347507	0.248354456	0.2115481995	1.46e-05	2.05541e-05	0.1355494057	0.0002918519	0.2381297646	0.1609349427	0.0084709363	0.1955040796	0.215506671	0.1757391976	0.178933794	0.22020033	0.2269300931	0.1397465243	0.1559655293	0.2080919365	0.2449082745	0.2386748962	0.20578626945	0.032451799125	0.084396242408	0.113526095229	0.0507827382	0.08413600991	0.1092357516	0.101883737	0.196254207492	0.1640628467	0.1362806276	0.250568486101	0.3063458181	0.0187081	0.22831150968	0.22722199457	0.245214812983	0.292860513536	0.21246222453	0.17039099597	0.080490810081	0.297342672072	0.0007649345	7.8327e-06	0	7.96547e-05	0	7.29934e-05	0.0003743739	0	0.230985933	0	0.1301694381	0.148582993581	0.148471954	0.231713139	0.221049822	0.1221585408	0.2531829044	0.000488499	0.0061690499	0.2434195402	0.129226097	0.159587998	0.213897901	0.249275404	0.2957840028	0.1847848755	0.0033661014	0.2487711651	0.278340882	0.2087812406	0.2054883118	0.3092255638	0.388745145	0.1546693279	0.0010003281	0.2716514427	0.0011861725	0.0128188	0.0103074903	0.311523343	0.01727726	0.151544595	0	0.092754979	0.196171889	0	0.278454157	0.0034288787	0.274173629	0.191241731399	0	0	0	0	0	0.101326243172	0.2990261972	0	0	0.010134752	0.047746974	0.1261143564	0.1567282276	0.133315808309	0.2275228061	0.11872909628	0.0909857069	0.17499338676	0.37912655551	0	0.2301456299	0.192819062	0.2130335502	0.18246702523	0.2075448717	0.16954800606	0.3498890278	0.2404952947	0.3075552532	0.2956715197	0.2513570464	0.15915211834	0.26792766835	0.053816451	0.04273445	0.2723684625	0.3510097201	0.0541253821	0.0461870608	0.0013454	0.00196568	0.112444677499	0.139234374	0.03058380664
UNINTEGRATED	o__Coriobacteriales	0.0318221	0.0199052	0.0270901	0.0294393	0.0272787	0.00807152	0.00818097	0.0200594	0	2.03213e-05	0	2.51796e-05	0	0	0	0	0.000207267	6.164513e-05	0	5.52444e-05	0	0	0	0	0	0	0	0	0	0	0.0017325	0.00225319	0.00631169	0	0	0	0	0	0.0179419142	0.0105752265	0.004461754	0.0191395	0.014058947	0.02606536	0	0.012484685	0	0.04674642	0.00041111929	0.00108863	0	0.00394191	0	0	0.0039384092	0	0.00421155567	0.00913868	0.0073963928	0.0126434	0.00014471	0.0002327425	0.0150699906	0.01177448	0.0147146	0.00783055	0.00164895	0.00136036	0.000298746	0.00248197	0	0.00188537	0	0	0.00216201	0.003290425	0	0	0.01062719	0	0	0.00590507	0.00734457	0.0121668	0.00685501	0	0.00104082	0.00733855	5.3451e-06	2.17747e-06	0.000882193	0	0	0	1.8667e-05	0	0	0	0	2.17493e-06	0	0	0	0	5.24618e-06	0	4.86696e-06	0	0	3.37684e-06	0	8.03159e-06	0	3.0712e-05	1.28496e-05	3.4549e-05	0.010143959	0	2.10806e-05	0.0220337	0.0505669	0.0128824	0.00769416237	0.0066195295	0.00709591	0.00528274	0.00383145472	0.014386	0	0.0124032	0	0.004289141	0.0117967	5.48109e-05	0.0159259	0.000178321	0.0234097	0	0	0	0	0	0	0.0033621	0.0226799	0	9.30925e-05	2.98812e-05	0.000346933	0.00266683	0	0.00577407	0.0336022749	0.0029452	0	0.00864235	0.0130037697	0	0	0	0	0	0	0	0	0.008222072	0.002134262	0.01000738	0.00842315	0.01273222	0.02101961	0.004635279	0.007489259	0	0	0.0260816	0.00360431	0.000976784	0.000669144	0.03270469109	0.00830121	0.000200081
UNINTEGRATED	o__Corynebacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4551e-05	4.41559e-05	4.08975e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76469e-05	2.41941e-05	0	0	0	0	0	0	0	0	0	0	3.93317e-05	1.29913e-05	4.44907e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.51611e-05	0	1.53495e-05	0	2.2168e-05	0	0	0	0	0	0	0
