Pathway	Kingdom	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	k__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1616386745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	k__Bacteria	869.6889635971	84.4637085698	1144.8490644148	141.2788981992	79.5665284971	200.672523167	1492.6795318752	867.4200422058	0	1092.1367887511	510.1808970737	670.2665400487	651.9262162022	789.7307884171	1282.7894540304	1887.3085881459	1953.368532058	2794.3396123699	1470.1396456125	268.8507810769	1777.0858444731	914.0157485902	97.3527424934	0	0	94.1654303569	66.1870992959	62.3773540281	55.5536745204	185.4659278612	865.4129777576	1387.5049934553	1599.4025974482	1434.7278117564	1420.3672781125	5892.4937444832	842.016988111	32.3000532554	1780.3487662639	1892.0463088821	1879.5602637763	3315.2919683429	1239.8501033251	667.0304189813	1581.7697065756	6273.964167945	312.0524817043	1339.4364008957	326.1980189459	605.7584110135	1902.9432648932	1446.077784032	633.2195787365	909.7758912916	241.7383652415	999.1813499113	230.8159377003	411.7154567487	951.9047341867	175.6286231486	150.4783504959	374.5914137741	496.9455598222	185.494796495	463.1381677475	470.1222388545	865.683349639	2133.2651429246	332.2838287291	641.7555102287	570.7099758294	1362.1718603016	1276.8604220772	1195.6378552611	383.4791095517	366.4880074713	302.0541984765	629.2123843964	390.2403502447	1115.2753035871	1396.4956453342	1776.7790100555	1091.2352454366	478.2939991243	1197.1854356409	1546.7719594597	3148.646136308	892.1477867949	2399.8019884484	2720.9756217737	0	806.8077791583	0	901.9340792735	1212.7442411926	1478.43340063	292.1691545679	237.914052035	241.6626272634	3135.3535940651	334.2521926844	206.4345382407	601.2077874137	29.0230742522	423.5837318561	3092.1262540114	4244.8274361958	32.0277040314	581.052301299	61.1860957858	8.3847201049	485.9307641223	771.7577678966	346.2777437456	294.1917642948	626.6544472998	778.2166663569	457.0345680353	333.0917289011	1176.0949792527	799.2505001799	1820.2261240493	2259.2650859531	1776.9592564838	1752.5788703661	1319.0269891489	123.2788142221	1433.1667622839	1087.6895265496	1043.9303641495	3674.5554405596	566.8412929054	1968.842028208	4027.387556054	2208.9993474918	2438.6242094033	1208.0669730665	1992.9587046201	173.3811483002	1890.4804607289	69.9709596104	2734.2942210022	943.7129106293	1394.9927654991	1347.0141830364	1240.9034636332	3160.6575167886	2704.7699403109	1104.1910513383	2681.0618048946	1177.6120509477	1595.6690781442	686.699580893	2435.5765559409	1516.6949569804	797.787870877	595.3575849032	418.817012602	1162.2344103347	512.5078418386	487.9204755386	1422.3884342436	1404.4466987071	2052.2082735875	1109.3584385568	1263.7273317789	1200.2394807251	325.8262900769	369.6083781274	358.3310823692	549.2938033484	150.2707730219	71.0953573138	327.2966650469	248.9013922923	570.4075431315	742.2362766926	447.5622987292	233.7577338913	199.9565905519	1661.3077508959	909.3366633267
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	k__Bacteria	0	0	0	0	0	0	677.0177835559	0	0	280.6449137397	17.3140406168	3.5045574949	0	0	0	0	0	65.6330817702	0	19.8796255209	0	0	0	0	0	0	0	0	0	0	0	0	41.5272983251	0	0	1481.7078074096	194.707121741	0	156.078404993	0	0	617.1094084964	58.880727061	29.8171664419	273.7981934936	3710.8162526266	0	0	96.481551943	137.0718432074	0	470.7349781518	0	0	29.9363011729	0	73.2946784034	0	86.3535981827	26.6763499453	0	0	134.49541095	0	0	0	0	0	0	0	38.4237518538	0	26.5040872145	86.3116268528	0	0	0	0	12.6338006014	0	0	0	0	0	3.6702161452	9.1290598498	0	0	1408.2468904629	531.1300874369	0	128.5245870658	0	224.0314567965	460.9763600353	0	3.3979899904	59.4922385057	37.1713673753	0	0	45.2651228067	0	22.987521878	0	8.2317022643	33.1775660971	20.781064637	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7626789104	1009.6244751248	0	1848.1888130269	1732.207221122	20.3723208994	7.8487458	65.4475574315	0	0	915.3784140862	3.7586203754	0	8.6466286107	0	5.3113542841	0	25.6484205805	117.315633359	0	141.3454719332	285.4754910834	0	0	598.1146739257	195.9344862007	121.5407266253	42.3762283488	1192.6874947204	0	0	0	603.4246230963	0	0	0	86.1146177229	482.7001603634	292.2436148823	32.9722455699	502.1909668799	54.4711438835	122.6992104796	127.611151218	0	0	2.5054245682	0	15.1789735903	0	0	0	0	0	50.088987105	112.9586581995	184.3889422758	45.8429620687	19.39212253	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	k__Bacteria	0	0	0	0	0	0	0	0	0	476.3911635609	332.2713118555	402.0085369333	101.0066408191	6.7714210242	37.5743267221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4586749949	7.5436187309	62.2316660469	0	0	0	0	0	0	0	0	0	0	0	63.5702961592	0	0	140.3616053841	275.883571089	107.7557725894	0	806.5692354239	0	0	0	0	0	28.9954778432	0	0	0	0	0	44.0692393588	0	14.0881530974	0	0	0	0	38.024322279	0	134.5562830824	107.6839843021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.9573689234	0	9.9862725952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.278790449	327.1152836117	139.1865718065	0	269.8752044745	0	0	0	0	0	0	0	0	0	0	0	0	0	95.1984591285	44.3191166444	141.3799332307	41.7404790713	17.9609689489	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	k__Bacteria	0	0	0	0	0	0	0	0	0	34.8034328661	34.6329069129	71.0557392251	0	0	0	0	0	4.5401794382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8007683573	0	2.4795955604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9191225264	13.2235563131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.4307966838	0	0	0	0	0	0	0	76.2191487052	0	36.2017562085	0	33.3962141291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4897761577	5.6867433117	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	k__Bacteria	156.3155150663	7.5311968125	0	0	0	0	1505.1212481118	45.1027216842	0	1225.6169248314	638.754137976	977.7801454291	164.0696556109	0	56.1357959043	0	144.9512773868	875.0068502483	22.9865633774	367.7407930001	155.8199154234	889.4523522491	0	0	0	0	0	0	0	0	20.7656023788	0	53.9461328366	0	0	6502.4787121261	851.731260404	39.4747799914	1059.6416249234	2140.3272458819	304.124186634	1778.0935737226	192.1375906669	55.827651419	1659.4986606986	7017.0471310099	33.4516214534	277.3236899516	463.0760403327	721.1410325448	0	2187.8194332549	26.6238820876	8.7303444447	242.6109975113	3.661712862	152.3613004066	32.4123307399	178.7944565143	86.6873752502	0	8.8152226808	293.7903787426	71.441216241	64.8645678951	18.5242392747	393.5503956536	1716.7633655821	54.6486285637	142.0977424918	167.5263229476	439.4177751147	368.6291024452	633.3148062526	206.8484267515	23.3494549167	230.1152954172	281.8665400622	50.3080888801	1123.0861776076	0	0	0	0	0	15.6912875504	2860.0650255582	0	2174.6140003248	2991.1142890282	654.6755525108	968.2040411877	558.801351991	1015.4599843401	1253.5688439814	2860.0977873502	12.8273898145	2006.6886821173	318.0407964103	2548.2598817078	1.6819795334	128.5163363951	0	54.1292498829	33.3458175756	4517.9725148056	5442.3676817859	59.1120037476	0	63.3535782475	0	3.6997409392	0	0	0	63.6814211652	0	0	3.2649452362	0	0	193.6317504827	3163.0091404558	0	3634.2758259861	3353.153564018	136.7526841708	77.2056704437	1079.5625241757	0	5132.3819327024	1934.3649818516	707.0761539826	5530.3982638869	541.4859107601	2869.8838860067	245.5407975654	26.9236197145	2966.2682667614	1904.7634050315	139.6209470064	2844.6944616798	1600.3559194669	161.5646105227	43.3055150572	1684.89491258	3341.6264380737	2783.2684802977	122.9552749079	2212.1244368745	0	157.2632357041	57.6732939854	2021.7843746619	106.8818074119	181.7358589983	60.3718607276	3815.0510377915	1255.2913652402	578.9116046476	135.4446566886	1178.7615289567	122.2930304808	295.8008943918	289.1526984493	0	0	34.6901744606	29.7245259246	85.2785826463	0	194.7117003709	82.5363945948	252.8285486315	0	211.3773546545	271.9955375889	579.9140825847	216.6082130229	40.3632410782	0	150.0304072374
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	k__Bacteria	1180.6897915609	2472.037073811	1482.306531828	1965.0299660656	1931.0301445145	3163.2036086126	3615.9458060384	2050.9609109269	5373.5341074956	2110.429603691	2149.6133641467	1598.3164372063	1563.847952197	1346.6056059824	2353.9898863202	2350.7012741454	557.8740468025	1797.5567092499	1854.7370635362	1219.4488420912	1929.1072663533	7916.8458773041	1706.9617139921	1627.0005596317	3628.7296132191	1609.7523357057	1463.9134896566	750.2833196491	1155.79556006	656.6788714406	1235.5037280842	1617.4948076024	2539.6984425447	298.4460973811	267.086165447	8273.652003247	4195.1043361984	449.4064018416	2416.1022449978	2908.8124619749	983.3570616233	3477.7239977425	760.6935921952	1654.841097694	5932.7804562894	11068.0742385776	979.3651964155	3028.4110695446	1319.4560571489	1184.7760692847	744.7207138061	2980.226376351	621.6910978797	673.4317304823	2198.6915424707	1457.9567765261	1720.1926761137	1044.3294928336	2850.3364725237	2577.3229968725	1990.4619113865	1187.6780282301	2956.6726114641	2182.767397369	2325.0199641604	1715.5214373306	1071.2097165219	2174.0952634725	603.8536513718	561.5369186136	1291.843777998	791.3329153632	1377.4453282727	1634.1658241069	647.2090206511	1034.8051115766	1246.7981676069	3180.035734843	1085.7303054602	3013.8509825215	2429.7542274271	3114.4569753761	3439.3529462952	2655.9079393897	2243.9860372019	1789.7621660798	4139.9960651598	2380.9650865844	3049.7998325303	4226.9945373476	4297.3216012098	2212.974231159	568.2804695491	2066.3588010313	2015.7620511167	3344.7113722888	1086.206479794	2220.496083788	656.7190474603	3965.1077551718	439.5215359706	939.0837128232	798.0297023876	1047.6900482685	1014.3196063829	5296.5310530356	7117.3925659091	438.6928135208	386.998505333	436.6896027408	411.5801026333	1520.6059394425	1679.0012454987	680.7925995521	111.1883886485	1413.6595989523	2131.9166287717	534.3562455499	761.5072046883	1198.6515809286	2021.9190786263	1676.1343863004	5400.4890518229	1834.1824106609	6073.1822602471	5562.4136856328	1453.4280796309	1821.7391625565	5443.7646124524	1950.6578156673	7508.149873681	3609.9788394435	4012.5314009056	7309.5734670839	4806.0299417333	4467.4934233621	3004.5804578786	2265.0020802842	3901.7579700116	4120.7587427178	330.6162231286	4198.1733223306	2290.1147281362	1067.0217268508	2879.3782278348	2810.2090222415	4546.5318278549	4291.5442659028	839.5015513313	4261.7689991738	1471.9118753259	2305.1844479939	3471.7490603327	4139.606841359	1156.3502840924	1453.5798435253	2559.5661646296	5140.7604185083	3040.64852737	1802.131115935	1944.2613812899	2608.6916446849	1406.586823215	1569.0885371621	2731.3260582953	2137.1869755655	1653.509619566	1017.3576061001	1344.0981379725	1346.2079787605	1268.8252520986	635.0779327276	242.8529771158	1060.1347740864	1012.0285750728	1870.2345231805	990.2445695677	1369.2894519201	1593.6257347306	1367.9405329558	1352.7958671623	618.6635641792
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	947.76350667	0	0	0	0	0	0	31.1245610856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	k__Bacteria	177.8568860545	32.8249249215	19.2827855879	0	0	0	1340.5787158319	0	0	975.2998666639	471.954564256	515.1309081757	139.1899042411	0	36.9804876171	0	165.7379538108	893.5659868836	0	343.6638250151	140.655237237	0	0	0	0	0	0	0	0	0	16.3809500245	0	121.2317317755	0	0	7651.5398315327	990.7887518812	14.8530058181	1063.821737693	2056.1465826662	324.6091444574	2077.2071691964	199.8197902738	45.2420818199	1974.9051578357	7542.7787715081	25.6745513765	302.4357825129	518.5841606142	766.7312795212	0	2080.1776168076	0	0	238.3016304022	0	155.3907171167	49.3598580528	161.4293801946	78.847130968	0	0	271.4693951569	73.7209711028	48.9167249861	12.6006319796	427.4726127764	1967.5863145127	0	140.4499738353	218.284654118	494.7492834273	368.1262678105	677.9342146066	244.3507426831	0	303.2877791219	311.1125551299	58.4313442422	0	0	0	0	0	0	17.5674917048	3203.1108455911	0	2040.6747278758	664.8002459874	0	143.7691514032	0	307.8318661551	639.1317415161	1179.8924663681	15.9754272741	160.8670837225	271.2189981819	2028.6320364287	0	169.2735386158	0	27.8071999491	17.8787783126	3570.7592289188	4977.4369412943	65.7171172517	0	0	0	0	0	0	0	47.8189767164	0	0	0	0	0	215.0076851233	2842.6613354159	0	3727.2399683794	3169.130346886	154.6213325873	87.7528215218	1265.9903918485	0	4806.0435264575	2043.4764038499	918.3199813042	5517.0996066076	553.5965133286	2907.8740397151	298.2262178391	0	1405.6510560913	1752.0793332844	0	2344.6329703327	576.7568696779	160.9768790963	22.4391420141	1535.2239908493	2732.5420107835	1981.2494388421	126.7461958119	2541.9432455424	0	188.704382665	0	1972.7571292388	168.7884072319	211.0379469282	0	1771.1331023601	1064.8103137037	580.1337414136	125.0552347558	1092.8039552843	130.2082771953	297.0789750271	352.4601576244	0	0	45.4869169272	0	36.3678233335	0	146.3447424509	62.6019877379	262.9954631297	0	245.4149792316	189.5164168853	644.5261357522	131.7472214045	46.4434929698	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	k__Bacteria	0	0	0	0	0	0	700.0629368663	0	0	3.8698354796	0	8.8620892858	0	0	0	0	82.0948657687	410.0884422384	0	115.9996049304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5105.6071913973	661.8430186494	9.976985937	157.4690438827	0	0	1123.0391977149	111.478354775	0	906.6370415676	3543.0342908833	0	0	65.585172042	250.55251145	0	467.7035162851	0	0	180.5371885191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.1701671237	0	30.6937785935	210.3523845575	0	0	0	0	0	1431.0902718166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.4546461677	169.215560071	0	0	37.7416175729	0	0	0	281.562377323	1101.2679013435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.7752776554	1260.8910743682	0	820.4109794647	931.6418966491	106.2207559494	0	850.0549097127	0	1079.7506400487	152.842288113	348.3620349939	1153.6446064621	201.3182255438	626.3749977919	108.7313526269	0	0	1308.2204791906	0	1881.5493655124	248.1293527007	0	0	599.3439252628	2031.591323859	1386.5664940737	45.3176792996	0	0	39.7670763641	0	490.3992377214	26.6255021175	0	0	10.9402531339	581.6178980887	332.0538040318	93.9260540418	654.0054557229	73.0983087356	199.9006390681	143.0863729749	0	0	0	0	35.653921089	0	0	0	0	0	0	56.2129167684	142.8501897261	35.7670595294	0	0	0
