Pathway	Phylum	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	p__Proteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1616386745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	p__Actinobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.4051311622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	p__Bacteroidetes	0	0	521.1972576495	0	16.7875810665	24.6656551098	13.2928750825	72.4707220889	0	0	0	0	0	0	0	281.7805723953	473.4630627975	31.7289382107	15.6415212433	0	10.4364639574	126.1200233446	97.3527424934	0	0	94.1654303569	66.1870992959	62.3773540281	55.5536745204	185.4659278612	335.5959043403	550.9343805162	336.1245869133	1354.851356551	1326.9705512873	0	0	0	33.0611875467	0	451.8434204412	64.9810222145	434.0077487011	405.1394889081	60.5492624564	0	0	12.6028276257	0	0	1573.050704749	0	192.1458826781	670.5301871549	0	290.3831089201	68.9436355181	0	704.0392079623	19.7041013715	0	70.3711389487	214.1568732425	0	141.9588637647	242.6486655541	171.3861109864	341.4139588391	98.4447189192	312.378863544	173.6656942714	629.0536527702	508.9340470174	322.6395409718	73.4047142683	23.4018634893	0	152.5743557978	80.6315178285	0	1042.1647601383	1117.8630492103	475.2912219287	161.0084960545	908.450455393	1290.7396408712	606.4459519197	414.590437815	0	0	0	0	0	0	0	0	285.0962835306	0	108.3967887308	510.3884326096	334.2521926844	47.5144542428	478.3984625912	0	60.8252289445	0	0	0	513.4984140818	0	0	96.1616908638	175.4084888587	43.8264556953	294.1917642948	123.9501957353	518.1136760337	12.5397288231	21.9757892765	397.8945678197	159.8282416632	1154.8581790916	0	36.0106795795	0	0	0	95.4092281628	0	522.2048719237	58.5197468648	77.4354746175	151.6300735201	0	132.3068816861	0	8.6420586427	1151.7590022033	0	0	0	0	0	1260.9094510779	142.8439626058	0	0	0	828.6844933612	409.0904442736	1153.3352829098	1041.7261097766	198.8333372489	451.6370264271	1310.8517588519	296.2712190678	39.0073355066	159.4029146501	146.8483696055	21.0898404263	28.87833869	44.8820582471	605.1780603019	916.2278914606	0	585.6450225367	224.9046810327	62.3636157163	160.792491491	108.5701339332	182.6641886712	11.0436669289	0	0	0	27.5709756726	179.8400657823	0	24.2666666242	147.9634258341	1427.559967527	897.3573547847
1CMET2-PWY: folate transformations III (E. coli)	p__Firmicutes	26.9162720591	56.4537834659	15.2274572267	69.2188183404	62.7789474306	28.1330394943	22.7670680061	103.9818080536	0	2.5995919859	36.6774771837	0	561.6715710751	789.7307884171	1171.0509468517	1091.2949868242	16.1578128857	19.8625124638	423.6572676232	0	551.0794868716	0	0	0	0	0	0	0	0	0	376.5854702774	659.4714744859	882.5990191738	79.8764552054	93.3967268252	0	0	0	249.1100033793	15.5485221415	41.3553116871	192.0607370525	57.5517916399	67.7363041781	136.0726894931	119.7661772594	300.9712163726	947.6733884772	0	0	231.8595648297	0	407.0220217353	239.2457041367	0	708.7982409912	45.4341818946	362.5285497142	130.6020855078	96.8245319804	150.4783504959	304.2202748254	51.2469909446	121.0487388546	271.6307947318	215.637882522	302.6223084593	34.9704450472	154.4145024158	214.293604339	214.38146394	86.8360040692	487.404939934	287.8251484438	113.1217333097	343.086143982	78.0923665018	259.5188665224	250.1564383479	0	354.3308851959	658.9159608452	615.9440235079	317.2855030698	276.9659587971	256.0323185885	278.6373453405	477.5573489799	0	0	0	0	0	0	0	0	0	0	0	1031.7411105843	0	0	122.8093248225	0	346.4457517858	0	0	0	67.5538872172	0	8.3847201049	389.7690732585	596.3492790379	302.4512880503	0	462.7366345958	242.9947991577	444.4948392122	311.1159396246	294.9877226368	473.7867097374	246.4028386855	0	1184.283106828	3.7469055447	0	0	1269.4387047962	0	521.7254922258	0	39.7665268761	1194.9111618277	0	1703.4924954763	0	945.8307715349	841.1997024168	0	0	0	0	0	44.422500631	1176.4414206918	17.6377368798	0	0	148.0304384582	465.6945021281	24.2767680379	421.0489899686	478.3294867394	288.1676362669	95.097964619	342.7972757611	539.5859288394	0	131.2617792478	21.2104059942	366.9662462754	441.8086041105	693.5946723864	879.0177135574	881.5049626969	678.0823092422	975.3347996924	209.515853148	187.2222246246	138.4441324957	366.6296146772	44.1398874703	42.5311809717	56.6427755032	248.9013922923	40.9591637366	11.3439871314	0	0	26.3347557327	233.7477833689	0
1CMET2-PWY: folate transformations III (E. coli)	p__Proteobacteria	162.7642675047	28.0099251039	15.7637278904	0	0	0	951.1262943937	0	0	1089.5371967652	473.50341989	670.2665400487	90.2546451271	0	62.470752589	0	119.4856185175	647.8839087477	0	268.8507810769	97.3950470858	787.8957252456	0	0	0	0	0	0	0	0	24.8418020072	0	100.55949229	0	0	5892.4937444832	842.016988111	32.3000532554	850.6411717021	1278.0724237182	162.1524791559	1506.8449578139	161.6981616251	46.6143661013	1385.1477546261	6097.6480623488	11.0812653317	210.8908304702	309.7928877837	605.7584110135	98.0329953145	1446.077784032	34.0516743231	0	224.2359589686	0	116.4381202876	49.1869070345	117.2634407166	59.0999897967	0	0	231.5416956351	64.4460576404	49.548509251	11.8356907784	304.6489772865	1364.5716713946	12.378823438	115.0830423457	182.662817618	356.2230188899	280.5214351258	585.1731658455	156.1013087403	0	223.9618319747	217.1191620762	59.4523940683	1115.2753035871	0	0	0	0	11.7690214508	0	2263.5628390478	0	2399.8019884484	2720.9756217737	0	806.8077791583	0	901.9340792735	1212.7442411926	1478.43340063	7.0728710373	237.914052035	133.2658385326	1593.2240508712	0	158.9200839979	0	29.0230742522	16.3127511258	3092.1262540114	4244.8274361958	32.0277040314	0	61.1860957858	0	0	0	0	0	39.9676169687	0	0	0	0	0	133.7537355496	2259.2650859531	0	1748.8319648214	1319.0269891489	123.2788142221	68.3188293249	1087.6895265496	0	3616.0356936948	431.4859544276	622.3007928602	4027.387556054	373.1999703294	2438.6242094033	253.5941428889	0	173.3811483002	1890.4804607289	69.9709596104	2734.2942210022	943.7129106293	89.6608137902	27.7287997388	1223.2657267534	3160.6575167886	2704.7699403109	127.4761195189	1806.2768584929	0	132.893978399	9.5367569047	1695.7718932469	110.7452335095	158.7193760481	16.7643205572	259.4140979519	884.1242614814	470.2075954181	92.0758905732	935.697771886	105.6739660188	256.9626685695	227.8534758599	0	0	53.9468212126	21.5936620118	111.3168159403	0	95.0872186227	28.5641763421	270.6538895437	0	153.3217226678	239.4105355594	447.5622987292	209.4910672671	16.8484874739	0	11.979308542
1CMET2-PWY: folate transformations III (E. coli)	p__Verrucomicrobia	680.0084240333	0	592.6606216482	72.0600798588	0	147.8738285629	505.4932943929	690.9675120633	0	0	0	0	0	0	49.2677545897	514.2330289264	1344.2620378573	2094.8642529477	1030.840856746	0	1118.1748465583	0	0	0	0	0	0	0	0	0	128.3898011327	177.0991384532	280.1194990711	0	0	0	0	0	647.5364036358	598.4253630224	1224.2090524921	1551.405251262	586.592401359	147.5402597938	0	56.5499283368	0	168.2693543226	0	0	0	0	0	0	17.5024062729	0	0	0	0	0	0	0	0	0	0	0	87.0259529068	392.3090676437	67.0457839561	0	0	290.0591845723	0	0	40.8513532334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.1081911655	0	0	483.2126887962	165.6355487793	285.2113707226	0	556.6654700763	0	0	0	0	0	0	0	18.1533369842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348.5556810545	311.6416882195	0	0	8.8099215112	0	0
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	p__Proteobacteria	0	0	0	0	0	0	677.0177835559	0	0	280.6449137397	17.3140406168	3.5045574949	0	0	0	0	0	65.6330817702	0	19.8796255209	0	0	0	0	0	0	0	0	0	0	0	0	41.5272983251	0	0	1481.7078074096	194.707121741	0	156.078404993	0	0	617.1094084964	58.880727061	29.8171664419	273.7981934936	3710.8162526266	0	0	96.481551943	137.0718432074	0	470.7349781518	0	0	29.9363011729	0	73.2946784034	0	86.3535981827	26.6763499453	0	0	134.49541095	0	0	0	0	0	0	0	38.4237518538	0	26.5040872145	86.3116268528	0	0	0	0	12.6338006014	0	0	0	0	0	3.6702161452	9.1290598498	0	0	1408.2468904629	531.1300874369	0	128.5245870658	0	224.0314567965	460.9763600353	0	3.3979899904	59.4922385057	37.1713673753	0	0	45.2651228067	0	22.987521878	0	8.2317022643	33.1775660971	20.781064637	0	0	0	0	0	0	0	0	0	0	0	0	0	13.7626789104	1009.6244751248	0	1848.1888130269	1732.207221122	20.3723208994	7.8487458	65.4475574315	0	0	915.3784140862	3.7586203754	0	8.6466286107	0	5.3113542841	0	25.6484205805	117.315633359	0	141.3454719332	285.4754910834	0	0	598.1146739257	195.9344862007	121.5407266253	42.3762283488	1192.6874947204	0	0	0	603.4246230963	0	0	0	86.1146177229	482.7001603634	292.2436148823	32.9722455699	502.1909668799	54.4711438835	122.6992104796	127.611151218	0	0	2.5054245682	0	15.1789735903	0	0	0	0	0	50.088987105	112.9586581995	184.3889422758	45.8429620687	19.39212253	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	p__Proteobacteria	0	0	0	0	0	0	0	0	0	476.3911635609	332.2713118555	402.0085369333	101.0066408191	6.7714210242	37.5743267221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4586749949	7.5436187309	62.2316660469	0	0	0	0	0	0	0	0	0	0	0	63.5702961592	0	0	140.3616053841	275.883571089	107.7557725894	0	806.5692354239	0	0	0	0	0	28.9954778432	0	0	0	0	0	44.0692393588	0	14.0881530974	0	0	0	0	38.024322279	0	134.5562830824	107.6839843021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109.9573689234	0	9.9862725952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.278790449	327.1152836117	139.1865718065	0	269.8752044745	0	0	0	0	0	0	0	0	0	0	0	0	0	95.1984591285	44.3191166444	141.3799332307	41.7404790713	17.9609689489	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	p__Proteobacteria	0	0	0	0	0	0	0	0	0	34.8034328661	34.6329069129	71.0557392251	0	0	0	0	0	4.5401794382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8007683573	0	2.4795955604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9191225264	13.2235563131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.4307966838	0	0	0	0	0	0	0	76.2191487052	0	36.2017562085	0	33.3962141291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4897761577	5.6867433117	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	p__Firmicutes	0	7.5311968125	0	0	0	0	0	45.1027216842	0	0	1.2078002127	6.869879785	0	0	9.9974211609	0	1.6277104526	69.4730598997	22.9865633774	11.5224818674	0	175.5491876033	0	0	0	0	0	0	0	0	20.7656023788	0	0	0	0	0	27.5707129994	17.8271831156	0	0	0	0	0	0	0	0	0	0	0	29.054930546	0	135.8168561696	26.6238820876	8.7303444447	0	3.661712862	0	0	0	0	0	8.8152226808	0	0	12.3667992337	0	0	0	28.266604664	0	0	14.6957157977	0	8.9808675059	0	23.3494549167	0	0	0	51.2575796558	0	0	0	0	0	0	0	0	0	0	654.6755525108	40.8507988754	558.801351991	0	0	1588.6669169218	0	1739.4650702924	63.4294351248	0	1.6819795334	0	0	0	2.7337567854	22.6109392664	0	0	0	0	0	3.6997409392	0	0	0	0	0	0	3.2649452362	0	0	0	29.1770232195	0	0	10.2333409598	0	0	0	0	478.524349329	8.34784522	9.3393756265	248.8899149051	1.3183437742	0	0	26.9236197145	95.1356587509	0	73.0114249175	0	28.8992619391	0	0	0	0	1.3045312754	0	0	0	0	44.4682595417	0	0	0	33.4141306684	300.4619458357	17.0752706974	0	0	105.4800316483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.6162772655	0	3.3944277603	0	127.8000639366
