Feature	Species	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNMAPPED	NA	1753006.17941947	2193716.93557326	1889953.44239362	2143854.87380901	2045421.98071634	1751205.82826067	2232505.96385147	2095063.16871745	2336403.08282174	2191086.16867215	2135447.87350231	2160154.66405123	2649511.57559757	1796529.56862599	2157546.03767129	1510194.19428985	1773374.5634262	2318728.09388064	1805388.54158003	2103973.41059061	1570538.76292552	2848801.08077485	1644430.14423111	2370147.52819313	2190510.23789391	2271805.83844241	1832297.84893672	1507461.70121271	1776104.58282625	2289384.17493678	1956271.5741943	1903954.78819856	2408831.26546543	1915889.41975516	1588609.45943139	1948017.85237222	2535463.01518341	1772231.56303375	2970501.69748747	2794018.73783816	2228962.9222607	3241548.49693234	1382619.28500429	2265055.31372355	3360929.3460523	3039127.98157852	1398167.90133524	2358935.00206307	2206455.25213045	2394268.73617797	2499622.24900869	2426802.84405587	1419940.50211258	1721080.66056313	2624148.92958288	2237353.55335207	1794914.54565173	2060322.57716187	3138075.13547553	2208447.52221076	2557371.57024984	2139121.30467925	2585996.1124315	1729176.55294939	2246182.66641336	1326345.70000628	2285046.87005464	2086770.2616344	2320680.47224094	2476231.83385704	2158058.35690356	2848351.06317823	2211469.30700942	2259154.04542365	1896386.86124205	1943212.03959053	1475338.18070567	2701837.25044637	2014384.77311088	3493582.32908248	2832208.47250562	2709183.80123182	3334962.45891934	2252728.23920482	2492198.86375781	2667063.75740685	3068785.91902726	2264446.70773539	2213187.72773813	3326253.8701492	6047068.84514648	2252475.35003679	1571281.6287528	2201258.14891766	2621164.21377334	2569424.60327286	1789169.7606113	2364591.66014197	1592060.70748293	2656133.3944685	1321093.87206335	2041599.22478602	2022962.95546597	2487759.70259037	1792119.19159152	2568326.44326706	3311709.7180919	1654605.16815299	1802616.59575481	2342392.7015787	1813419.49360776	2365934.91003093	2122109.04788633	2048824.8041523	1890113.66356979	2064008.43482016	2819690.48430432	1510945.25139628	1777116.33133143	1896090.65576089	1796421.40276346	2399910.09344021	2577319.21501443	1674665.74695457	2129114.99867134	2498746.26487622	1741109.00169028	1466695.5501456	2599229.34116285	1587729.98767575	1962412.0541257	2085908.30879203	2646244.59615678	1114576.75041196	2788521.59279452	2204887.08309077	2018013.34208151	2282970.16987064	1811587.3018765	2066400.38640197	1477070.3235149	1870376.32649875	2497785.31448792	1924397.54892867	1865138.18088838	2621463.03243148	2083966.16017213	2620988.12416285	1826725.6639763	2160400.33439949	2067865.19648009	2646211.37417787	3136829.63951492	2320378.17022749	1860165.11408164	1883331.53611884	2139489.17174919	2349345.43072405	2264621.41707957	2176106.89858779	2030506.79198827	1832939.69133392	2036630.63885593	2321875.8827541	1927835.77658143	3059331.90340551	2090228.46280492	1732324.36453827	1847883.40395293	3292499.48959846	2113494.11211873	2257920.07692338	1778812.3234008	1865986.75323276	2005391.78899745	2414417.48641239	2119164.72863279	2043360.50738382	2288643.94640022	1881633.89681105	2474315.93847061	1882264.19124296
UNINTEGRATED	unclassified	524091.011251242	550803.444882092	634477.950041378	538155.835599873	408054.708193881	249852.66534214	618591.893770372	454522.01532128	57396.8126107038	233504.605240716	319029.089968241	308328.01024267	918482.441031337	1232924.24800119	1211688.79339014	425544.125732998	336440.980373493	350014.205843672	761146.99998374	262796.585213932	436511.403873894	637294.439935938	421077.746369625	204426.747195123	99021.8787636094	187900.974548127	177257.392655576	341214.364781202	384497.022007281	711311.538288604	740454.860104382	721681.683124359	794217.069375986	384075.755046693	372172.683541591	26817.1556871875	159659.181422468	306085.148778389	1151850.27332935	828427.758775334	598065.718177466	1382740.86948527	446042.546765236	668864.46170537	496888.479965181	1069717.23050589	1026537.84575267	749957.326489138	119484.153387964	315695.136306967	690351.100959518	135190.895589536	212805.615420269	371052.300161335	219160.333306011	649101.356622851	341131.738322619	547749.477946247	668610.823183593	462971.198691074	462110.730796157	391604.272035081	525768.804661046	374065.441988101	652280.306187582	440240.732514532	914080.183923553	582523.051277702	544318.186902307	935226.812859999	737903.889901115	1116983.79312903	920670.614447908	637689.645759919	681198.151687642	783514.591915834	291215.965762408	553196.055185623	1041564.43661013	54215.2342206011	1035827.45498475	733790.574064114	954121.984519713	692324.913008247	905934.266667813	959597.329525652	1240320.78534832	744174.999263736	186496.965738817	178828.839210104	3364603.88147551	240520.050765916	706015.310340991	214272.20460261	261421.378557066	331968.813838759	560784.811655307	524556.573474392	184598.625488333	580341.076873825	317052.830776047	726596.13546693	767695.513245442	1671845.18078792	651024.541393629	316371.683980652	435011.417787704	880109.352614759	702614.670409354	1075794.45874826	1154985.10261736	1242391.78713707	930807.867050554	1350688.23374898	144434.889340256	914376.787978944	530108.384234119	1191245.18845023	903753.145847331	403428.899154592	408447.951000776	585144.368536247	480525.609449892	272315.120905168	153040.972771341	194563.02581857	123657.776862826	681302.157524244	198306.313445313	627629.495295362	385428.769923898	713636.951303467	941220.208408244	208432.027168219	1198536.00984147	261064.69455818	899679.401016609	689843.487249024	81711.1783158735	231010.143223584	128453.707128729	236814.469466947	372711.816280796	459690.952664547	813127.144715737	254806.77828342	333096.043623565	446814.770069794	349450.044143727	533651.221207528	467010.656845688	906063.347871492	908864.602869933	634020.880087827	755726.94683951	664811.280559807	707736.920572889	222581.297267152	800652.155602428	1486832.27853733	1054068.04574716	650518.399000214	895432.294396425	925726.627276114	654325.506187564	1134674.12125003	823337.49324251	896886.577707295	838196.915593037	1556425.61320314	1024535.96077539	596953.138005223	456252.25849578	952053.530181731	1062496.88829468	350393.047606363	363339.476632622	236712.471649542	200477.638198994	411545.983933565	691020.886095116	231766.333991506
1CMET2-PWY: folate transformations III (E. coli)	unclassified	60.1891949408	74.3417185766	130.8204039302	78.3564646356	16.7482137203	72.3435782811	293.7119419237	162.2069081802	0	57.2417681612	41.436848167	52.7943063427	319.650164857	575.6340700192	496.6776051761	262.5497989528	121.0437768422	60.3086355298	401.6393316834	36.7974959254	222.5006025231	0	127.9626045431	0	0	0	0	0	66.806347161	171.7597867978	366.3269342244	345.2389888618	364.4026827811	88.6835211957	96.7384934573	0	0	37.2240002564	806.2405359113	701.4627028089	295.3083823975	829.6589577259	276.7802476869	368.734224287	50.9977477013	623.6017269202	585.6269767028	301.3625431437	16.5428022691	32.0506626211	46.4385663442	13.8132131523	5.0680569092	57.1743246265	35.4111744859	152.545263719	33.5662974944	214.3634349208	111.8527764489	53.4018397485	28.1277837973	24.3793413698	93.3367623152	72.7979354352	119.48329893	213.6101151055	405.8519787483	198.8484885711	102.2531531067	164.6591376603	262.8425794864	683.5628435124	453.1460772649	216.1332057167	174.8330914723	198.9404611415	74.4981420833	198.4844461886	589.9065490962	0	471.5181624707	320.7998985221	466.455365566	355.5456878296	540.216894464	488.8214782393	326.8994381699	404.0422672754	43.142012389	31.9412104876	0	74.4258812913	0	66.4970003038	78.6588760192	0	115.9252725576	36.8942440045	5.7241327031	339.6911573174	49.4973386371	147.6868439076	157.5985359622	1201.4731189272	215.4233610513	0	49.5039570458	149.5990615963	106.4067427849	821.8960969256	580.784424993	733.8130294896	453.846988203	560.3912897327	0	520.2249861682	254.4238139838	529.5998066565	362.9496620111	201.1714263555	164.1730182455	217.4160514054	56.4389434763	182.435937446	46.3684736055	33.6095165535	40.1761785694	466.7775873242	17.505683555	496.0882315866	0	491.865233148	588.5414079674	16.0425143427	745.210857645	0	780.877867404	230.0739714922	0	29.1483218655	0	27.9984211764	130.868660151	164.0843947908	526.1549077084	17.4007807707	60.1874242231	79.4648228542	113.6403253195	187.953019509	153.1138184005	269.7488270788	581.3140742167	325.7089568392	386.1368375322	273.1924600377	347.0627065783	23.1841053581	616.7324662437	1087.4247459234	460.476755881	193.5188514397	296.7383221682	426.095302807	328.8747059663	564.8714958635	356.0626980618	495.6374319709	309.579434168	622.6515095142	512.1081546607	215.5966019915	141.4365474472	402.6200319976	559.037235502	118.0578802602	117.6131362764	46.1793045323	17.1189127578	76.4781330123	275.2833480466	21.3496793397
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	unclassified	0	0	0	0	0	0	1.6899168977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1628671042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	unclassified	0	0	0	0	0	0	0	0	0	0	0	6.785779582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6594169599	0	0	0	0	0	0	0	0	6.1345615685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6048484353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4783800247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	unclassified	119.0809948179	43.3076754925	132.8708730531	75.7046934842	17.6802112862	13.686385023	157.4724140495	0	2.1279384028	37.465821465	25.0386249271	28.5847254836	221.8452529593	180.6395732412	158.4425881918	53.4210357993	80.2864510399	94.135274273	19.2834429045	28.8383704357	116.3635650765	0	0	0	0	0	0	0	45.4756550157	33.2007979701	137.1327173806	71.8010302605	139.5155522887	0	0	0	0	40.2092202952	230.2527284237	224.0105618345	154.5545678338	411.3698760792	91.5694670333	161.5387378326	45.2477627441	392.5855773439	171.2949813626	71.1895156381	13.6320210596	22.2611596145	15.3543321244	16.9958349901	0	80.351271736	49.7152860815	77.1392560156	49.8591818274	69.0189430758	88.3012427485	73.9262006554	45.2232187167	0	97.7448714256	73.1892039166	79.1927918795	136.33327095	264.8295662997	189.558946847	157.3399984578	249.7718411635	361.771254476	333.9796698586	441.5664173102	228.192918298	207.8120828998	107.7466033851	48.5966196565	104.7671300805	236.6550319544	0	347.9468152432	119.4321223008	187.9184149822	132.0344449139	247.80729735	302.3755656766	199.7135716104	75.8300476554	18.4389970824	0	0	0	0	0	0	0	117.289058325	53.0250349289	28.3078450172	157.5029288757	59.4641651888	204.3106795872	167.8439456523	145.6376451916	85.778911842	12.3772447435	66.1941999024	204.8694640871	85.8031440172	276.683510506	64.3662906737	227.3585318214	131.887132668	66.7034224869	0	161.8914612499	16.5192085663	152.0039088325	23.4527964061	0	19.1300004395	57.3376527618	48.213433879	69.5284920814	16.9803859483	2.1043190796	29.0146824865	138.1154090264	0	18.3879938287	54.4074469884	188.8361558701	249.3790066242	46.2719503973	151.1817842438	46.3686328726	150.5045807526	16.8577542003	0	0	0	23.1189456763	23.4785428454	71.8664609708	174.2563227102	6.0124000956	48.3158407869	47.1434810467	57.6014093511	173.3118601177	41.3346457882	185.0572657275	222.247593217	208.2967226275	127.4813010141	130.9665370742	193.1867327276	22.8349447016	199.1073490781	329.4012562002	93.6443125283	59.9207163973	55.7189965346	180.6313413988	91.5864998399	168.8822507663	0	177.9326493948	145.1809228921	297.9354493546	122.3319731999	330.8569771934	234.3186921262	303.9663477213	293.9408651258	77.9804171233	66.1972486005	24.9213054982	18.7551783752	149.0669094723	75.5747235194	33.5656247609
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	unclassified	154.9974286945	73.409112791	282.9911512528	145.7780574114	73.8383394496	43.689722972	319.3706420514	90.4422597196	2.7832729183	45.4718985132	39.9583304817	39.5647814239	527.1367846981	863.2992616847	651.0122846157	99.1205854019	121.1554969286	99.7950415084	184.2859898015	32.5218302981	171.9538092571	0	261.1171388553	0	0	0	0	149.8989501848	240.9188356055	467.8354237954	387.8523787435	402.4083831519	375.12476748	140.9322190565	102.7771349122	0	0	82.7776325544	551.1856847781	642.0333878389	329.829384654	830.6509484097	175.2606022957	376.077506902	57.6529508955	478.4320890385	435.4349449982	462.014519863	15.2112619509	22.9336383797	320.0765531796	20.7187320115	76.8991529335	218.0246898397	81.8821286002	287.1062005188	79.1411421597	274.2300225335	147.1086568759	142.6601845041	80.3510082945	91.775756044	120.7250429312	183.1820386712	206.7348246023	198.7547451883	485.5506581712	251.8048359742	260.3246870489	398.3180132948	436.2504774194	682.1267822883	617.3950021569	329.0899910316	352.1774992823	404.5437971559	105.666497678	232.9508769987	500.205283072	0	694.8100123642	372.4220573259	476.8324518543	356.6286161434	515.6485268415	679.4481352703	311.9936772711	423.696731152	23.5214627362	0	144.3627955369	0	268.084913707	0	19.5230678753	26.1810067447	260.2154473892	76.4431979342	61.0998619217	356.1926302476	84.4933487799	288.6774851498	298.5443120313	1594.2506130963	379.2708184258	12.7024990212	85.0409953842	326.1899211685	257.2056405935	972.7996226231	350.8690993099	1295.7128707458	749.9082899446	926.3827927646	0	762.5908125861	81.0332355661	687.7357302703	732.7411528637	147.909241525	229.6150857701	166.1863200784	72.222026953	129.5863008643	24.4501066948	3.1572257426	32.9637777714	242.0873522395	0	104.5034098233	62.4376867763	371.8682401463	461.2587127077	59.4082638478	540.9239893617	44.5149819868	416.1796263919	268.4108649721	14.1962182186	0	0	31.2240872877	45.2411666294	170.1787216271	288.3865180589	19.2432664252	57.0881846368	55.6697823826	136.6680671737	219.7153029196	117.7226124432	329.9042636707	361.1398250167	310.023407326	379.1945809239	275.8206039067	338.2920440412	27.9529908078	378.9677893757	593.3053579298	592.3575168919	88.4178508333	99.9041935152	461.9162203309	183.2730750626	755.8710227401	410.9273344778	450.356185424	415.2335367648	788.248290094	540.0741279172	386.7738039165	294.2891374613	463.3207459957	611.0422785953	151.9200818361	101.5849158387	32.126358309	27.2797142732	195.513895803	316.338743936	47.2650427372
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	unclassified	101.3972261864	49.3437376336	82.3382364082	9.2751231012	24.6458876049	0	91.1489327799	0	0	26.7756043679	32.4610258792	28.8124526614	190.381974673	133.5617225833	169.3040600169	18.4883894025	69.2058763057	16.8182137138	0	11.1284415157	35.6478933739	61.9854508205	0	0	0	0	0	0	0	56.8310968692	83.8409748762	73.2126709659	51.9299538953	0	0	0	0	4.3129169589	46.1053592396	0	42.8431908197	63.4551232215	30.4870681151	41.6290739734	12.6063453776	325.4349660025	10.5749298841	6.6508680995	8.839904056	9.5874309328	0	10.5981098262	0	0	0	41.3664429275	0	42.1336134329	0	0	0	0	2.0313005003	39.0028177153	20.000240867	41.5312323733	166.1634066992	70.5937102608	0	142.165844303	79.8872549289	133.6232931096	164.9982574451	108.4494354514	77.2863273534	36.4722934368	0	55.9905825064	51.1927035662	0	0	0	67.5766134388	57.3344809749	45.17045422	0	102.7519015865	19.5490841377	0	0	0	0	0	0	0	0	25.4731825129	49.7088837006	7.961120027	40.4135668712	23.1061563629	38.4254431713	82.2336870351	0	42.7283086335	33.1567151132	31.8132501783	29.3293957964	46.3765034778	0	0	41.2076065723	0	37.1852364052	0	45.655202777	0	32.7452261077	0	0	25.0693373609	0	0	0	8.2578117952	0	0	7.7431599598	0	0	0	187.9179624593	120.9503551163	0	171.8331936518	0	113.0448352312	0	0	7.433266233	0	35.5224784943	0	51.1714074033	93.2177477268	0	26.0944240771	90.0405892428	28.4226032558	100.9451101845	0	98.5192908615	38.1866311955	160.8510428525	89.7491383692	47.2848156728	40.743199479	54.0478169141	0	34.2516026015	25.3307563177	35.2118888478	43.6395839339	54.1650165451	20.9516448212	37.228416441	0	30.4024263093	55.9639847696	142.230620186	96.2318118558	150.4734884968	78.5100213233	145.6684742833	0	39.4759207299	8.4365490239	0	12.773465375	75.4822377014	26.7630501464	23.6589198977
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	unclassified	0	0	0	0	0	0	19.7126788761	0	0	0	0	0	0	0	0	0	0	31.6204933229	0	15.4168426768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.8797655633	0	0	0	21.218298403	0	7.1144295524	0	0	0	0	6.4042200957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.6224306749	7.4583799647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.1536540962	0	0	0	0	0	9.0029155564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.0381689567	0	9.7251959048	0	0	0	0	0	0	9.8405704575	0	0	0	0	0	0	0	0	0	0	0	0	0	17.8507414886	0	0	8.6805210141	0	0	0	0	42.2811498772	8.8056121801	13.0104421917	0	0	8.2000502319	0	0	0	5.00098863	0	4.6700659924	0	0	0	0	0	5.6921532185	0	0	0	0	20.1899466952	10.4474679586	16.4634964497	10.8422161796	18.1612188449	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	unclassified	70.9182300916	33.7782075775	22.5366137275	7.6551428421	22.2299748104	0	53.0245126503	0	4.5656747195	18.9999147814	3.3780109786	10.2088429528	22.32317328	22.5534044114	14.1251619872	11.3826191058	35.5974694989	82.2125942431	0	30.8409225821	55.6979663804	26.192542462	0	0	0	0	0	0	0	0	18.1135889419	12.352696089	43.8126277488	0	0	0	0	2.3111928311	44.8916141293	98.2561258678	29.6050201833	178.1482491331	39.9131443643	0	51.8905757148	445.2982572112	21.8997838937	5.917126372	0	17.163109263	26.0732485672	8.8370734235	0	0	6.2783513718	14.6210274335	5.1232479019	17.7227167564	22.6673682839	37.4690666796	0	0	13.7003015799	12.8615784491	18.0426767892	20.659671352	5.6390069606	14.4294518506	32.827586022	6.2549849671	15.9164669365	16.9908963813	53.914358005	52.0851205324	0	8.4167476467	6.2309879059	0	11.6303792661	0	0	0	8.2696059243	15.586233541	14.7977247354	31.5672695626	100.5866888352	0	4.0787590952	0	14.1586656741	0	0	0	0	0	7.6441168142	122.2938346241	2.8037597677	26.2506132554	0	20.9929631551	6.9410465047	8.9502738564	17.5287372484	0	9.5927326645	24.3658404002	0	4.7950403458	0	0	15.1385132561	16.3244990074	0	21.6206638621	0	24.9693812685	0	5.0930247163	8.4921304581	36.850065154	29.2858972336	0	15.1849303559	21.3441209113	1.1726806319	27.9270084189	32.7206496336	0	131.8138429893	56.6982204708	55.4383565358	74.9552538528	28.6994152233	90.9013571213	40.8858631692	0	0	54.2547027535	14.1709872429	71.3175884715	113.4634816397	7.6592951133	14.9665015856	32.3658240763	84.1041625048	114.9381063508	0	143.7463222529	0	23.5454339425	24.3263661736	12.255870154	10.8951279691	25.8597076669	20.7665273454	68.1987487024	13.154128855	73.0106972347	32.7427761698	90.9978184536	10.1044047168	27.8695528276	44.5413455729	13.0094320473	0	10.2475926383	7.148341252	20.6175646715	5.5581024051	62.8360367772	13.4245023312	66.6238448767	0	57.0012892729	17.2412536577	7.4191488177	34.5617489413	25.4571542335	15.8945800042	48.4695671195
