Pathway	Family	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	f__Enterobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84731e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	f__Akkermansiaceae	7.59422e-05	0	5.79859e-05	6.60115e-06	0	1.44834e-05	3.32884e-05	6.04072e-05	0	0	0	0	0	0	5.17946e-06	6.16446e-05	0.00012361	0.000137872	0.000102448	0	0.000129071	0	0	0	0	0	0	0	0	0	1.19326e-05	1.71726e-05	2.15741e-05	0	0	0	0	0	4.15751e-05	3.99745e-05	0.000103045	7.83894e-05	8.35563e-05	1.34751e-05	0	1.85039e-06	0	1.24916e-05	0	0	0	0	0	0	9.36548e-07	0	0	0	0	0	0	0	0	0	0	0	6.98927e-06	2.36128e-05	4.85487e-06	0	0	1.80439e-05	0	0	4.09407e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0316e-06	0	0	4.28181e-05	1.55413e-05	1.95743e-05	0	6.36272e-05	0	0	0	0	0	0	0	1.15718e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21864e-05	2.33648e-05	0	0	8.15629e-07	0	0
1CMET2-PWY: folate transformations III (E. coli)	f__Bacteroidaceae	0	0	4.910913e-05	0	1.50417e-06	1.48524e-06	0	5.438094e-06	0	0	0	0	0	0	0	3.0986017e-05	3.8634048e-05	1.051309e-06	1.5545e-06	0	1.204684e-06	6.31383e-06	1.122307e-05	0	0	7.0605e-06	6.11699e-06	8.05648e-06	6.45988e-06	1.630074e-05	2.6736261e-05	4.3249097e-05	2.1318497e-05	0.0001077277751	0.000134187864	0	0	0	1.626297e-06	0	3.544918e-05	1.098219e-06	5.160971e-05	3.17871e-05	2.029941e-06	0	0	9.35583e-07	0	0	0.000106218743	0	2.374812e-05	6.445733e-05	0	2.102748e-05	6.43009e-06	0	3.809502e-05	1.65109e-06	0	4.89004e-06	1.3935788e-05	0	1.113639e-05	3.15488e-05	1.1021599e-05	1.9315702e-05	7.12852e-06	2.1320168e-05	8.276771e-06	3.215729e-05	1.8408916e-05	1.4811996e-05	5.028864e-06	2.4681e-06	0	9.04704e-06	7.691221e-06	0	2.2414974e-05	3.54579e-05	1.4030348e-05	6.913857e-06	2.4696993e-05	3.738522e-05	1.6998337e-05	1.5893606e-05	0	0	0	0	0	0	0	0	3.04734e-05	0	1.17243e-05	2.2607117e-05	4.46428e-05	4.43768e-06	4.3262e-05	0	6.7638e-06	0	0	0	5.7144848e-05	0	0	9.48056e-06	1.670109e-05	5.15449e-06	2.0475484e-05	1.274943e-05	2.884736e-05	1.75449e-06	3.099713e-06	3.228622e-05	1.3585019e-05	6.811742e-05	0	4.11604e-06	0	0	0	1.12741e-05	0	5.270087e-05	2.34284e-06	4.9361e-06	8.844852e-06	0	8.081454e-06	0	7.60659e-07	5.8396147e-05	0	0	0	0	0	9.4539e-05	1.4274272e-05	0	0	0	6.29693e-05	2.30044e-05	4.921693e-05	3.67574e-05	1.3306194e-05	2.59571e-05	8.366199e-05	1.1314023e-05	3.781e-06	0	0	0	5.66256e-07	0	0	0	0	3.7366206e-05	2.2001467e-05	7.258915e-06	1.6409888e-05	5.830192e-06	1.159689e-05	8.65164e-07	0	0	0	1.754957e-06	1.1851852e-05	0	1.51544e-06	1.369856e-05	9.431087e-05	7.132901e-05
1CMET2-PWY: folate transformations III (E. coli)	f__Barnesiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.19702e-07	0	1.78183e-06	5.57856e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.85807e-07	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	f__Clostridiaceae	1.49999e-06	0	7.5091e-07	0	0	0	0	0	0	0	0	0	0	0	0	1.46565e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94554e-06	1.50943e-06	0	0	0	7.47954e-07	1.03863e-06	0	8.12442e-07	4.787563e-06	1.36872e-06	8.42414e-07	1.75556e-06	0	0	0	0	0	0	0	0	0	0	0	0	8.42292e-07	4.34106e-07	0	0	2.90631e-07	0	0	0	1.35874e-06	1.15793e-06	0	3.71284e-07	0	0	0	0	7.7504e-07	8.52401e-07	0	0	0	0	6.17607e-07	0	5.57995e-07	0	6.0462e-07	8.44807e-07	1.60047e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11058e-05	0	0	0	0	0	5.52247e-06	0	0	0	0	0	0	0	2.450086e-06	0	0	1.27515e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.371414e-06	0	0	0	0	0	1.789324e-06	5.97131e-07	0	0	0	0	0	1.479635e-06	9.33695e-07	0	0	1.69626e-07	0	0	0	9.36933e-06	2.02226e-06	1.02538e-06	2.500582e-06	5.80474e-07	7.37778e-07	0	2.39976e-06	5.33633e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	9.45397e-07	0
1CMET2-PWY: folate transformations III (E. coli)	f__Clostridiales_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82152e-06	0	0	0	0	0	0	0	2.59933e-06	0	3.48099e-06	5.13413e-06	3.41032e-06	4.81774e-06	0	4.43428e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.02857e-06	0	4.36586e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.70794e-07	0	0	3.00782e-06	0	3.97549e-06	0	0	0	0	0	8.69516e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	f__Enterobacteriaceae	1.81772e-05	2.36191e-06	1.54232e-06	0	0	0	6.263481e-05	0	0	6.88860815e-05	3.434975e-05	4.9439078e-05	7.057829e-06	0	3.26205e-06	0	1.09872e-05	4.2640041e-05	0	2.0897201e-05	1.12423e-05	3.94437e-05	0	0	0	0	0	0	0	0	2.30881e-06	0	7.74483e-06	0	0	0.00022544881	4.56846e-05	1.59591e-06	5.46155336e-05	8.53745747e-05	1.36488e-05	7.61379e-05	2.30329e-05	4.25736e-06	5.83888e-05	0.000199524	1.428e-06	1.56557e-05	2.6276364e-05	4.0093239e-05	0	7.60507792e-05	0	0	1.19988e-05	0	1.08597e-05	3.90935e-06	6.34503e-06	4.95223e-06	0	0	1.50671e-05	6.48041e-06	3.88698e-06	1.53886e-06	2.44671e-05	8.2132711e-05	8.96367e-07	8.5748e-06	1.384866e-05	2.21598e-05	2.077924e-05	4.06817e-05	1.56443e-05	0	2.57638e-05	1.41412e-05	5.92525e-06	0	0	0	0	0	8.7532e-07	0	9.986209e-05	0	0.000206473	0.0001339841	0	5.85246e-05	0	6.7023e-05	7.80032e-05	9.07074e-05	7.56005e-07	1.3779454e-05	1.44142e-05	7.65146559e-05	0	1.48426e-05	0	3.09897e-06	1.81399e-06	0.0001190595833	0.0001287064905	4.0942e-06	0	5.15914e-06	0	0	0	0	0	4.11104e-06	0	0	0	0	0	9.17965e-06	0.000100723899	0	7.9940653e-05	5.70276806e-05	1.01482e-05	8.07295e-06	5.928966e-05	0	0.000144768	2.75049e-05	3.62999416e-05	0.000211957	2.279543e-05	0.000116088	2.232092e-05	0	1.2939101e-05	0.0001176415	7.4091e-06	0.000161116426	5.33126258e-05	7.99101e-06	2.77092e-06	6.2164255e-05	0.0001649054359	0.0001428496	1.09554416e-05	0.000101573	0	8.47935e-06	6.38213e-07	9.7461885e-05	9.65941e-06	1.49918e-05	1.62497e-06	1.4590579e-05	6.31078987e-05	4.48309e-05	7.98158e-06	8.14073e-05	1.08319e-05	2.38898e-05	2.19866e-05	0	0	6.27922e-06	2.20377e-06	6.88591e-06	0	7.44916e-06	2.84196e-06	2.8068e-05	0	9.7593e-06	1.794935e-05	3.2951275e-05	1.3082565e-05	1.559846e-06	0	9.8885e-07
1CMET2-PWY: folate transformations III (E. coli)	f__Enterococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.50495e-07	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	f__Eubacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.22132e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.03143e-06	0	9.32115e-06	6.64741e-06	0	0	0	0	0	0	2.09096e-06	1.08034e-06	4.35702e-06	4.12857e-06	2.4394e-06	1.0115e-06	0	2.90611e-06	0	0	0	0	0	0	0	0	0	0	0	2.15234e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45652e-06	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	f__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1287e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3122e-06	6.1294e-06	3.11556e-06	2.82006e-06	3.38636e-06	3.05826e-06	0	7.8944e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18256e-05	0	1.55004e-06	0	0	2.23253e-06	0	0	0	0	0	0	0	0	0	0	0	1.72826e-06	0	0	0	0	0	0	2.89324e-06	1.02045e-06	0	0	5.37731e-06	2.71801e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
