Pathway	Kingdom	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	k__Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84731e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	k__Bacteria	9.712536e-05	7.12231e-06	0.000112011994	1.294202e-05	7.129177e-06	1.9654735e-05	9.8297878e-05	7.5833395e-05	0	6.90504415e-05	3.7010472e-05	5.0131507e-05	5.0979989e-05	0.00010442689	0.0001348583	0.000226244407	0.000179619859	0.000183907501	0.00014610678	2.0897201e-05	0.000205129243	4.575753e-05	1.1511214e-05	0	0	7.0605e-06	6.11699e-06	8.05648e-06	6.45988e-06	1.630074e-05	8.0431841e-05	0.000134540907	0.000123181962	0.0001252692451	0.000156808604	0.00022544881	4.56846e-05	3.36572e-06	0.0001143074236	0.0001263877047	0.000158207658	0.000167515102	0.000176608703	6.092095e-05	6.66771081e-05	0.0002052933154	4.021293e-05	9.9434403e-05	2.7667834e-05	4.0093239e-05	0.0001414638994	7.60507792e-05	8.3644441e-05	9.482585e-05	1.2935348e-05	8.070306e-05	2.1527251e-05	3.272295e-05	5.1506824e-05	1.4716643e-05	1.0234972e-05	3.0023645e-05	3.2337675e-05	1.865253e-05	3.6332228e-05	6.11245e-05	6.9525189e-05	0.000128399893	2.4061117e-05	4.7817054e-05	4.3268593e-05	8.473742e-05	9.4581701e-05	8.312167e-05	3.8431832e-05	3.8651992e-05	3.474729e-05	4.0981206e-05	3.8892772e-05	5.69796e-05	9.1061241e-05	0.000117787301	6.2940923e-05	4.0686697e-05	8.9040543e-05	0.00010004149	0.000138909515	7.5624976e-05	0.000206473	0.0001339841	0	5.85246e-05	0	6.7023e-05	7.80032e-05	9.07074e-05	3.1229405e-05	1.6277584e-05	2.61385e-05	0.0001505754884	4.46428e-05	1.928028e-05	5.43678e-05	3.09897e-06	4.710279e-05	0.0001190595833	0.0001287064905	4.0942e-06	6.4662608e-05	5.15914e-06	1.17206e-06	4.790781e-05	7.3481012e-05	4.072614e-05	2.1362999e-05	6.445727e-05	4.692551e-05	6.394571e-05	4.6983013e-05	0.000104215281	7.4992169e-05	0.000124923803	0.000100723899	0.00020310786	8.0111927e-05	5.70276806e-05	1.01482e-05	0.000169351376	5.928966e-05	0.00010535336	0.00014711084	3.613309e-05	0.0001148460336	0.000211957	0.000134928084	0.000116088	0.000106331909	0.000144132817	1.2939101e-05	0.0001176415	7.4091e-06	0.000161116426	5.33126258e-05	0.000124328435	0.000134606139	6.3060574e-05	0.0001649054359	0.000143528563	9.48953886e-05	0.0001507648315	0.000100573853	0.000101812221	4.5954887e-05	0.000139980984	0.0001322891	7.5354668e-05	5.770817e-05	2.3556099e-05	8.29591287e-05	4.886393e-05	4.2295276e-05	0.000123750202	0.000143959988	0.000190793378	0.00010704701	8.4401237e-05	0.000117414267	3.79250291e-05	3.7720874e-05	2.2165881e-05	5.293819e-05	1.1772254e-05	7.073541e-06	3.3942106e-05	2.503802e-05	3.6307807e-05	5.5647837e-05	3.2951275e-05	1.4598005e-05	1.8512121e-05	0.000121087117	7.506258e-05
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	k__Bacteria	0	0	0	0	0	0	4.4583841e-05	0	0	1.77437821e-05	1.25603e-06	2.62118e-07	0	0	0	0	0	4.319596e-06	0	1.545199e-06	0	0	0	0	0	0	0	0	0	0	0	0	3.198327e-06	0	0	5.6690699e-05	1.05641e-05	0	1.0021e-05	0	0	3.11813427e-05	8.38718e-06	2.72325e-06	1.15416e-05	0.000121423	0	0	8.18348e-06	9.07235e-06	0	2.4756425e-05	0	0	1.60188e-06	0	6.8359e-06	0	4.67252e-06	2.23532e-06	0	0	8.7519929e-06	0	0	0	0	0	0	0	2.91311e-06	0	1.96325e-06	6.00045e-06	0	0	0	0	1.25913e-06	0	0	0	0	0	2.72972e-07	5.90446e-07	0	0	0.000121162	2.61535e-05	0	9.32298e-06	0	1.66478e-05	2.96498e-05	0	3.63204e-07	4.07034e-06	4.020502e-06	0	0	4.2276e-06	0	2.45452e-06	0	3.169539e-07	1.005971e-06	2.65651e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	9.44545e-07	4.5011694e-05	0	8.4482341e-05	7.48913e-05	1.67703e-06	9.27454e-07	3.5675313e-06	0	0	5.835047e-05	2.19247e-07	0	5.28146e-07	0	4.67496e-07	0	1.9141e-06	7.300383e-06	0	8.3287025e-06	1.61272e-05	0	0	3.03951e-05	1.02228069e-05	6.449535e-06	3.64186e-06	6.706852e-05	0	0	0	3.4680889e-05	0	0	0	4.8434649e-06	3.44547e-05	2.78633e-05	2.85819e-06	4.36915e-05	5.58346e-06	1.14073e-05	1.23138e-05	0	0	2.91623e-07	0	9.38951e-07	0	0	0	0	0	3.188286e-06	8.46888e-06	1.35754052e-05	2.862858e-06	1.795335e-06	0	0
AEROBACTINSYN-PWY: aerobactin biosynthesis	k__Bacteria	0	0	0	0	0	0	0	0	0	3.0119879e-05	2.41042e-05	3.0067538e-05	7.89862e-06	8.95392e-07	3.95014e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06497e-06	7.31475e-07	4.79292e-06	0	0	0	0	0	0	0	0	0	0	0	2.679713e-06	0	0	1.04199e-05	2.34002601e-05	7.13202e-06	0	4.24183016e-05	0	0	0	0	0	2.30455e-06	0	0	0	0	0	4.43141e-06	0	1.83172e-06	0	0	0	0	2.882833e-06	0	9.96707e-06	7.48627e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.716319e-06	0	8.789742e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53147e-07	2.33490864e-05	1.327041e-05	0	2.3479614e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	6.05961e-06	3.322748e-06	1.040895e-05	2.606662e-06	1.6628338e-06	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	k__Bacteria	0	0	0	0	0	0	0	0	0	2.20045e-06	2.5124e-06	5.3145e-06	0	0	0	0	0	2.98809e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85374e-07	0	1.30405e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58935e-07	4.00949e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.88199e-07	0	0	0	0	0	0	0	4.446e-06	0	2.21124e-06	0	2.939474e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3007e-07	5.65796e-07	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	k__Bacteria	1.74571e-05	6.3506e-07	0	0	0	0	9.9117258e-05	3.94306e-06	0	7.7489841e-05	4.63376134e-05	7.313143e-05	1.2830048e-05	0	5.90149e-06	0	1.3328875e-05	5.758803e-05	2.28447e-06	2.8583678e-05	1.79863e-05	4.4527876e-05	0	0	0	0	0	0	0	0	1.929965e-06	0	4.15479e-06	0	0	0.000248786981	4.621168e-05	4.113344e-06	6.80344e-05	0.000142973	2.5599e-05	8.98435e-05	2.73688e-05	5.09883e-06	6.995367e-05	0.000229608	4.31077e-06	2.05874e-05	3.9277689e-05	4.773004e-05	0	0.000115059832	3.516853e-06	9.09963e-07	1.2982e-05	2.95754e-07	1.42101e-05	2.57612e-06	9.67442e-06	7.26389e-06	0	7.06543e-07	1.91178e-05	7.18381e-06	5.088501e-06	2.40849e-06	3.1607e-05	0.000103331	3.957183e-06	1.05877e-05	1.270108e-05	2.7335084e-05	2.730571e-05	4.4028456e-05	2.07301e-05	2.46257e-06	2.64717e-05	1.83582e-05	5.0138889e-06	5.737866e-05	0	0	0	0	0	1.01487e-06	0.000126178	0	0.000187098344	0.000147286139	2.83926e-05	7.0232049e-05	5.48626e-05	7.5459149e-05	8.0629012e-05	0.000175477593	1.37109e-06	0.000137293085	3.4399743e-05	0.00012238	2.24645e-07	1.2003e-05	0	5.7797e-06	3.708075e-06	0.000173960056	0.0001650167877	7.55647e-06	0	5.341905e-06	0	3.64757e-07	0	0	0	6.55022e-06	0	0	4.60524e-07	0	0	1.32891e-05	0.0001410150837	0	0.000166125716	0.000144972066	1.12573e-05	9.12307e-06	5.88466672e-05	0	0.0002054747	0.000123305131	4.1244929e-05	0.00029105883	3.30745909e-05	0.000136618	2.161206e-05	1.94714e-06	0.00022136772	0.0001185302134	1.47842e-05	0.000167622191	9.0407804e-05	1.43994e-05	4.32749e-06	8.562337e-05	0.0001743476499	0.0001476931621	1.0566914e-05	0.000124395	0	1.00342e-05	3.859579e-06	0.00011619915	9.32243e-06	1.71658e-05	5.85186e-06	0.000214575376	8.9601558e-05	5.5195115e-05	1.1741e-05	0.00010255435	1.25354e-05	2.75005e-05	2.79016e-05	0	0	4.03782e-06	3.03358e-06	5.275218e-06	0	1.525377e-05	8.211859e-06	2.62194e-05	0	1.345463e-05	2.039243e-05	4.269555e-05	1.3527032e-05	3.736858e-06	0	1.238454e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	k__Bacteria	0.000131857422	0.0002084517849	0.000145028758	0.000180008904	0.000173020698	0.000309817929	0.000238121716	0.0001793032163	0.000316362521	0.000133432062	0.000155940974	0.0001195433799	0.000122291505	0.000178062919	0.000247471826	0.00028179437	5.12988117e-05	0.000118304946	0.00018432931	9.4785032e-05	0.000222677259	0.000396333736	0.00020183538	9.9410983e-05	0.000279914014	0.00012069874	0.000135294425	9.6904433e-05	0.000134397979	5.7716036e-05	0.000114828274	0.000156841933	0.000195601045	2.6058001e-05	2.9486334e-05	0.000316553136	0.0002276101487	4.6828942e-05	0.00015512599	0.00019430743	8.2771843e-05	0.000175721942	0.000108355962	0.000151139171	0.0002500873066	0.0003621627096	0.000126206625	0.000224816832	0.0001119150975	7.84165516e-05	5.5362183e-05	0.0001567332312	8.2121514e-05	7.0191679e-05	0.000117651363	0.000117758052	0.000160435296	8.30029004e-05	0.0001542294	0.000215964432	0.000135383785	9.5192836e-05	0.000192398914	0.000219489417	0.000182393289	0.000223049198	8.6031526e-05	0.0001308572715	4.372579e-05	4.1839945e-05	9.7941659e-05	4.92268403e-05	0.000102032334	0.000113608454	6.4862449e-05	0.000109136568	0.00014342756	0.000207118842	0.000108207927	0.000153978117	0.000158436938	0.000206465415	0.00019837716	0.000225928183	0.000166896296	0.0001157575168	0.0001826449145	0.000201828038	0.000262397406	0.0002081424738	0.0001863702804	0.000160525825	5.57933e-05	0.000153551776	0.000129652913	0.000205210885	0.000116102443	0.000151921477	7.1031652e-05	0.000190424908	5.8702587e-05	8.770704e-05	7.216666e-05	0.00011186814	0.000112792829	0.0002039386641	0.0002158048622	5.6079429e-05	4.306729e-05	3.68211485e-05	5.753255e-05	0.000149916146	0.000159861538	8.0068895e-05	8.07405e-06	0.00014540801	0.00012855199	7.4763924e-05	0.000107411531	0.000106214066	0.000189712689	0.0001150347198	0.000240767631	0.000209648375	0.0002776103938	0.00024048951	0.000119644657	0.000215267414	0.0002967380073	0.000196860377	0.000300588597	0.000230116628	0.000234058017	0.000384694352	0.000293557765	0.0002126702889	0.000264458032	0.00016380721	0.00029118154	0.0002564287286	3.5008349e-05	0.000247375483	0.0001293739705	9.5098169e-05	0.000287734551	0.0001428098914	0.0002372130545	0.0002277302752	7.21477e-05	0.000239652618	0.000125708537	0.000147083025	0.000232334239	0.0002379172175	0.000100858983	0.000137297266	0.000248099739	0.0002891385566	0.000217038115	0.000171820426	0.000168537932	0.000226960521	0.000144179478	0.000145877834	0.000263557862	0.0001427374417	0.0001617558	0.00011841684	0.000137173635	8.3274515e-05	0.000122283104	4.975213e-05	2.4162405e-05	0.000109940631	0.000101804004	0.0001190449029	7.4241827e-05	0.0001008126	9.9520788e-05	0.000126644812	9.8600837e-05	5.1068565e-05
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.11036e-05	0	0	0	0	0	0	2.12948e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	k__Bacteria	1.98628e-05	2.76793e-06	1.88663e-06	0	0	0	8.828155e-05	0	0	6.166345e-05	3.4237333e-05	3.8528335e-05	1.0884544e-05	0	3.88771e-06	0	1.52403e-05	5.880952e-05	0	2.6712246e-05	1.62359e-05	0	0	0	0	0	0	0	0	0	1.52245e-06	0	9.33696e-06	0	0	0.000292750532	5.37564006e-05	1.54771e-06	6.83028e-05	0.00013735	2.73232e-05	0.000104957	2.8463e-05	4.13203e-06	8.32491737e-05	0.00024681	3.30857e-06	2.24516e-05	4.3985835e-05	5.074745e-05	0	0.0001093987565	0	0	1.27514e-05	0	1.44927e-05	3.9231e-06	8.73481e-06	6.60693e-06	0	0	1.76653e-05	7.41305e-06	3.83742e-06	1.63831e-06	3.43314e-05	0.000118428	0	1.04649e-05	1.65493e-05	3.07771e-05	2.726845e-05	4.71305e-05	2.44885e-05	0	3.48892e-05	2.02631e-05	5.823485e-06	0	0	0	0	0	0	1.13622e-06	0.000141312	0	0.000175575	3.27355e-05	0	1.04288e-05	0	2.28751e-05	4.11087e-05	7.239076e-05	1.70758e-06	1.100619e-05	2.9335405e-05	9.74252e-05	0	1.58095e-05	0	2.96914e-06	1.98813e-06	0.000137489195	0.000150919765	8.40082e-06	0	0	0	0	0	0	0	4.91863e-06	0	0	0	0	0	1.47562e-05	0.00012673312	0	0.00017037589	0.00013701626	1.27283e-05	1.03694e-05	6.90088e-05	0	0.00019241	0.000130261	5.356721e-05	0.000290359	3.381423e-05	0.000138426	2.624932e-05	0	0.000104901	0.000109029034	0	0.0001381556978	3.258232e-05	1.4347e-05	2.24233e-06	7.801739e-05	0.0001425691247	0.000105134203	1.0892715e-05	0.000142941	0	1.20403e-05	0	0.000113380899	1.4722e-05	1.99335e-05	0	9.961627e-05	7.6005117e-05	5.5311584e-05	1.08404e-05	9.50758e-05	1.33467e-05	2.76194e-05	3.40105e-05	0	0	5.29452e-06	0	2.24966e-06	0	1.14647e-05	6.22851e-06	2.72738e-05	0	1.562122e-05	1.420866e-05	4.745257e-05	8.22753e-06	4.299774e-06	0	0
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	k__Bacteria	0	0	0	0	0	0	4.610144e-05	0	0	2.44671e-07	0	6.62825e-07	0	0	0	0	7.54896e-06	2.698974e-05	0	9.016398e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000195342	3.59091e-05	1.03962e-06	1.01103e-05	0	0	5.67449e-05	1.58794e-05	0	3.82179e-05	0.000115933	0	0	5.562877e-06	1.65833e-05	0	2.459705e-05	0	0	9.66049e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.63764e-06	0	2.2736e-06	1.46239e-05	0	0	0	0	0	7.31146e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90466e-06	1.83026e-05	0	0	3.52493e-06	0	0	0	1.08413e-05	3.33913e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.73017e-06	5.6213764e-05	0	3.7501753e-05	4.027925e-05	8.74398e-06	0	4.63363e-05	0	4.32278e-05	9.74288e-06	2.03206e-05	6.0715e-05	1.22967e-05	2.98179e-05	9.57034e-06	0	0	8.14086e-05	0	0.000110869	1.4017393e-05	0	0	3.045755e-05	0.000105997	7.35779e-05	3.894657e-06	0	0	2.53735e-06	0	2.818489e-05	2.32233e-06	0	0	6.15328e-07	4.15153547e-05	3.1659e-05	8.14196e-06	5.68996e-05	7.4928e-06	1.85847e-05	1.3807e-05	0	0	0	0	2.2055e-06	0	0	0	0	0	0	4.21447e-06	1.0517198e-05	2.233631e-06	0	0	0
