Pathway	Order	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
12DICHLORETHDEG-PWY: 1,2-dichloroethane degradation	o__Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.84731e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	o__Bacteroidales	0	0	5.099392e-05	0	1.50417e-06	2.415861e-06	8.7538e-07	6.335685e-06	0	0	0	0	0	0	0	3.3778957e-05	4.3536878e-05	2.088219e-06	1.5545e-06	0	1.204684e-06	6.31383e-06	1.1511214e-05	0	0	7.0605e-06	6.11699e-06	8.05648e-06	6.45988e-06	1.630074e-05	3.1190441e-05	5.3421917e-05	2.588743e-05	0.0001182950451	0.000146497604	0	0	0	2.122698e-06	0	3.8032868e-05	3.28336e-06	6.182162e-05	3.700203e-05	2.552368e-06	0	0	9.35583e-07	0	0	0.000116939843	0	2.538132e-05	6.988929e-05	0	2.345406e-05	6.43009e-06	0	3.809502e-05	1.65109e-06	0	5.640275e-06	1.3935788e-05	0	1.113639e-05	3.15488e-05	1.3764439e-05	2.0549532e-05	7.12852e-06	2.3275296e-05	1.3166523e-05	3.913186e-05	3.7698621e-05	2.2430142e-05	7.356532e-06	2.4681e-06	0	9.937315e-06	8.036042e-06	0	6.7956394e-05	7.4106061e-05	2.7414148e-05	1.3696397e-05	6.7565903e-05	8.348195e-05	2.6754727e-05	3.5143686e-05	0	0	0	0	0	0	0	0	3.04734e-05	0	1.17243e-05	2.451139e-05	4.46428e-05	4.43768e-06	4.3262e-05	0	6.7638e-06	0	0	0	5.7144848e-05	0	0	9.48056e-06	1.670109e-05	5.15449e-06	2.1362999e-05	1.274943e-05	3.124162e-05	1.75449e-06	3.099713e-06	3.5257971e-05	1.4996369e-05	7.9258993e-05	0	4.11604e-06	0	0	0	1.12741e-05	0	5.270087e-05	2.34284e-06	4.9361e-06	8.844852e-06	0	8.081454e-06	0	7.60659e-07	8.3296347e-05	0	0	0	0	0	0.000112378277	1.4274272e-05	0	0	0	7.1218047e-05	2.30044e-05	9.85005e-05	6.646769e-05	1.3306194e-05	2.59571e-05	0.000114335071	2.7984158e-05	3.781e-06	8.96552e-06	1.04819e-05	2.01077e-06	2.503316e-06	3.90482e-06	6.2032544e-05	8.51815e-05	0	3.9113797e-05	2.2001467e-05	7.258915e-06	1.6409888e-05	6.715999e-06	1.760425e-05	8.65164e-07	0	0	0	1.754957e-06	1.3483192e-05	0	1.51544e-06	1.369856e-05	0.00010405007	7.407373e-05
1CMET2-PWY: folate transformations III (E. coli)	o__Clostridiales	3.00596e-06	4.7604e-06	1.489854e-06	6.34087e-06	5.625007e-06	2.755474e-06	8.34444e-07	9.09051e-06	0	0	2.46149e-06	0	4.392216e-05	0.00010442689	0.00012311136	0.00013082085	1.485781e-06	1.307241e-06	4.210428e-05	0	6.3611259e-05	0	0	0	0	0	0	0	0	0	3.499999e-05	6.394639e-05	6.759289e-05	6.9742e-06	1.0311e-05	0	0	0	1.5136684e-05	1.03863e-06	3.48099e-06	9.704442e-06	8.197883e-06	6.18646e-06	5.7359401e-06	3.854418e-06	3.878493e-05	6.922282e-05	0	0	1.7236326e-05	0	5.376511e-05	2.493656e-05	0	5.7249e-05	4.237461e-06	2.88136e-05	7.066774e-06	8.113323e-06	1.0234972e-05	2.438337e-05	3.334787e-06	1.217212e-05	2.1308858e-05	2.803684e-05	2.430438e-05	2.10485e-06	1.118136e-05	1.5966958e-05	1.625341e-05	5.40186e-06	3.610384e-05	2.0009828e-05	1.133693e-05	3.6183892e-05	8.98349e-06	1.6902691e-05	2.493148e-05	0	1.9792647e-05	3.755184e-05	3.2411215e-05	2.417024e-05	1.721296e-05	1.3254029e-05	1.2292698e-05	3.258689e-05	0	0	0	0	0	0	0	0	0	0	0	4.95494425e-05	0	0	1.11058e-05	0	3.8525e-05	0	0	0	7.51776e-06	0	1.17206e-06	3.842725e-05	5.6779922e-05	3.557165e-05	0	4.75968e-05	1.465229e-05	6.219122e-05	4.38833e-05	2.613921e-05	4.44545e-05	1.691086e-05	0	0.00013536462	0	0	0	0.000118178726	0	5.110245e-05	0	2.53491e-06	6.746871e-05	0	0.0001040512	0	8.325033e-05	6.083647e-05	0	0	0	0	0	3.959148e-06	0.000115832687	0	0	0	1.09267e-05	2.6100324e-05	2.073353e-06	2.3971941e-05	3.099003e-05	1.6561999e-05	7.652895e-06	2.70014e-05	4.958419e-05	0	9.36933e-06	2.02226e-06	3.181038e-05	3.8438082e-05	7.1095544e-05	8.1722078e-05	8.506041e-05	4.528744e-05	9.54128e-05	2.43868941e-05	1.9107216e-05	8.563972e-06	3.533394e-05	3.45793e-06	4.231581e-06	5.874106e-06	2.503802e-05	2.60715e-06	0	0	0	2.438086e-06	1.7037047e-05	0
1CMET2-PWY: folate transformations III (E. coli)	o__Enterobacterales	1.81772e-05	2.36191e-06	1.54232e-06	0	0	0	6.263481e-05	0	0	6.88860815e-05	3.434975e-05	5.0131507e-05	7.057829e-06	0	3.26205e-06	0	1.09872e-05	4.2640041e-05	0	2.0897201e-05	1.12423e-05	3.94437e-05	0	0	0	0	0	0	0	0	2.30881e-06	0	7.74483e-06	0	0	0.00022544881	4.56846e-05	1.59591e-06	5.46155336e-05	8.53745747e-05	1.36488e-05	7.61379e-05	2.30329e-05	4.25736e-06	5.83888e-05	0.000199524	1.428e-06	1.56557e-05	2.6276364e-05	4.0093239e-05	0	7.60507792e-05	0	0	1.19988e-05	0	1.08597e-05	3.90935e-06	6.34503e-06	4.95223e-06	0	0	1.50671e-05	6.48041e-06	3.88698e-06	1.53886e-06	2.44671e-05	8.2132711e-05	8.96367e-07	8.5748e-06	1.384866e-05	2.21598e-05	2.077924e-05	4.06817e-05	1.56443e-05	0	2.57638e-05	1.41412e-05	5.92525e-06	5.69796e-05	0	0	0	0	8.7532e-07	0	9.986209e-05	0	0.000206473	0.0001339841	0	5.85246e-05	0	6.7023e-05	7.80032e-05	9.07074e-05	7.56005e-07	1.6277584e-05	1.44142e-05	7.65146559e-05	0	1.48426e-05	0	3.09897e-06	1.81399e-06	0.0001190595833	0.0001287064905	4.0942e-06	0	5.15914e-06	0	0	0	0	0	4.11104e-06	0	0	0	0	0	9.17965e-06	0.000100723899	0	7.9940653e-05	5.70276806e-05	1.01482e-05	8.07295e-06	5.928966e-05	0	0.000144768	2.75049e-05	3.62999416e-05	0.000211957	2.279543e-05	0.000116088	2.232092e-05	0	1.2939101e-05	0.0001176415	7.4091e-06	0.000161116426	5.33126258e-05	7.99101e-06	2.77092e-06	6.2164255e-05	0.0001649054359	0.0001428496	1.09554416e-05	0.000101573	0	8.47935e-06	6.38213e-07	9.7461885e-05	9.65941e-06	1.49918e-05	1.62497e-06	1.4590579e-05	6.31078987e-05	4.48309e-05	7.98158e-06	8.14073e-05	1.08319e-05	2.38898e-05	2.19866e-05	0	0	6.27922e-06	2.20377e-06	6.88591e-06	0	7.44916e-06	2.84196e-06	2.8068e-05	0	9.7593e-06	1.794935e-05	3.2951275e-05	1.3082565e-05	1.559846e-06	0	9.8885e-07
1CMET2-PWY: folate transformations III (E. coli)	o__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1287e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3122e-06	6.1294e-06	3.11556e-06	2.82006e-06	3.38636e-06	3.05826e-06	0	7.8944e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18256e-05	0	1.55004e-06	0	0	2.23253e-06	0	0	0	0	0	0	0	0	0	0	0	1.72826e-06	0	0	0	0	0	0	2.89324e-06	1.02045e-06	0	0	5.37731e-06	2.71801e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	o__Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.50495e-07	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	o__Neisseriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.451904e-07	0	3.52691e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.78963e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	o__Pasteurellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.30543e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76981e-06	0	0	0	0	0	0	0	0	0	0	0	0	6.54254e-06	0	4.14532e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	o__Propionibacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.39147e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1CMET2-PWY: folate transformations III (E. coli)	o__Veillonellales	0	0	0	0	0	0	6.64844e-07	0	0	1.6436e-07	1.99232e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.82712e-07	0	0	0	0	0	8.57408e-07	0	0	0	0	0	0	6.45074e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47251e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71274e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.96319e-07	0	0	1.7952e-06	8.71075e-08	0	0	0	0	6.41724e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
