Feature	Species	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNMAPPED	NA	0.195773	0.184983	0.184913	0.19639	0.18327	0.171521	0.147018	0.183159	0.137554	0.138532	0.154913	0.161565	0.207189	0.237557	0.22682	0.181037	0.163069	0.152606	0.179425	0.163537	0.181288	0.142617	0.194441	0.144818	0.168972	0.170339	0.16934	0.194699	0.206529	0.201216	0.181817	0.184619	0.185522	0.167281	0.175383	0.0745318	0.137565	0.18467	0.190721	0.186639	0.187618	0.163789	0.196945	0.206871	0.141675	0.0994445	0.180176	0.175118	0.18715	0.158469	0.185821	0.127628	0.187565	0.179388	0.140417	0.180709	0.167404	0.163754	0.169799	0.185055	0.173943	0.171451	0.168278	0.173878	0.176209	0.172449	0.183518	0.125601	0.168044	0.184503	0.163614	0.177189	0.163812	0.157058	0.190054	0.204943	0.169718	0.175973	0.200761	0.178488	0.18468	0.179599	0.192356	0.191631	0.185357	0.172499	0.135386	0.191951	0.190417	0.163789	0.262255	0.163391	0.154267	0.163576	0.168592	0.157644	0.191241	0.16178	0.172199	0.127561	0.176446	0.190678	0.182938	0.265633	0.199285	0.0988911	0.100414	0.211513	0.200605	0.197508	0.253488	0.233257	0.202051	0.240965	0.137252	0.212302	0.170024	0.211403	0.250664	0.168015	0.168555	0.164708	0.114904	0.191415	0.0973238	0.108032	0.143326	0.173313	0.141683	0.160234	0.0785651	0.132966	0.15436	0.0586589	0.170326	0.104961	0.177622	0.165107	0.135196	0.128589	0.156404	0.110211	0.141106	0.171512	0.186382	0.133218	0.10873	0.139082	0.156991	0.121486	0.176606	0.168842	0.209921	0.13336	0.162247	0.177889	0.207382	0.132137	0.161646	0.207476	0.176014	0.159469	0.208761	0.215864	0.186026	0.204325	0.204478	0.201637	0.188588	0.20367	0.203688	0.176886	0.176981	0.193511	0.20173	0.153683	0.158881	0.15044	0.142924	0.174203	0.180345	0.155374
UNINTEGRATED	unclassified	0.0585296	0.0464459	0.0620773	0.0492984	0.0365618	0.0244717	0.0407363	0.0397361	0.00337919	0.0147634	0.0231436	0.0230609	0.0718244	0.163031	0.127383	0.0510128	0.0309371	0.023036	0.075645	0.0204266	0.0503866	0.0319043	0.0497892	0.0124906	0.00763837	0.0140888	0.0163821	0.0440703	0.04471	0.0625177	0.0688182	0.0699786	0.0611686	0.0335345	0.0410879	0.00102603	0.0086625	0.0318946	0.0739546	0.0553385	0.0503408	0.0698671	0.0635359	0.0610884	0.0209456	0.0350027	0.132286	0.0556738	0.0101345	0.0208949	0.0513204	0.00710983	0.0281103	0.0386747	0.0117272	0.0524274	0.031816	0.0435349	0.036178	0.0387943	0.031431	0.0313872	0.0342132	0.0376144	0.0511701	0.0572394	0.0734121	0.0350617	0.0394148	0.0696835	0.0559445	0.0694848	0.0681974	0.0443327	0.0682688	0.082634	0.0335005	0.0360302	0.103806	0.00276986	0.0675432	0.0486449	0.0550324	0.0588935	0.0673788	0.0620644	0.0547195	0.0630817	0.0160458	0.00880574	0.14592	0.017447	0.0693159	0.0159226	0.0168145	0.0203675	0.0599412	0.0358891	0.0199664	0.0278709	0.0423456	0.0678614	0.0694234	0.178513	0.0723943	0.0121816	0.0131899	0.112507	0.0781908	0.0907098	0.161449	0.122487	0.0886246	0.158856	0.0104883	0.0940521	0.0319649	0.166672	0.127475	0.0357484	0.0383239	0.040159	0.0214231	0.0311258	0.00699564	0.00841186	0.0101794	0.0805067	0.0108096	0.0633404	0.0154306	0.0454906	0.054903	0.0109695	0.0732079	0.0124277	0.0791882	0.0498902	0.00609797	0.0143754	0.0136017	0.0139542	0.0210554	0.0409699	0.0812552	0.0129488	0.0173791	0.0237101	0.0300321	0.0300089	0.039885	0.0578117	0.0608225	0.0364394	0.0659159	0.0627944	0.0686012	0.0125189	0.0571498	0.141759	0.0913716	0.0565962	0.0917845	0.0860646	0.0631388	0.075782	0.0805436	0.104394	0.0855433	0.0962784	0.0987396	0.0467655	0.0453943	0.0987321	0.106881	0.0223034	0.0272407	0.0174277	0.0125197	0.0381012	0.0503662	0.0191315
1CMET2-PWY: folate transformations III (E. coli)	unclassified	6.72183e-06	6.26878e-06	1.27995e-05	7.17794e-06	1.50064e-06	7.08565e-06	1.93419e-05	1.41808e-05	0	3.61912e-06	3.00598e-06	3.94866e-06	2.49963e-05	7.61167e-05	5.22151e-05	3.14736e-05	1.11305e-05	3.96917e-06	3.99161e-05	2.86019e-06	2.56833e-05	0	1.51306e-05	0	0	0	0	0	7.76836e-06	1.50961e-05	3.40466e-05	3.34764e-05	2.80654e-05	7.74316e-06	1.06799e-05	0	0	3.87881e-06	5.17647e-05	4.68573e-05	2.48569e-05	4.1921e-05	3.94256e-05	3.36771e-05	2.14973e-06	2.04051e-05	7.54673e-05	2.23719e-05	1.40315e-06	2.12133e-06	3.45222e-06	7.26452e-07	6.69459e-07	5.95927e-06	1.89484e-06	1.2321e-05	3.13059e-06	1.70375e-05	6.05226e-06	4.47476e-06	1.91315e-06	1.95401e-06	6.07368e-06	7.32024e-06	9.37323e-06	2.77732e-05	3.2595e-05	1.19686e-05	7.40429e-06	1.22687e-05	1.99275e-05	4.25228e-05	3.35662e-05	1.50257e-05	1.75216e-05	2.09814e-05	8.57002e-06	1.29275e-05	5.87923e-05	0	3.07463e-05	2.12667e-05	2.69045e-05	3.0245e-05	4.01786e-05	3.16158e-05	1.44219e-05	3.42496e-05	3.71184e-06	1.57282e-06	0	5.39874e-06	0	4.94141e-06	5.05931e-06	0	1.2391e-05	2.52423e-06	6.1913e-07	1.63137e-05	6.61087e-06	1.37934e-05	1.42518e-05	0.000128289	2.39552e-05	0	1.501e-06	1.91237e-05	1.18415e-05	6.93013e-05	8.11848e-05	7.23465e-05	4.32119e-05	6.59083e-05	0	5.351e-05	1.53414e-05	7.40986e-05	5.11945e-05	1.78261e-05	1.5404e-05	1.49215e-05	2.51619e-06	2.08525e-05	2.11954e-06	1.4531e-06	3.30726e-06	5.51572e-05	9.5423e-07	5.00652e-05	0	3.13538e-05	3.43306e-05	8.44299e-07	4.55183e-05	0	6.87315e-05	1.66392e-05	0	1.81386e-06	0	1.64979e-06	7.39308e-06	1.4624e-05	5.25783e-05	8.84277e-07	3.14025e-06	4.21679e-06	9.76638e-06	1.05692e-05	1.30767e-05	1.72114e-05	3.89024e-05	1.87196e-05	3.36796e-05	2.58043e-05	3.36409e-05	1.30398e-06	4.40218e-05	0.000103678	3.99163e-05	1.68365e-05	3.04166e-05	3.9614e-05	3.17346e-05	3.77263e-05	3.48321e-05	5.76905e-05	3.15945e-05	3.85164e-05	4.93544e-05	1.68899e-05	1.40721e-05	4.17534e-05	5.62358e-05	7.51467e-06	8.81784e-06	3.3999e-06	1.06906e-06	7.0804e-06	2.00645e-05	1.76234e-06
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	unclassified	0	0	0	0	0	0	1.11287e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.21651e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	unclassified	0	0	0	0	0	0	0	0	0	0	0	5.07531e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.48e-07	0	0	0	0	0	0	0	0	2.73495e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60301e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.95001e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANAEROFRUCAT-PWY: homolactic fermentation	unclassified	1.32988e-05	3.65187e-06	1.30001e-05	6.93502e-06	1.58415e-06	1.3405e-06	1.03701e-05	0	1.25281e-07	2.36878e-06	1.8164e-06	2.13795e-06	1.73481e-05	2.38861e-05	1.66569e-05	6.40394e-06	7.38267e-06	6.19545e-06	1.91644e-06	2.24154e-06	1.34319e-05	0	0	0	0	0	0	0	5.28799e-06	2.91804e-06	1.27452e-05	6.96226e-06	1.07451e-05	0	0	0	0	4.18987e-06	1.47834e-05	1.49638e-05	1.30093e-05	2.07857e-05	1.30435e-05	1.47536e-05	1.90735e-06	1.2846e-05	2.20741e-05	5.28482e-06	1.15626e-06	1.4734e-06	1.14143e-06	8.93829e-07	0	8.375e-06	2.66025e-06	6.23048e-06	4.65016e-06	5.48559e-06	4.77791e-06	6.19458e-06	3.07591e-06	0	6.36053e-06	7.35958e-06	6.21252e-06	1.77258e-05	2.12691e-05	1.14094e-05	1.13932e-05	1.86104e-05	2.74278e-05	2.07761e-05	3.27084e-05	1.58641e-05	2.08267e-05	1.13636e-05	5.5904e-06	6.82359e-06	2.35859e-05	0	2.26886e-05	7.91747e-06	1.08389e-05	1.12317e-05	1.84306e-05	1.95569e-05	8.8108e-06	6.42791e-06	1.58645e-06	0	0	0	0	0	0	0	1.25368e-05	3.62786e-06	3.06182e-06	7.56409e-06	7.94204e-06	1.90819e-05	1.51783e-05	1.55506e-05	9.53866e-06	4.76575e-07	2.00706e-06	2.61891e-05	9.54864e-06	2.33296e-05	8.99743e-06	2.24152e-05	1.25573e-05	7.84507e-06	0	1.6652e-05	9.96088e-07	2.12675e-05	3.30805e-06	0	1.79493e-06	3.93514e-06	2.14948e-06	7.94714e-06	7.76189e-07	9.09795e-08	2.38846e-06	1.63205e-05	0	1.85572e-06	2.1782e-06	1.20373e-05	1.45467e-05	2.43524e-06	9.23435e-06	2.20733e-06	1.32471e-05	1.21917e-06	0	0	0	1.36227e-06	1.32636e-06	6.40509e-06	1.74133e-05	3.0554e-07	2.52085e-06	2.50166e-06	4.95033e-06	9.74587e-06	3.53018e-06	1.18076e-05	1.48731e-05	1.19715e-05	1.11192e-05	1.23704e-05	1.87257e-05	1.28434e-06	1.42121e-05	3.14061e-05	8.11754e-06	5.21321e-06	5.71137e-06	1.67933e-05	8.83759e-06	1.12792e-05	0	2.07107e-05	1.48166e-05	1.84299e-05	1.17897e-05	2.59194e-05	2.33133e-05	3.15226e-05	2.95687e-05	4.96364e-06	4.96302e-06	1.83481e-06	1.17125e-06	1.38007e-05	5.50839e-06	2.77073e-06
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	unclassified	1.73099e-05	6.19014e-06	2.76878e-05	1.33542e-05	6.61593e-06	4.27916e-06	2.10316e-05	7.90683e-06	1.63863e-07	2.87497e-06	2.89873e-06	2.95918e-06	4.12216e-05	0.000114155	6.84401e-05	1.18822e-05	1.11407e-05	6.56794e-06	1.83149e-05	2.52785e-06	1.98487e-05	0	3.08751e-05	0	0	0	0	1.93605e-05	2.80145e-05	4.11184e-05	3.60472e-05	3.90199e-05	2.88912e-05	1.23051e-05	1.13466e-05	0	0	8.62558e-06	3.53889e-05	4.28875e-05	2.77626e-05	4.19711e-05	2.49647e-05	3.43477e-05	2.43027e-06	1.5655e-05	5.61126e-05	3.42981e-05	1.29021e-06	1.51791e-06	2.37943e-05	1.08962e-06	1.01579e-05	2.27247e-05	4.38149e-06	2.31893e-05	7.38117e-06	2.17957e-05	7.95993e-06	1.19541e-05	5.46518e-06	7.35586e-06	7.85592e-06	1.842e-05	1.62179e-05	2.58418e-05	3.89958e-05	1.5156e-05	1.88505e-05	2.96786e-05	3.30745e-05	4.24334e-05	4.57327e-05	2.28786e-05	3.52948e-05	4.26656e-05	1.21555e-05	1.51723e-05	4.98523e-05	0	4.53065e-05	2.46888e-05	2.7503e-05	3.03371e-05	3.83513e-05	4.39451e-05	1.37643e-05	3.59156e-05	2.02373e-06	0	6.26087e-06	0	2.63203e-05	0	1.25572e-06	1.6063e-06	2.78139e-05	5.23009e-06	6.60864e-06	1.71062e-05	1.12849e-05	2.69614e-05	2.69976e-05	0.000170228	4.21751e-05	4.89098e-07	2.57851e-06	4.16979e-05	2.86232e-05	8.20254e-05	4.90462e-05	0.000127744	7.14007e-05	0.000108953	0	7.84395e-05	4.8862e-06	9.6224e-05	0.000103354	1.31064e-05	2.15443e-05	1.14055e-05	3.21984e-06	1.48118e-05	1.11764e-06	1.36502e-07	2.71354e-06	2.86065e-05	0	1.05465e-05	2.49969e-06	2.37046e-05	2.6906e-05	3.12659e-06	3.30402e-05	2.11909e-06	3.66314e-05	1.94118e-05	1.05944e-06	0	0	1.83986e-06	2.55578e-06	1.51672e-05	2.88183e-05	9.77909e-07	2.97855e-06	2.95411e-06	1.17454e-05	1.23553e-05	1.00541e-05	2.10497e-05	2.4168e-05	1.78181e-05	3.30741e-05	2.60525e-05	3.27908e-05	1.5722e-06	2.70504e-05	5.65674e-05	5.13484e-05	7.69251e-06	1.02405e-05	4.29442e-05	1.76848e-05	5.04827e-05	4.01993e-05	5.24199e-05	4.23772e-05	4.876e-05	5.20496e-05	3.03e-05	2.92799e-05	4.80484e-05	6.14672e-05	9.67008e-06	7.61615e-06	2.36527e-06	1.7036e-06	1.81008e-05	2.30569e-05	3.90157e-06
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	unclassified	1.13239e-05	4.16086e-06	8.05597e-06	8.49659e-07	2.20828e-06	0	6.00246e-06	0	0	1.69289e-06	2.35484e-06	2.15498e-06	1.48877e-05	1.7661e-05	1.77987e-05	2.21633e-06	6.36376e-06	1.10688e-06	0	8.64989e-07	4.11484e-06	3.10312e-06	0	0	0	0	0	0	0	4.99493e-06	7.79222e-06	7.09914e-06	3.99951e-06	0	0	0	0	4.49414e-07	2.9602e-06	0	3.60623e-06	3.20626e-06	4.34269e-06	3.80205e-06	5.31402e-07	1.06487e-05	1.36275e-06	4.93733e-07	7.49793e-07	6.34562e-07	0	5.57366e-07	0	0	0	3.34113e-06	0	3.34876e-06	0	0	0	0	1.32182e-07	3.92195e-06	1.56898e-06	5.39982e-06	1.3345e-05	4.24899e-06	0	1.05927e-05	6.05668e-06	8.31238e-06	1.2222e-05	7.53948e-06	7.74554e-06	3.84658e-06	0	3.64672e-06	5.10205e-06	0	0	0	3.89772e-06	4.87723e-06	3.35955e-06	0	4.53313e-06	1.65712e-06	0	0	0	0	0	0	0	0	2.72278e-06	3.40098e-06	8.61086e-07	1.94086e-06	3.08606e-06	3.5888e-06	7.43647e-06	0	4.75141e-06	1.27667e-06	9.64603e-07	3.74927e-06	5.16103e-06	0	0	4.06265e-06	0	4.3734e-06	0	4.69606e-06	0	4.58152e-06	0	0	2.35221e-06	0	0	0	3.77472e-07	0	0	9.14977e-07	0	0	0	1.19788e-05	7.05525e-06	0	1.04958e-05	0	9.95001e-06	0	0	4.62561e-07	0	2.09314e-06	0	4.56065e-06	9.31518e-06	0	1.36146e-06	4.77799e-06	2.44267e-06	5.67646e-06	0	6.28606e-06	2.5555e-06	9.24466e-06	7.82809e-06	4.46627e-06	3.94925e-06	3.03989e-06	0	3.26565e-06	2.19579e-06	3.0635e-06	4.47319e-06	5.03571e-06	2.02172e-06	2.48639e-06	0	3.53874e-06	5.71148e-06	8.7982e-06	9.27434e-06	1.17881e-05	7.81126e-06	1.51065e-05	0	2.51274e-06	6.32515e-07	0	7.97694e-07	6.9882e-06	1.95067e-06	1.95296e-06
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	unclassified	0	0	0	0	0	0	1.29815e-06	0	0	0	0	0	0	0	0	0	0	2.08108e-06	0	1.19832e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.16884e-07	0	0	0	1.07212e-06	0	6.49772e-07	0	0	0	0	5.43201e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.92543e-07	4.8239e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2285e-06	0	0	0	0	0	1.15087e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.82518e-07	0	4.44548e-07	0	0	0	0	0	0	6.27284e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	9.07143e-07	0	0	7.46014e-07	0	0	0	0	2.43004e-06	7.68042e-07	1.2289e-06	0	0	5.85312e-07	0	0	0	5.12617e-07	0	4.50636e-07	0	0	0	0	0	5.48581e-07	0	0	0	0	1.28514e-06	7.8328e-07	1.21211e-06	6.77089e-07	1.68138e-06	0	0
ARGININE-SYN4-PWY: L-ornithine biosynthesis II	unclassified	7.92003e-06	2.84831e-06	2.20498e-06	7.01259e-07	1.99181e-06	0	3.49184e-06	0	2.68801e-07	1.20127e-06	2.45054e-07	7.63554e-07	1.74565e-06	2.98226e-06	1.48496e-06	1.36451e-06	3.27333e-06	5.41077e-06	0	2.3972e-06	6.42923e-06	1.31125e-06	0	0	0	0	0	0	0	0	1.68349e-06	1.19779e-06	3.37434e-06	0	0	0	0	2.4083e-07	2.88227e-06	6.56346e-06	2.49193e-06	9.00147e-06	5.68537e-06	0	2.18737e-06	1.45708e-05	2.82213e-06	4.39263e-07	0	1.13597e-06	1.93827e-06	4.64751e-07	0	0	3.35953e-07	1.18093e-06	4.77824e-07	1.40859e-06	1.22651e-06	3.13969e-06	0	0	8.91517e-07	1.2933e-06	1.41541e-06	2.68614e-06	4.52883e-07	8.685e-07	2.37709e-06	4.66057e-07	1.20671e-06	1.05696e-06	3.99363e-06	3.621e-06	0	8.8768e-07	7.16793e-07	0	1.15913e-06	0	0	0	4.76979e-07	1.32586e-06	1.10058e-06	2.04169e-06	4.4376e-06	0	3.50927e-07	0	6.14047e-07	0	0	0	0	0	8.17064e-07	8.36709e-06	3.03258e-07	1.26069e-06	0	1.96067e-06	6.27685e-07	9.55675e-07	1.94921e-06	0	2.90859e-07	3.11476e-06	0	4.04312e-07	0	0	1.44138e-06	1.91994e-06	0	2.22389e-06	0	3.49357e-06	0	4.513e-07	7.968e-07	2.52905e-06	1.30564e-06	0	6.94117e-07	9.22805e-07	9.65338e-08	3.30002e-06	1.78359e-06	0	5.27717e-06	3.61421e-06	3.23382e-06	3.94481e-06	1.75299e-06	4.32726e-06	3.5987e-06	0	0	3.37619e-06	1.50054e-06	4.20235e-06	6.40982e-06	6.82634e-07	1.49559e-06	1.64477e-06	4.38809e-06	6.09917e-06	0	8.08331e-06	0	1.50232e-06	1.62795e-06	7.04387e-07	9.50293e-07	2.44257e-06	2.01291e-06	3.8358e-06	9.38929e-07	6.96105e-06	2.8383e-06	7.91697e-06	1.03573e-06	2.59103e-06	4.298e-06	8.68867e-07	0	1.19278e-06	7.29533e-07	1.27537e-06	5.35662e-07	4.92259e-06	1.33565e-06	6.90918e-06	0	3.62827e-06	1.29263e-06	5.46227e-07	2.15836e-06	2.35684e-06	1.1585e-06	4.00099e-06
